"some"-determiner-en "uns quants"-determiner-ca
"single"-adjective-en "únic"-adjective-ca
"únic"-adjective-ca "single"-adjective-en
"únic"-adjective-ca "alone"-adjective-en
"alone"-adjective-en "únic"-adjective-ca
"quotidià"-adjective-ca "everyday"-adjective-en
"everyday"-adjective-en "quotidià"-adjective-ca
"spontaneous"-adjective-en "voluntari"-adjective-ca
"voluntari"-adjective-ca "spontaneous"-adjective-en
"autonomous"-adjective-en "autonòmic"-adjective-ca
"autonòmic"-adjective-ca "autonomous"-adjective-en
"dret"-adjective-ca "straight"-adjective-en
"straight"-adjective-en "dret"-adjective-ca
"apropiat"-adjective-ca "suitable"-adjective-en
"suitable"-adjective-en "apropiat"-adjective-ca
"latter"-adjective-en "darrer"-adjective-ca
"darrer"-adjective-ca "latter"-adjective-en
"fearless"-adjective-en "audaç"-adjective-ca
"audaç"-adjective-ca "fearless"-adjective-en
"secret"-adjective-en "clandestí"-adjective-ca
"clandestí"-adjective-ca "secret"-adjective-en
"casolà"-adjective-ca "domestic"-adjective-en
"domestic"-adjective-en "casolà"-adjective-ca
"beautiful"-adjective-en "maco"-adjective-ca
"maco"-adjective-ca "beautiful"-adjective-en
"sole"-adjective-en "sol"-adjective-ca
"sol"-adjective-ca "sole"-adjective-en
"energetic"-adjective-en "enèrgic"-adjective-ca
"enèrgic"-adjective-ca "energetic"-adjective-en
"up to"-preposition-en "fins"-preposition-ca
"fins"-preposition-ca "up to"-preposition-en
"such as"-preposition-en "com a"-preposition-ca
"com a"-preposition-ca "such as"-preposition-en
"com a"-preposition-ca "like"-preposition-en
"com a"-preposition-ca "as"-preposition-en
"com"-preposition-ca "as a"-preposition-en
"as a"-preposition-en "com"-preposition-ca
"like"-preposition-en "com a"-preposition-ca
"as"-preposition-en "com a"-preposition-ca
"near here"-adverb-en "a la vora"-adverb-ca
"a la vora"-adverb-ca "near here"-adverb-en
"at a time"-adverb-en "a la vegada"-adverb-ca
"a la vegada"-adverb-ca "at a time"-adverb-en
"a la vegada"-adverb-ca "at the same time"-adverb-en
"a la vegada"-adverb-ca "concurrently"-adverb-en
"at the same time"-adverb-en "a la vegada"-adverb-ca
"concurrently"-adverb-en "a la vegada"-adverb-ca
"non-"-adverb-en "no pas"-adverb-ca
"no pas"-adverb-ca "non-"-adverb-en
"no pas"-adverb-ca "not"-adverb-en
"no pas"-adverb-ca "non"-adverb-en
"not"-adverb-en "no pas"-adverb-ca
"non"-adverb-en "no pas"-adverb-ca
"swiftly"-adverb-en "de pressa"-adverb-ca
"de pressa"-adverb-ca "swiftly"-adverb-en
"de pressa"-adverb-ca "rapidly"-adverb-en
"de pressa"-adverb-ca "quick"-adverb-en
"de pressa"-adverb-ca "on the double"-adverb-en
"de pressa"-adverb-ca "hand over fist"-adverb-en
"de pressa"-adverb-ca "full blast"-adverb-en
"de pressa"-adverb-ca "fast"-adverb-en
"de pressa"-adverb-ca "at the double"-adverb-en
"rapidly"-adverb-en "de pressa"-adverb-ca
"quick"-adverb-en "de pressa"-adverb-ca
"on the double"-adverb-en "de pressa"-adverb-ca
"hand over fist"-adverb-en "de pressa"-adverb-ca
"full blast"-adverb-en "de pressa"-adverb-ca
"fast"-adverb-en "de pressa"-adverb-ca
"at the double"-adverb-en "de pressa"-adverb-ca
"on top"-adverb-en "dalt"-adverb-ca
"dalt"-adverb-ca "on top"-adverb-en
"dalt"-adverb-ca "aloft"-adverb-en
"aloft"-adverb-en "dalt"-adverb-ca
"degrade"-verb-en "descompondre"-verb-ca
"descompondre"-verb-ca "degrade"-verb-en
"frame"-verb-en "enquadrar"-verb-ca
"enquadrar"-verb-ca "frame"-verb-en
"counsel"-verb-en "assessorar"-verb-ca
"assessorar"-verb-ca "counsel"-verb-en
"lligar"-verb-ca "link"-verb-en
"link"-verb-en "lligar"-verb-ca
"tie"-verb-en "vincular"-verb-ca
"vincular"-verb-ca "tie"-verb-en
"cover"-verb-en "incloure"-verb-ca
"incloure"-verb-ca "cover"-verb-en
"explain"-verb-en "aclarir"-verb-ca
"aclarir"-verb-ca "explain"-verb-en
"destacar"-verb-ca "underline"-verb-en
"underline"-verb-en "destacar"-verb-ca
"elect"-verb-en "escollir"-verb-ca
"escollir"-verb-ca "elect"-verb-en
"escollir"-verb-ca "pick"-verb-en
"pick"-verb-en "escollir"-verb-ca
"reply"-verb-en "contestar"-verb-ca
"contestar"-verb-ca "reply"-verb-en
"contestar"-verb-ca "respond"-verb-en
"respond"-verb-en "contestar"-verb-ca
"defugir"-verb-ca "escape"-verb-en
"escape"-verb-en "defugir"-verb-ca
"seize"-verb-en "copsar"-verb-ca
"copsar"-verb-ca "seize"-verb-en
"copsar"-verb-ca "reach for"-verb-en
"copsar"-verb-ca "catch"-verb-en
"reach for"-verb-en "copsar"-verb-ca
"catch"-verb-en "copsar"-verb-ca
"assolir"-verb-ca "achieve"-verb-en
"achieve"-verb-en "assolir"-verb-ca
"place"-verb-en "ubicar"-verb-ca
"ubicar"-verb-ca "place"-verb-en
"arreglar"-verb-ca "repair"-verb-en
"repair"-verb-en "arreglar"-verb-ca
"comply"-verb-en "observar"-verb-ca
"observar"-verb-ca "comply"-verb-en
"understand"-verb-en "comprendre"-verb-ca
"comprendre"-verb-ca "understand"-verb-en
"precisar"-verb-ca "specify"-verb-en
"specify"-verb-en "precisar"-verb-ca
"replace"-verb-en "substituir"-verb-ca
"substituir"-verb-ca "replace"-verb-en
"cloure"-verb-ca "shut"-verb-en
"shut"-verb-en "cloure"-verb-ca
"register"-verb-en "enregistrar"-verb-ca
"enregistrar"-verb-ca "register"-verb-en
"swear"-verb-en "renegar"-verb-ca
"renegar"-verb-ca "swear"-verb-en
"invest"-verb-en "investir"-verb-ca
"investir"-verb-ca "invest"-verb-en
"refuse"-verb-en "refusar"-verb-ca
"refusar"-verb-ca "refuse"-verb-en
"cast"-verb-en "llençar"-verb-ca
"llençar"-verb-ca "cast"-verb-en
"llençar"-verb-ca "sling"-verb-en
"sling"-verb-en "llençar"-verb-ca
"residu"-noun-ca "remains"-noun-en
"remains"-noun-en "residu"-noun-ca
"medi ambient"-noun-ca "surroundings"-noun-en
"surroundings"-noun-en "medi ambient"-noun-ca
"nord-americà"-adjective-ca "American"-adjective-en
"American"-adjective-en "nord-americà"-adjective-ca
"foreign"-adjective-en "aliè"-adjective-ca
"aliè"-adjective-ca "foreign"-adjective-en
"saint"-adjective-en "sacre"-adjective-ca
"saint"-adjective-en "sagrat"-adjective-ca
"sacre"-adjective-ca "saint"-adjective-en
"sagrat"-adjective-ca "saint"-adjective-en
"illustrate"-verb-en "exemplificar"-verb-ca
"exemplificar"-verb-ca "illustrate"-verb-en
"unfortunately"-adverb-en "desgraciadament"-adverb-ca
"unfortunately"-adverb-en "lamentablement"-adverb-ca
"desgraciadament"-adverb-ca "unfortunately"-adverb-en
"lamentablement"-adverb-ca "unfortunately"-adverb-en
"firstly"-adverb-en "primer"-adverb-ca
"primer"-adverb-ca "firstly"-adverb-en
"first"-adverb-en "en primer lloc"-adverb-ca
"en primer lloc"-adverb-ca "first"-adverb-en
"within"-adverb-en "a dintre"-adverb-ca
"within"-adverb-en "a dins"-adverb-ca
"a dintre"-adverb-ca "within"-adverb-en
"a dins"-adverb-ca "within"-adverb-en
"Spanish"-adjective-en "hispànic"-adjective-ca
"hispànic"-adjective-ca "Spanish"-adjective-en
"devot"-adjective-ca "pious"-adjective-en
"pious"-adjective-en "devot"-adjective-ca
