друг	determiner	mkd	друг	determiner	bul
нула	numeral	mkd	нула	numeral	bul
еден	numeral	mkd	един	numeral	bul
два	numeral	mkd	два	numeral	bul
две	numeral	mkd	две	numeral	bul
три	numeral	mkd	три	numeral	bul
четири	numeral	mkd	четири	numeral	bul
пет	numeral	mkd	пет	numeral	bul
шест	numeral	mkd	шест	numeral	bul
седум	numeral	mkd	седем	numeral	bul
осум	numeral	mkd	осем	numeral	bul
девет	numeral	mkd	девет	numeral	bul
десет	numeral	mkd	десет	numeral	bul
единаесет	numeral	mkd	единадесет	numeral	bul
дванаесет	numeral	mkd	дванадесет	numeral	bul
тринаесет	numeral	mkd	тринадесет	numeral	bul
четиринаесет	numeral	mkd	четиринадесет	numeral	bul
петнаесет	numeral	mkd	петнадесет	numeral	bul
шеснаесет	numeral	mkd	шестнадесет	numeral	bul
седумнаесет	numeral	mkd	седемнадесет	numeral	bul
осумнаесет	numeral	mkd	осемнадесет	numeral	bul
деветнаесет	numeral	mkd	деветнадесет	numeral	bul
дваесет	numeral	mkd	двадесет	numeral	bul
триесет	numeral	mkd	тридесет	numeral	bul
четириесет	numeral	mkd	четиридесет	numeral	bul
педесет	numeral	mkd	петдесет	numeral	bul
шеесет	numeral	mkd	шестдесет	numeral	bul
седумдесет	numeral	mkd	седемдесет	numeral	bul
осумдесет	numeral	mkd	осемдесет	numeral	bul
деведесет	numeral	mkd	деветдесет	numeral	bul
сто	numeral	mkd	сто	numeral	bul
сто	numeral	mkd	сто	numeral	bul
двесте	numeral	mkd	двеста	numeral	bul
двесте	numeral	mkd	двеста	numeral	bul
триста	numeral	mkd	триста	numeral	bul
триста	numeral	mkd	триста	numeral	bul
четиристотини	numeral	mkd	четиристотин	numeral	bul
петстотини	numeral	mkd	петстотин	numeral	bul
шестотини	numeral	mkd	шестстотин	numeral	bul
седумстотини	numeral	mkd	седемстотин	numeral	bul
осумстотини	numeral	mkd	осемстотин	numeral	bul
деветстотини	numeral	mkd	деветстотин	numeral	bul
милион	numeral	mkd	милион	numeral	bul
трилион	numeral	mkd	трилион	numeral	bul
илјада	numeral	mkd	хиляда	numeral	bul
илјада	numeral	mkd	хиляда	numeral	bul
илјада	numeral	mkd	хиляда	numeral	bul
илјада	numeral	mkd	хиляда	numeral	bul
илјадница	numeral	mkd	хиляда	numeral	bul
илјадница	numeral	mkd	хиляда	numeral	bul
илјадница	numeral	mkd	хиляда	numeral	bul
милијарда	numeral	mkd	милиард	numeral	bul
милијарда	numeral	mkd	милиард	numeral	bul
милијарда	numeral	mkd	милиард	numeral	bul
милијарда	numeral	mkd	милиард	numeral	bul
прв	numeral	mkd	първи	numeral	bul
втор	numeral	mkd	втори	numeral	bul
трет	numeral	mkd	трети	numeral	bul
четврти	numeral	mkd	четвърти	numeral	bul
петти	numeral	mkd	пети	numeral	bul
шести	numeral	mkd	шести	numeral	bul
седми	numeral	mkd	седми	numeral	bul
осми	numeral	mkd	осми	numeral	bul
девети	numeral	mkd	девети	numeral	bul
деветти	numeral	mkd	девети	numeral	bul
десети	numeral	mkd	десети	numeral	bul
десетти	numeral	mkd	десети	numeral	bul
единаесетти	numeral	mkd	единадесети	numeral	bul
дванаесетти	numeral	mkd	дванадесети	numeral	bul
тринаесетти	numeral	mkd	тринадесети	numeral	bul
четиринаестти	numeral	mkd	четиринадесети	numeral	bul
петнаесетти	numeral	mkd	петнадесети	numeral	bul
шеснаесетти	numeral	mkd	шестнадесети	numeral	bul
седумнаесетти	numeral	mkd	седемнадесети	numeral	bul
осумнаесетти	numeral	mkd	осемнадесети	numeral	bul
деветнаесетти	numeral	mkd	деветнадесети	numeral	bul
дваесетти	numeral	mkd	двадесети	numeral	bul
триесетти	numeral	mkd	тридесети	numeral	bul
четириесетти	numeral	mkd	четиридесети	numeral	bul
педесетти	numeral	mkd	петдесети	numeral	bul
шеесетти	numeral	mkd	шестдесети	numeral	bul
седумдесетти	numeral	mkd	седемдесети	numeral	bul
осумдесетти	numeral	mkd	осемдесети	numeral	bul
деведесетти	numeral	mkd	деветдесети	numeral	bul
стотен	numeral	mkd	стотен	numeral	bul
стоти	numeral	mkd	стотен	numeral	bul
двестотен	numeral	mkd	двестотен	numeral	bul
тристотен	numeral	mkd	тристотен	numeral	bul
четиристотен	numeral	mkd	четиристотен	numeral	bul
петстотен	numeral	mkd	петстотен	numeral	bul
шестотен	numeral	mkd	шестстотен	numeral	bul
седумстотен	numeral	mkd	седемстотен	numeral	bul
осумстотен	numeral	mkd	осемстотен	numeral	bul
деветстотен	numeral	mkd	деветстотен	numeral	bul
илјаден	numeral	mkd	хиляден	numeral	bul
милионски	numeral	mkd	милионен	numeral	bul
милијардски	numeral	mkd	милярден	numeral	bul
БДП	properNoun	mkd	БВП	properNoun	bul
АА	properNoun	mkd	АА	properNoun	bul
АГ	properNoun	mkd	АГ	properNoun	bul
АКП	properNoun	mkd	АКП	properNoun	bul
АНА	properNoun	mkd	АНА	properNoun	bul
АО	properNoun	mkd	АО	properNoun	bul
АП	properNoun	mkd	АП	properNoun	bul
АТА	properNoun	mkd	АТА	properNoun	bul
АФП	properNoun	mkd	АФП	properNoun	bul
БА	properNoun	mkd	БА	properNoun	bul
БАН	properNoun	mkd	БАН	properNoun	bul
ББЦ	properNoun	mkd	ББС	properNoun	bul
БВ	properNoun	mkd	БВ	properNoun	bul
БВБ	properNoun	mkd	БВБ	properNoun	bul
БГНЕС	properNoun	mkd	БГНЕС	properNoun	bul
БИРН	properNoun	mkd	БИРН	properNoun	bul
БМВ	properNoun	mkd	БМВ	properNoun	bul
БНБ	properNoun	mkd	БНБ	properNoun	bul
БНР	properNoun	mkd	БНР	properNoun	bul
БНТ	properNoun	mkd	БНТ	properNoun	bul
БОК	properNoun	mkd	БОК	properNoun	bul
БСП	properNoun	mkd	БСП	properNoun	bul
БТА	properNoun	mkd	БТА	properNoun	bul
БФ	properNoun	mkd	БФ	properNoun	bul
БиХ	properNoun	mkd	БиХ	properNoun	bul
ВМРО	properNoun	mkd	ВМРО	properNoun	bul
ВОА	properNoun	mkd	ВОА	properNoun	bul
ДЗИ	properNoun	mkd	ДЗИ	properNoun	bul
ДП	properNoun	mkd	ДП	properNoun	bul
ДПА	properNoun	mkd	ДПА	properNoun	bul
ДС	properNoun	mkd	ДС	properNoun	bul
ДСК	properNoun	mkd	ДСК	properNoun	bul
ДСС	properNoun	mkd	ДСС	properNoun	bul
ДУИ	properNoun	mkd	ДУИ	properNoun	bul
ЕБРД	properNoun	mkd	ЕБВР	properNoun	bul
ЕК	properNoun	mkd	ЕК	properNoun	bul
ЕОД	properNoun	mkd	ЕОД	properNoun	bul
ЕОН	properNoun	mkd	ЕОН	properNoun	bul
ЕП	properNoun	mkd	ЕП	properNoun	bul
ЕУ	properNoun	mkd	ЕС	properNoun	bul
ЕУФОР	properNoun	mkd	ЕУФОР	properNoun	bul
КФОР	properNoun	mkd	КФОР	properNoun	bul
МИА	properNoun	mkd	МИА	properNoun	bul
ММФ	properNoun	mkd	МВФ	properNoun	bul
МПА	properNoun	mkd	МПА	properNoun	bul
НАТО	properNoun	mkd	НАТО	properNoun	bul
НТВ	properNoun	mkd	НТВ	properNoun	bul
ОБСЕ	properNoun	mkd	ОССЕ	properNoun	bul
ОВК	properNoun	mkd	ОВК	properNoun	bul
ОН	properNoun	mkd	ООН	properNoun	bul
ООН	properNoun	mkd	ООН	properNoun	bul
ОУ	properNoun	mkd	ОУ	properNoun	bul
ОХР	properNoun	mkd	ОХР	properNoun	bul
ПАСОК	properNoun	mkd	ПАСОК	properNoun	bul
ПБС	properNoun	mkd	ПБС	properNoun	bul
ПКК	properNoun	mkd	ПКК	properNoun	bul
ПНЛ	properNoun	mkd	ПНЛ	properNoun	bul
ПСД	properNoun	mkd	ПСД	properNoun	bul
РС	properNoun	mkd	РС	properNoun	bul
РТК	properNoun	mkd	РТК	properNoun	bul
РТРС	properNoun	mkd	РТРС	properNoun	bul
РТС	properNoun	mkd	РТС	properNoun	bul
РФЕ	properNoun	mkd	РФЕ	properNoun	bul
СДП	properNoun	mkd	СДП	properNoun	bul
СДС	properNoun	mkd	СДС	properNoun	bul
СДСМ	properNoun	mkd	СДСМ	properNoun	bul
СНСД	properNoun	mkd	СНСД	properNoun	bul
СП	properNoun	mkd	СП	properNoun	bul
СРНА	properNoun	mkd	СРНА	properNoun	bul
СРС	properNoun	mkd	СРС	properNoun	bul
СС	properNoun	mkd	СС	properNoun	bul
СФОР	properNoun	mkd	СФОР	properNoun	bul
ТВ	properNoun	mkd	ТВ	properNoun	bul
ТРТ	properNoun	mkd	ТРТ	properNoun	bul
УНЕСКО	properNoun	mkd	ЮНЕСКО	properNoun	bul
УНМИК	properNoun	mkd	ЮНМИК	properNoun	bul
УПИ	properNoun	mkd	УПИ	properNoun	bul
ФЕНА	properNoun	mkd	ФЕНА	properNoun	bul
ФП	properNoun	mkd	ФП	properNoun	bul
ФТ	properNoun	mkd	ФТ	properNoun	bul
ХДЗ	properNoun	mkd	ХДС	properNoun	bul
ХИВ	properNoun	mkd	ХИВ	properNoun	bul
ХИНА	properNoun	mkd	ХИНА	properNoun	bul
ХЛЦ	properNoun	mkd	ЦХП	properNoun	bul
ХРТ	properNoun	mkd	ХРТ	properNoun	bul
ЦИК	properNoun	mkd	ЦИК	properNoun	bul
бТВ	properNoun	mkd	бТВ	properNoun	bul
бг	properNoun	mkd	бг	properNoun	bul
гр	properNoun	mkd	гр	properNoun	bul
зам	properNoun	mkd	зам	properNoun	bul
км	properNoun	mkd	км	properNoun	bul
м	properNoun	mkd	м	properNoun	bul
см	properNoun	mkd	см	properNoun	bul
ул	properNoun	mkd	ул	properNoun	bul
год	properNoun	mkd	год	properNoun	bul
св	properNoun	mkd	св	properNoun	bul
др	properNoun	mkd	др	properNoun	bul
сем	properNoun	mkd	сем	properNoun	bul
инаков	adjective	mkd	инакъв	adjective	bul
син	adjective	mkd	син	adjective	bul
августовски	adjective	mkd	августовски	adjective	bul
аврамски	adjective	mkd	аврамски	adjective	bul
автентичен	adjective	mkd	автентичен	adjective	bul
автономен	adjective	mkd	автономен	adjective	bul
авторски	adjective	mkd	авторски	adjective	bul
агресивен	adjective	mkd	агресивен	adjective	bul
адвокатски	adjective	mkd	адвокатски	adjective	bul
административен	adjective	mkd	административен	adjective	bul
азорски	adjective	mkd	азорски	adjective	bul
активен	adjective	mkd	активен	adjective	bul
актуелен	adjective	mkd	настоящ	adjective	bul
аландски	adjective	mkd	аландски	adjective	bul
албански	adjective	mkd	албански	adjective	bul
александровски	adjective	mkd	александровски	adjective	bul
алжирски	adjective	mkd	алжирски	adjective	bul
амбициозен	adjective	mkd	амбициозен	adjective	bul
американски	adjective	mkd	американски	adjective	bul
анадолски	adjective	mkd	анадолски	adjective	bul
анатолски	adjective	mkd	анатолски	adjective	bul
англикански	adjective	mkd	англикански	adjective	bul
англиски	adjective	mkd	английски	adjective	bul
анонимен	adjective	mkd	анонимен	adjective	bul
анти	adjective	mkd	анти	adjective	bul
антиалбански	adjective	mkd	антиалбански	adjective	bul
антиамерикански	adjective	mkd	антиамерикански	adjective	bul
антиестонски	adjective	mkd	антиестонски	adjective	bul
антиизраелски	adjective	mkd	антиизраелски	adjective	bul
антиимигрантски	adjective	mkd	антиимигрантски	adjective	bul
антитурски	adjective	mkd	антитурски	adjective	bul
априлски	adjective	mkd	априлски	adjective	bul
арамејски	adjective	mkd	арамейски	adjective	bul
арапски	adjective	mkd	арабски	adjective	bul
армиски	adjective	mkd	армейски	adjective	bul
арт	adjective	mkd	арт	adjective	bul
атински	adjective	mkd	атински	adjective	bul
атлански	adjective	mkd	атлантически	adjective	bul
африкански	adjective	mkd	африкански	adjective	bul
бабунски	adjective	mkd	бабунски	adjective	bul
баварски	adjective	mkd	баварски	adjective	bul
бавен	adjective	mkd	бавен	adjective	bul
багдадски	adjective	mkd	багдадски	adjective	bul
балкански	adjective	mkd	балкански	adjective	bul
банатски	adjective	mkd	банатски	adjective	bul
баран	adjective	mkd	търсен	adjective	bul
барселонски	adjective	mkd	барселонски	adjective	bul
бел	adjective	mkd	бял	adjective	bul
белградски	adjective	mkd	белградски	adjective	bul
белоруски	adjective	mkd	белоруски	adjective	bul
берлински	adjective	mkd	берлински	adjective	bul
бернски	adjective	mkd	бернски	adjective	bul
библиографски	adjective	mkd	библиографски	adjective	bul
бивш	adjective	mkd	бивш	adjective	bul
поранешен	adjective	mkd	бивш	adjective	bul
билатерален	adjective	mkd	двустранен	adjective	bul
биометрички	adjective	mkd	биометричен	adjective	bul
битолски	adjective	mkd	битолски	adjective	bul
благороден	adjective	mkd	благороден	adjective	bul
благословен	adjective	mkd	благословен	adjective	bul
ближен	adjective	mkd	ближен	adjective	bul
близок	adjective	mkd	близък	adjective	bul
болен	adjective	mkd	болен	adjective	bul
болоњски	adjective	mkd	болонски	adjective	bul
бомбашки	adjective	mkd	бомбен	adjective	bul
босански	adjective	mkd	боснески	adjective	bul
бостонски	adjective	mkd	бостънски	adjective	bul
бошњачки	adjective	mkd	босненски	adjective	bul
бразилски	adjective	mkd	бразилски	adjective	bul
братски	adjective	mkd	братски	adjective	bul
брачен	adjective	mkd	брачен	adjective	bul
брз	adjective	mkd	бърз	adjective	bul
британски	adjective	mkd	британски	adjective	bul
бродвејски	adjective	mkd	бродуейски	adjective	bul
броен	adjective	mkd	многоброен	adjective	bul
брокерски	adjective	mkd	брокерски	adjective	bul
брутален	adjective	mkd	брутален	adjective	bul
бугарски	adjective	mkd	български	adjective	bul
буџетски	adjective	mkd	бюджетен	adjective	bul
вавилонски	adjective	mkd	вавилонски	adjective	bul
важен	adjective	mkd	важен	adjective	bul
вакуфски	adjective	mkd	вакъфски	adjective	bul
вандалски	adjective	mkd	вандалски	adjective	bul
варшавски	adjective	mkd	варшавски	adjective	bul
вашингтонски	adjective	mkd	вашингтонски	adjective	bul
вековен	adjective	mkd	вековен	adjective	bul
велигденски	adjective	mkd	великденски	adjective	bul
венецуелски	adjective	mkd	венецуелски	adjective	bul
вербален	adjective	mkd	вербален	adjective	bul
веројатен	adjective	mkd	вероятен	adjective	bul
верски	adjective	mkd	верски	adjective	bul
вечен	adjective	mkd	вечен	adjective	bul
виден	adjective	mkd	виден	adjective	bul
виенски	adjective	mkd	виенски	adjective	bul
виетнамски	adjective	mkd	виетнамски	adjective	bul
византински	adjective	mkd	византийски	adjective	bul
визен	adjective	mkd	визов	adjective	bul
винарски	adjective	mkd	винарски	adjective	bul
виновен	adjective	mkd	виновен	adjective	bul
висок	adjective	mkd	висок	adjective	bul
вистински	adjective	mkd	действителен	adjective	bul
вицепремиерски	adjective	mkd	вицепремиерски	adjective	bul
вишеградски	adjective	mkd	вишеградски	adjective	bul
вклучен	adjective	mkd	включен	adjective	bul
вкупен	adjective	mkd	общ	adjective	bul
општ	adjective	mkd	общ	adjective	bul
владејачки	adjective	mkd	управляващ	adjective	bul
владин	adjective	mkd	правителствен	adjective	bul
влажен	adjective	mkd	влажен	adjective	bul
вмешан	adjective	mkd	замесен	adjective	bul
внатрешен	adjective	mkd	вътрешен	adjective	bul
домашен	adjective	mkd	вътрешен	adjective	bul
внимателен	adjective	mkd	внимателен	adjective	bul
воден	adjective	mkd	воден	adjective	bul
водечки	adjective	mkd	водещ	adjective	bul
воен	adjective	mkd	военен	adjective	bul
воздушен	adjective	mkd	въздушен	adjective	bul
вонреден	adjective	mkd	извънреден	adjective	bul
вооружен	adjective	mkd	въоръжен	adjective	bul
вреден	adjective	mkd	вреден	adjective	bul
врховен	adjective	mkd	върховен	adjective	bul
вселенски	adjective	mkd	вселенски	adjective	bul
вчерашен	adjective	mkd	вчерашен	adjective	bul
гангстерски	adjective	mkd	гангстерски	adjective	bul
генерален	adjective	mkd	генерален	adjective	bul
генералски	adjective	mkd	генералски	adjective	bul
географски	adjective	mkd	географски	adjective	bul
германски	adjective	mkd	германски	adjective	bul
гигантски	adjective	mkd	гигантски	adjective	bul
главен	adjective	mkd	главен	adjective	bul
избирачки	adjective	mkd	избирателен	adjective	bul
гласачки	adjective	mkd	избирателен	adjective	bul
глобален	adjective	mkd	глобален	adjective	bul
годишен	adjective	mkd	годишен	adjective	bul
голански	adjective	mkd	голански	adjective	bul
голем	adjective	mkd	голям	adjective	bul
горен	adjective	mkd	горен	adjective	bul
горски	adjective	mkd	горски	adjective	bul
градежен	adjective	mkd	строителен	adjective	bul
градски	adjective	mkd	градски	adjective	bul
грандиозен	adjective	mkd	грандиозен	adjective	bul
пограничен	adjective	mkd	граничен	adjective	bul
граничен	adjective	mkd	граничен	adjective	bul
грчки	adjective	mkd	гръцки	adjective	bul
даден	adjective	mkd	даден	adjective	bul
далечен	adjective	mkd	далечен	adjective	bul
далматински	adjective	mkd	далматински	adjective	bul
даночен	adjective	mkd	данъчен	adjective	bul
дводневен	adjective	mkd	двудневен	adjective	bul
двоен	adjective	mkd	двоен	adjective	bul
деловен	adjective	mkd	делови	adjective	bul
делумен	adjective	mkd	частичен	adjective	bul
демографски	adjective	mkd	демографски	adjective	bul
демократски	adjective	mkd	демократически	adjective	bul
десничарски	adjective	mkd	десен	adjective	bul
десен	adjective	mkd	десен	adjective	bul
детски	adjective	mkd	детски	adjective	bul
топол	adjective	mkd	топъл	adjective	bul
дефинитивен	adjective	mkd	дефинитивен	adjective	bul
див	adjective	mkd	див	adjective	bul
дизајнерски	adjective	mkd	дизайнерски	adjective	bul
диктаторски	adjective	mkd	диктаторски	adjective	bul
динамичен	adjective	mkd	динамичен	adjective	bul
дипломатски	adjective	mkd	дипломатически	adjective	bul
директен	adjective	mkd	директен	adjective	bul
дневен	adjective	mkd	ежедневен	adjective	bul
добар	adjective	mkd	добър	adjective	bul
доброволен	adjective	mkd	доброволен	adjective	bul
доброволски	adjective	mkd	доброволски	adjective	bul
добрососедски	adjective	mkd	добросъседски	adjective	bul
доверлив	adjective	mkd	надежден	adjective	bul
доволен	adjective	mkd	достатъчен	adjective	bul
довчерашен	adjective	mkd	довчерашен	adjective	bul
доделен	adjective	mkd	заделен	adjective	bul
наменет	adjective	mkd	заделен	adjective	bul
дозволен	adjective	mkd	позволен	adjective	bul
долг	adjective	mkd	дълъг	adjective	bul
долготраен	adjective	mkd	дълготраен	adjective	bul
долен	adjective	mkd	долен	adjective	bul
домашен	adjective	mkd	вътрешен	adjective	bul
донесен	adjective	mkd	взет	adjective	bul
дополнителен	adjective	mkd	допълнителен	adjective	bul
досегашен	adjective	mkd	досегашен	adjective	bul
драстичен	adjective	mkd	драстичен	adjective	bul
древен	adjective	mkd	древен	adjective	bul
државен	adjective	mkd	държавен	adjective	bul
друг	adjective	mkd	друг	adjective	bul
дунавски	adjective	mkd	дунавски	adjective	bul
духовен	adjective	mkd	духовен	adjective	bul
евентуален	adjective	mkd	евентуален	adjective	bul
еврејски	adjective	mkd	еврейски	adjective	bul
евроазиски	adjective	mkd	евразийски	adjective	bul
евроатлански	adjective	mkd	евроатлантически	adjective	bul
европски	adjective	mkd	европейски	adjective	bul
егејски	adjective	mkd	егейски	adjective	bul
египетски	adjective	mkd	египетски	adjective	bul
единствен	adjective	mkd	единствен	adjective	bul
едногласен	adjective	mkd	единодушен	adjective	bul
едноставен	adjective	mkd	прост	adjective	bul
економски	adjective	mkd	икономически	adjective	bul
експериментален	adjective	mkd	експериментален	adjective	bul
екстрадиран	adjective	mkd	екстрадиран	adjective	bul
ексцентричен	adjective	mkd	ексцентричен	adjective	bul
елегантен	adjective	mkd	елегантен	adjective	bul
електричен	adjective	mkd	електрически	adjective	bul
Еленовски	properNoun	mkd	Еленовски	properNoun	bul
елитен	adjective	mkd	елитен	adjective	bul
емоционален	adjective	mkd	емоционален	adjective	bul
енергетски	adjective	mkd	енергиен	adjective	bul
енергичен	adjective	mkd	енергичен	adjective	bul
естонски	adjective	mkd	естонски	adjective	bul
етнички	adjective	mkd	етнически	adjective	bul
етнографски	adjective	mkd	етнографски	adjective	bul
ефикасен	adjective	mkd	ефикасен	adjective	bul
жален	adjective	mkd	жален	adjective	bul
женевски	adjective	mkd	женевски	adjective	bul
женски	adjective	mkd	женски	adjective	bul
жесток	adjective	mkd	жесток	adjective	bul
животен	adjective	mkd	жизнен	adjective	bul
животински	adjective	mkd	животински	adjective	bul
забавен	adjective	mkd	забавен	adjective	bul
забранет	adjective	mkd	забранен	adjective	bul
завршен	adjective	mkd	завършен	adjective	bul
загребски	adjective	mkd	загребски	adjective	bul
загрижен	adjective	mkd	загрижен	adjective	bul
заден	adjective	mkd	заден	adjective	bul
задоволен	adjective	mkd	доволен	adjective	bul
задолжен	adjective	mkd	отговорен	adjective	bul
одговорен	adjective	mkd	отговорен	adjective	bul
задушен	adjective	mkd	задушен	adjective	bul
заеднички	adjective	mkd	съвместен	adjective	bul
заинтересиран	adjective	mkd	заинтересован	adjective	bul
закажан	adjective	mkd	планиран	adjective	bul
планиран	adjective	mkd	планиран	adjective	bul
закажен	adjective	mkd	насрочен	adjective	bul
законодавен	adjective	mkd	законодателен	adjective	bul
законски	adjective	mkd	законов	adjective	bul
заобиколен	adjective	mkd	заобиколен	adjective	bul
западен	adjective	mkd	западен	adjective	bul
западнобалкански	adjective	mkd	западнобалкански	adjective	bul
заразен	adjective	mkd	заразен	adjective	bul
затворен	adjective	mkd	затворен	adjective	bul
затворенички	adjective	mkd	затворнически	adjective	bul
затворски	adjective	mkd	затворнически	adjective	bul
заштитен	adjective	mkd	защитен	adjective	bul
звучен	adjective	mkd	звучен	adjective	bul
зголемен	adjective	mkd	увеличен	adjective	bul
здравствен	adjective	mkd	здравословен	adjective	bul
зелен	adjective	mkd	зелен	adjective	bul
црвен	adjective	mkd	червен	adjective	bul
жолт	adjective	mkd	жълт	adjective	bul
студен	adjective	mkd	студен	adjective	bul
студен	adjective	mkd	студен	adjective	bul
земен	adjective	mkd	земен	adjective	bul
полн	adjective	mkd	пълен	adjective	bul
лош	adjective	mkd	лош	adjective	bul
гнил	adjective	mkd	гнил	adjective	bul
валкан	adjective	mkd	мръсен	adjective	bul
нечист	adjective	mkd	нечист	adjective	bul
кружен	adjective	mkd	кръгъл	adjective	bul
тркалезен	adjective	mkd	кръгъл	adjective	bul
ладен	adjective	mkd	хладен	adjective	bul
тап	adjective	mkd	тъп	adjective	bul
мазен	adjective	mkd	гладък	adjective	bul
мокар	adjective	mkd	мокър	adjective	bul
сув	adjective	mkd	сух	adjective	bul
лев	adjective	mkd	ляв	adjective	bul
земунски	adjective	mkd	земунски	adjective	bul
земјоделски	adjective	mkd	селскостопански	adjective	bul
земјоделски	adjective	mkd	земеделски	adjective	bul
зетски	adjective	mkd	зетски	adjective	bul
златен	adjective	mkd	златен	adjective	bul
значаен	adjective	mkd	значителен	adjective	bul
значителен	adjective	mkd	значителен	adjective	bul
идеален	adjective	mkd	идеален	adjective	bul
иден	adjective	mkd	иден	adjective	bul
изборен	adjective	mkd	изборен	adjective	bul
избран	adjective	mkd	избран	adjective	bul
известен	adjective	mkd	известен	adjective	bul
познат	adjective	mkd	познат	adjective	bul
извршен	adjective	mkd	извършен	adjective	bul
издаден	adjective	mkd	издаден	adjective	bul
измамен	adjective	mkd	измамен	adjective	bul
изминат	adjective	mkd	минал	adjective	bul
минат	adjective	mkd	минал	adjective	bul
измирски	adjective	mkd	измирски	adjective	bul
израелски	adjective	mkd	израелски	adjective	bul
илегален	adjective	mkd	нелегален	adjective	bul
нелегален	adjective	mkd	нелегален	adjective	bul
илинденски	adjective	mkd	илинденски	adjective	bul
имигрантски	adjective	mkd	имигрантски	adjective	bul
имиграциски	adjective	mkd	имигрантски	adjective	bul
имотен	adjective	mkd	имотен	adjective	bul
имотски	adjective	mkd	имотен	adjective	bul
императорски	adjective	mkd	императорски	adjective	bul
импозантен	adjective	mkd	импозантен	adjective	bul
инвеститорски	adjective	mkd	инвеститорски	adjective	bul
инвестиционен	adjective	mkd	инвестиционен	adjective	bul
индивидуален	adjective	mkd	индивидуален	adjective	bul
индијски	adjective	mkd	индийски	adjective	bul
интензивен	adjective	mkd	интензивен	adjective	bul
интересен	adjective	mkd	интересен	adjective	bul
интернационален	adjective	mkd	интернационален	adjective	bul
интимен	adjective	mkd	интимен	adjective	bul
информативен	adjective	mkd	информативен	adjective	bul
ирански	adjective	mkd	ирански	adjective	bul
ирачки	adjective	mkd	иракски	adjective	bul
исклучителен	adjective	mkd	изключителен	adjective	bul
искористен	adjective	mkd	използван	adjective	bul
исламски	adjective	mkd	ислямски	adjective	bul
исландски	adjective	mkd	исландски	adjective	bul
исполнет	adjective	mkd	изпълнен	adjective	bul
испратен	adjective	mkd	изпратен	adjective	bul
ист	adjective	mkd	същ	adjective	bul
истанбулски	adjective	mkd	истанбулски	adjective	bul
историски	adjective	mkd	исторически	adjective	bul
источен	adjective	mkd	източен	adjective	bul
исчезнат	adjective	mkd	изчезнал	adjective	bul
