"France"-properNoun-fr "Francia"-properNoun-es
"conscience"-noun-fr "conciencia"-noun-es
"conscience"-noun-fr "consciencia"-noun-es
"Hénin"-properNoun-fr "Hénin"-properNoun-es
"Pavlov"-properNoun-fr "Pavlov"-properNoun-es
"ruisseau"-noun-fr "arroyo"-noun-es
"Mère Teresa"-properNoun-fr "Teresa de Calcuta"-properNoun-es
"Mère Teresa"-properNoun-fr "Madre Teresa de Calcuta"-properNoun-es
"criminaliser"-verb-fr "criminalizar"-verb-es
"Biel"-properNoun-fr "Biel"-properNoun-es
"Montilla"-properNoun-fr "Montilla"-properNoun-es
"Ibn Zuhr"-properNoun-fr "Avenzoar"-properNoun-es
"Saint-Loup"-properNoun-fr "Saint-Loup"-properNoun-es
"Boulevard"-properNoun-fr "Boulevard"-properNoun-es
"parcelle"-noun-fr "parcela"-noun-es
"acheteur"-noun-fr "comprador"-noun-es
"gérance"-noun-fr "gerencia"-noun-es
"pertinence"-noun-fr "idoneidad"-noun-es
"pertinence"-noun-fr "conveniencia"-noun-es
"américain"-noun-fr "americano"-noun-es
"métaphysique"-adjective-fr "metafísico"-adjective-es
"Sozialista Abertzaleak"-properNoun-fr "Sozialista Abertzaleak"-properNoun-es
"copie"-noun-fr "copia"-noun-es
"AESOL"-noun-fr "AESOL"-noun-es
"aliénation"-noun-fr "enajenación"-noun-es
"aliénation"-noun-fr "alienación"-noun-es
"espacer"-verb-fr "espaciar"-verb-es
"Agritubel"-properNoun-fr "Agritubel"-properNoun-es
"Turin"-properNoun-fr "Turín"-properNoun-es
"mettre à jour"-verb-fr "poner al día"-verb-es
"mettre à jour"-verb-fr "actualizar"-verb-es
"clic"-noun-fr "clic"-noun-es
"clic"-noun-fr "click"-noun-es
"pittoresque"-adjective-fr "pintoresco"-adjective-es
"Minnesota"-properNoun-fr "Minnesota"-properNoun-es
"mètre"-noun-fr "metro"-noun-es
"fois"-noun-fr "vez"-noun-es
"insulter"-verb-fr "insultar"-verb-es
"surf"-noun-fr "surf"-noun-es
"Anne"-properNoun-fr "Anne"-properNoun-es
"sciure"-noun-fr "serrín"-noun-es
"Isocrate"-properNoun-fr "Isócrates"-properNoun-es
"linéaire"-adjective-fr "lineal"-adjective-es
"pied"-noun-fr "pie"-noun-es
"Arturo"-properNoun-fr "Arturo"-properNoun-es
"Suzuki"-properNoun-fr "Suzuki"-properNoun-es
"paiement total"-noun-fr "pago total"-noun-es
"incrédulité"-noun-fr "incredulidad"-noun-es
"imposable"-adjective-fr "imponible"-adjective-es
"Trebeska"-properNoun-fr "Trebeska"-properNoun-es
"Julieta"-properNoun-fr "Julieta"-properNoun-es
"Waveqche"-properNoun-fr "Waveqche"-properNoun-es
"Aldecoa"-properNoun-fr "Aldecoa"-properNoun-es
"coordonner"-verb-fr "coordinar"-verb-es
"quasiment"-adverb-fr "prácticamente"-adverb-es
"Spencer"-properNoun-fr "Spencer"-properNoun-es
"aménagement"-noun-fr "disposición"-noun-es
"aménagement"-noun-fr "planeamiento"-noun-es
"tunique"-noun-fr "túnica"-noun-es
"animateur"-noun-fr "animador"-noun-es
"animateur"-noun-fr "locutor"-noun-es
"Adelaida"-properNoun-fr "Adelaida"-properNoun-es
"Abyssinie"-properNoun-fr "Abisinia"-properNoun-es
"le"-pronoun-fr "lo"-pronoun-es
"Aer"-noun-fr "Aer"-noun-es
"guerre froide"-noun-fr "guerra fría"-noun-es
"incapacité de travail permanent"-noun-fr "incapacidad laboral permanente"-noun-es
"République sociale italienne"-properNoun-fr "República Social Italiana"-properNoun-es
"Benito"-properNoun-fr "Benito"-properNoun-es
"Petrella"-properNoun-fr "Petrella"-properNoun-es
"Oñati"-properNoun-fr "Oñati"-properNoun-es
"volume"-noun-fr "volumen"-noun-es
"généralité"-noun-fr "generalidad"-noun-es
"AIA"-noun-fr "AIA"-noun-es
"Reggeaton"-properNoun-fr "Reggeaton"-properNoun-es
"exemption d'impôts"-noun-fr "exención fiscal"-noun-es
"Corine"-properNoun-fr "Corine"-properNoun-es
"quatre-vingt-onze"-numeral-fr "noventa y uno"-numeral-es
"agrochimie"-noun-fr "agroquímica"-noun-es
"simplement"-adverb-fr "simplemente"-adverb-es
"simplement"-adverb-fr "sencillamente"-adverb-es
"simplement"-adverb-fr "meramente"-adverb-es
"soupe"-noun-fr "sopa"-noun-es
"Stewart"-properNoun-fr "Stewart"-properNoun-es
"poids"-noun-fr "peso"-noun-es
"consortium"-noun-fr "consorcio"-noun-es
"Omar Al-Bachir"-properNoun-fr "Omar Al-Bachir"-properNoun-es
"couche"-noun-fr "corteza"-noun-es
"être enragé noir"-verb-fr "poner rojo de ira"-verb-es
"postguerre"-noun-fr "posguerra"-noun-es
"Euroligue"-properNoun-fr "Euroliga"-properNoun-es
"corruption"-noun-fr "corrupción"-noun-es
"antigivrant"-adjective-fr "anticongelante"-adjective-es
"Manuel Chaves González"-properNoun-fr "Manuel Chaves González"-properNoun-es
"Thèbes"-properNoun-fr "Tebas"-properNoun-es
"Baker"-properNoun-fr "Baker"-properNoun-es
"inter-provincial"-adjective-fr "interprovincial"-adjective-es
"expressivité"-noun-fr "expresividad"-noun-es
"abstrait"-adjective-fr "abstracto"-adjective-es
"Agénor"-properNoun-fr "Agenor"-properNoun-es
"sud"-noun-fr "sur"-noun-es
"UMP"-properNoun-fr "UMP"-properNoun-es
"Smyrne"-properNoun-fr "Esmirna"-properNoun-es
"en plein essor"-adverb-fr "en pleno apogeo"-adverb-es
"exploitation"-noun-fr "explotación"-noun-es
"exploitation"-noun-fr "aprovechamiento"-noun-es
"Armée Rouge"-properNoun-fr "Armada Roja"-properNoun-es
"faux-départ"-noun-fr "salida nula"-noun-es
"prévisible"-adjective-fr "previsible"-adjective-es
"vingt-huit"-numeral-fr "veintiocho"-numeral-es
"consécutif"-adjective-fr "consecutivo"-adjective-es
"Vendée"-properNoun-fr "Vendée"-properNoun-es
"Reguant"-properNoun-fr "Reguant"-properNoun-es
"Na-Bai"-noun-fr "Na-Bai"-noun-es
"créditeur"-adjective-fr "acreedor"-adjective-es
"nationalité"-noun-fr "nacionalidad"-noun-es
"Gard"-properNoun-fr "Gard"-properNoun-es
"addition"-noun-fr "adición"-noun-es
"Rita"-properNoun-fr "Rita"-properNoun-es
"télézapping"-properNoun-fr "telezapping"-properNoun-es
"Chechaouen"-properNoun-fr "Xauen"-properNoun-es
"inconvénient"-noun-fr "inconveniente"-noun-es
"usage"-noun-fr "uso"-noun-es
"Larrinaga"-properNoun-fr "Larrinaga"-properNoun-es
"application"-noun-fr "aplicación"-noun-es
"Potter"-properNoun-fr "Potter"-properNoun-es
"ingestion"-noun-fr "ingesta"-noun-es
"audiovisuel"-adjective-fr "audiovisual"-adjective-es
"Bosco"-properNoun-fr "Bosco"-properNoun-es
"Cape des Aiguilles"-properNoun-fr "Cabo de Agujas"-properNoun-es
"Cartagena"-properNoun-fr "Cartagena"-properNoun-es
"Marcotegui"-properNoun-fr "Marcotegui"-properNoun-es
"Fagoaga"-properNoun-fr "Fagoaga"-properNoun-es
"appartenance"-noun-fr "pertenencia"-noun-es
"Îles Tchagos"-properNoun-fr "Archipiélago Chagos"-properNoun-es
"tomber sur"-verb-fr "topar"-verb-es
"précieux"-adjective-fr "valioso"-adjective-es
"précieux"-adjective-fr "precioso"-adjective-es
"petite-fille"-noun-fr "nieta"-noun-es
"hilarité"-noun-fr "hilaridad"-noun-es
"subsidiaire"-adjective-fr "subsidiario"-adjective-es
"Bera"-properNoun-fr "Bera"-properNoun-es
"virtuose"-adjective-fr "virtuoso"-adjective-es
"épargnant"-noun-fr "ahorrador"-noun-es
"Marquina"-properNoun-fr "Marquina"-properNoun-es
"tribu"-noun-fr "tribu"-noun-es
"fruits de mer"-noun-fr "marisco"-noun-es
"Imaz"-properNoun-fr "Imaz"-properNoun-es
"de mon temps"-adverb-fr "en mis tiempos"-adverb-es
"restitution"-noun-fr "restitución"-noun-es
"Austrasie"-properNoun-fr "Austrasia"-properNoun-es
"une fois"-adverb-fr "una vez"-adverb-es
"convier"-verb-fr "invitar"-verb-es
"comprimé"-noun-fr "pastilla"-noun-es
"management"-noun-fr "dirección y gestión de empresas"-noun-es
"Martha"-properNoun-fr "Martha"-properNoun-es
"octet"-noun-fr "octeto"-noun-es
"mode"-noun-fr "modo"-noun-es
"mode"-noun-fr "moda"-noun-es
"Daddy"-properNoun-fr "Daddy"-properNoun-es
"email"-noun-fr "email"-noun-es
"Millersville"-properNoun-fr "Millersville"-properNoun-es
"L'Hospitalet de Llobregat"-properNoun-fr "L'Hospitalet de Llobregat"-properNoun-es
"gestuel"-adjective-fr "gestual"-adjective-es
"Sierra Morena"-properNoun-fr "Sierra Morena"-properNoun-es
"titre financier"-noun-fr "título valor"-noun-es
"opportunité"-noun-fr "oportunidad"-noun-es
"indemne"-adjective-fr "ileso"-adjective-es
"indemne"-adjective-fr "indemne"-adjective-es
"Asensio"-properNoun-fr "Asensio"-properNoun-es
"double"-noun-fr "doble"-noun-es
"dire au revoir à"-verb-fr "despedir de"-verb-es
"rétribution"-noun-fr "retribución"-noun-es
"Nadine"-properNoun-fr "Nadine"-properNoun-es
"Aldi"-properNoun-fr "Aldi"-properNoun-es
"Seine-Saint Denis"-properNoun-fr "Sena-San Denis"-properNoun-es
"rêver"-verb-fr "soñar"-verb-es
"dvix"-properNoun-fr "dvix"-properNoun-es
"dès lors"-adverb-fr "desde entonces"-adverb-es
"prolongement"-noun-fr "alargamiento"-noun-es
"téléphone"-noun-fr "teléfono"-noun-es
"amélioration"-noun-fr "mejora"-noun-es
"amélioration"-noun-fr "mejoría"-noun-es
"publicitaire"-adjective-fr "publicitario"-adjective-es
"sérénité"-noun-fr "serenidad"-noun-es
"Calonge"-properNoun-fr "Calonge"-properNoun-es
"instable"-adjective-fr "inestable"-adjective-es
"Akinfeev"-properNoun-fr "Akinfeev"-properNoun-es
"Nostra"-properNoun-fr "Nostra"-properNoun-es
"Géorgie"-properNoun-fr "Georgia"-properNoun-es
"devenir"-verb-fr "acaecer"-verb-es
"devenir"-verb-fr "acontecer"-verb-es
"devenir"-verb-fr "devenir"-verb-es
"devenir"-verb-fr "resultar"-verb-es
"latin"-adjective-fr "latino"-adjective-es
"Solidays"-properNoun-fr "Solidays"-properNoun-es
"AKA"-noun-fr "AKA"-noun-es
"Etxaniz"-properNoun-fr "Etxaniz"-properNoun-es
"permanence"-noun-fr "permanencia"-noun-es
"socialement"-adverb-fr "socialmente"-adverb-es
"fichage"-noun-fr "fichaje"-noun-es
"encornet"-noun-fr "chipirón"-noun-es
"moyen de production"-noun-fr "medio de producción"-noun-es
"constitutionnel"-adjective-fr "constitucional"-adjective-es
"baie vitrée"-noun-fr "ventanal"-noun-es
"pénitence"-noun-fr "penitencia"-noun-es
"Lynch"-properNoun-fr "Lynch"-properNoun-es
"rose"-adjective-fr "rosa"-adjective-es
"caractérisation"-noun-fr "caracterización"-noun-es
"juillet"-noun-fr "julio"-noun-es
"Japon"-properNoun-fr "Japón"-properNoun-es
"Alkarbide"-properNoun-fr "Alkarbide"-properNoun-es
"Yamoussoukro"-properNoun-fr "Yamoussoukro"-properNoun-es
"Libremail"-properNoun-fr "Libremail"-properNoun-es
"travail manuel"-noun-fr "manualidad"-noun-es
"dictionnaire"-noun-fr "diccionario"-noun-es
"trafic"-noun-fr "trasiego"-noun-es
"trafic"-noun-fr "tráfico"-noun-es
"Helguera"-properNoun-fr "Helguera"-properNoun-es
"nanotechnologie"-noun-fr "nanotecnología"-noun-es
"Nouvelle-Calédonie"-properNoun-fr "Nueva Caledonia"-properNoun-es
"Nouvelle-Calédonie"-properNoun-fr "Nouvelle-Calédonie"-properNoun-es
"mépris"-noun-fr "desprecio"-noun-es
"Velázquez"-properNoun-fr "Velázquez"-properNoun-es
"In Accordance"-properNoun-fr "In Accordance"-properNoun-es
"de moins en moins"-adverb-fr "cada vez menos"-adverb-es
"Bullock"-properNoun-fr "Bullock"-properNoun-es
"Organisation des Nations unies"-properNoun-fr "Organización de las Naciones Unidas"-properNoun-es
"effectuer"-verb-fr "efectuar"-verb-es
"réduire"-verb-fr "achicar"-verb-es
"réduire"-verb-fr "reducir"-verb-es
"entraîner"-verb-fr "entrenar"-verb-es
"propreté"-noun-fr "limpieza"-noun-es
"Banque Internationale pour la Reconstruction et le Développement"-properNoun-fr "Banco Internacional de Reconstrucción y Fomento"-properNoun-es
"appréciable"-adjective-fr "apreciable"-adjective-es
"Aube"-properNoun-fr "Aube"-properNoun-es
"Amilivia"-properNoun-fr "Amilivia"-properNoun-es
"féroce"-adjective-fr "feroz"-adjective-es
"de guérilleros"-adjective-fr "guerrillero"-adjective-es
"cime"-noun-fr "cumbre"-noun-es
"cime"-noun-fr "cima"-noun-es
"Alro"-properNoun-fr "Alro"-properNoun-es
"nomination"-noun-fr "nominación"-noun-es
"nomination"-noun-fr "nombramiento"-noun-es
"León"-properNoun-fr "León"-properNoun-es
"prévention"-noun-fr "prevención"-noun-es
"prévention"-noun-fr "apercibimiento"-noun-es
"prendre un biais"-verb-fr "dar un rodeo"-verb-es
"tabou"-noun-fr "tabú"-noun-es
"Boris Tadic"-properNoun-fr "Boris Tadic"-properNoun-es
"Néstor Carlos Kirchner"-properNoun-fr "Néstor Kirchner"-properNoun-es
"Muguruza"-properNoun-fr "Muguruza"-properNoun-es
"koctet"-noun-fr "kocteto"-noun-es
"assemblée générale"-noun-fr "asamblea general"-noun-es
"Txuma"-properNoun-fr "Txuma"-properNoun-es
"Ibarra"-properNoun-fr "Ibarra"-properNoun-es
"marketing"-noun-fr "marketing"-noun-es
"facilitation"-noun-fr "facilitación"-noun-es
"étourdir"-verb-fr "aturdir"-verb-es
"Tage"-properNoun-fr "Tajo"-properNoun-es
"ingénieux"-adjective-fr "ingenioso"-adjective-es
"fluctuation de la bourse"-noun-fr "fluctuación de bolsa"-noun-es
"incontesté"-adjective-fr "indiscutible"-adjective-es
"Valverde"-properNoun-fr "Valverde"-properNoun-es
"Sanchis"-properNoun-fr "Sanchis"-properNoun-es
"Guijarro"-properNoun-fr "Guijarro"-properNoun-es
"Alapuzha"-properNoun-fr "Alapuzha"-properNoun-es
"trentaine"-noun-fr "treintena"-noun-es
"titularisation"-noun-fr "titularización"-noun-es
"échec et mat"-interjection-fr "jaque y mate"-interjection-es
"contrairement à"-preposition-fr "contra"-preposition-es
"mini"-noun-fr "mini"-noun-es
"Jéricho"-properNoun-fr "Jericó"-properNoun-es
"Accoyer"-properNoun-fr "Accoyer"-properNoun-es
"Isabel"-properNoun-fr "Isabel"-properNoun-es
"drapeau de départ"-noun-fr "bandera de salida"-noun-es
"véhiculer"-verb-fr "transportar"-verb-es
"Boèce"-properNoun-fr "Boecio"-properNoun-es
"Brazzaville"-properNoun-fr "Brazzaville"-properNoun-es
"détail"-noun-fr "detalle"-noun-es
"détail"-noun-fr "pormenor"-noun-es
"réhabiliter"-verb-fr "rehabilitar"-verb-es
"dégrader"-verb-fr "degradar"-verb-es
"pauvre"-adjective-fr "pobre"-adjective-es
"sur mesure"-adverb-fr "a la medida"-adverb-es
"réclamation"-noun-fr "reclamación"-noun-es
"désambiguïsation"-noun-fr "desambiguación"-noun-es
"commune"-noun-fr "municipio"-noun-es
"Djihad"-properNoun-fr "Jihad"-properNoun-es
"radicalisme"-noun-fr "radicalismo"-noun-es
"embryonnaire"-adjective-fr "embrionario"-adjective-es
"lanceur"-noun-fr "lanzador"-noun-es
"ressource"-noun-fr "recurso"-noun-es
"muer"-verb-fr "mudar"-verb-es
"triomphal"-adjective-fr "apoteósico"-adjective-es
"triomphal"-adjective-fr "triunfal"-adjective-es
"Iñaki"-properNoun-fr "Iñaki"-properNoun-es
"à l'exception de"-preposition-fr "excepto"-preposition-es
"à l'exception de"-preposition-fr "exceptuando a"-preposition-es
"rhétorique"-noun-fr "retórica"-noun-es
"rétrospectif"-adjective-fr "retrospectivo"-adjective-es
"redresser"-verb-fr "repuntar"-verb-es
"redresser"-verb-fr "erguir"-verb-es
"redresser"-verb-fr "enderezar"-verb-es
"El Aaiun"-properNoun-fr "El Aaiún"-properNoun-es
"remède"-noun-fr "remedio"-noun-es
"utilité"-noun-fr "utilidad"-noun-es
"en port dû"-adverb-fr "a franquear en destino"-adverb-es
"en port dû"-adverb-fr "a franquear en su destino"-adverb-es
"Ekopass"-properNoun-fr "Ekopass"-properNoun-es
"Bulgarie"-properNoun-fr "Bulgaria"-properNoun-es
"Jheronimus Van Aeken"-properNoun-fr "Hieronymus Van Aeken"-properNoun-es
"Slavonie"-properNoun-fr "Eslavonia"-properNoun-es
"festivité"-noun-fr "festividad"-noun-es
"saturation"-noun-fr "saturación"-noun-es
"peinture murale"-noun-fr "mural"-noun-es
"cognitif"-adjective-fr "cognitivo"-adjective-es
"cognitif"-adjective-fr "cognoscitivo"-adjective-es
"biscaïen"-adjective-fr "vizcaíno"-adjective-es
"officialité"-noun-fr "oficialidad"-noun-es
"Civic"-properNoun-fr "Civic"-properNoun-es
"Golfe du Mexique"-properNoun-fr "Golfo de México"-properNoun-es
"recteur"-noun-fr "rector"-noun-es
"Cupidon"-properNoun-fr "Cupidon"-properNoun-es
"producteur"-noun-fr "productor"-noun-es
"Brême"-properNoun-fr "Bremen"-properNoun-es
"El Prat"-properNoun-fr "El Prat"-properNoun-es
"Saint-Pierre"-properNoun-fr "Saint-Pierre"-properNoun-es
"Douarnenez"-properNoun-fr "Douarnenez"-properNoun-es
"enclave"-noun-fr "enclave"-noun-es
"Korta"-properNoun-fr "Korta"-properNoun-es
"station-service"-noun-fr "gasolinera"-noun-es
"digital"-adjective-fr "digital"-adjective-es
"Atienza"-properNoun-fr "Atienza"-properNoun-es
"hébergé"-adjective-fr "albergado"-adjective-es
"clef"-noun-fr "llave"-noun-es
"Eiffel"-properNoun-fr "Eiffel"-properNoun-es
"par ordre de"-preposition-fr "por orden de"-preposition-es
"gage"-noun-fr "prenda"-noun-es
"inciter"-verb-fr "incitar"-verb-es
"Urcabal"-properNoun-fr "Urcabal"-properNoun-es
"texan"-adjective-fr "tejano"-adjective-es
"chômage"-noun-fr "paro"-noun-es
"chômage"-noun-fr "desempleo"-noun-es
"triathlon"-noun-fr "triatlón"-noun-es
"privé"-adjective-fr "privado"-adjective-es
"Équateur"-properNoun-fr "Ecuador"-properNoun-es
"route de la soie"-properNoun-fr "ruta de la seda"-properNoun-es
"voix"-noun-fr "voz"-noun-es
"Goenaga"-properNoun-fr "Goenaga"-properNoun-es
"eux"-pronoun-fr "él"-pronoun-es
"hôtel particulier"-noun-fr "palacete"-noun-es
"empreindre"-verb-fr "imprimir"-verb-es
"grue"-noun-fr "grúa"-noun-es
"Rodolphe"-properNoun-fr "Rodolphe"-properNoun-es
"Berezovski"-properNoun-fr "Berezovski"-properNoun-es
"Daniel"-properNoun-fr "Daniel"-properNoun-es
"jazz"-noun-fr "jazz"-noun-es
"milliard"-noun-fr "millardo"-noun-es
"Elena"-properNoun-fr "Elena"-properNoun-es
"Guernica"-properNoun-fr "Guernica"-properNoun-es
"Forest"-properNoun-fr "Forest"-properNoun-es
"Tommaso Albinoni"-properNoun-fr "Tommaso Albinoni"-properNoun-es
"Adrià"-properNoun-fr "Adrià"-properNoun-es
"épicier"-noun-fr "especiero"-noun-es
"Jessica"-properNoun-fr "Jessica"-properNoun-es
"virus"-noun-fr "virus"-noun-es
"colère"-noun-fr "ira"-noun-es
"colère"-noun-fr "rabia"-noun-es
"colère"-noun-fr "cólera"-noun-es
"Rhône"-properNoun-fr "Ródano"-properNoun-es
"Suva"-properNoun-fr "Suva"-properNoun-es
"Télémaque"-properNoun-fr "Telémaco"-properNoun-es
"insécurité"-noun-fr "inseguridad"-noun-es
"Claudia"-properNoun-fr "Claudia"-properNoun-es
"jordanien"-adjective-fr "jordano"-adjective-es
"Iphigénie"-properNoun-fr "Ifigenia"-properNoun-es
"recommandation d'assurance"-noun-fr "recomendación de seguridad"-noun-es
"d'avila"-adjective-fr "abulense"-adjective-es
"urgent"-adjective-fr "urgente"-adjective-es
"biologiste"-noun-fr "biólogo"-noun-es
"Costa Brava"-properNoun-fr "Costa Brava"-properNoun-es
"Askatasuna"-properNoun-fr "Askatasuna"-properNoun-es
"gloire"-noun-fr "gloria"-noun-es
"Gerokon"-properNoun-fr "Gerokon"-properNoun-es
"Ésope"-properNoun-fr "Esopo"-properNoun-es
"abrupt"-adjective-fr "abrupto"-adjective-es
"festif"-adjective-fr "festivo"-adjective-es
"vérifiable"-adjective-fr "verificable"-adjective-es
"futur"-noun-fr "futuro"-noun-es
"Commonwealth des îles Mariannes du Nord"-properNoun-fr "Mancomunidad de las Islas Marianas del Norte"-properNoun-es
"anonymat"-noun-fr "anonimato"-noun-es
"allaiter"-verb-fr "amamantar"-verb-es
"prélude"-noun-fr "preludio"-noun-es
"Bohême"-properNoun-fr "Bohemia"-properNoun-es
"Pau"-properNoun-fr "Pau"-properNoun-es
"Cartier"-properNoun-fr "Cartier"-properNoun-es
"léguer"-verb-fr "legar"-verb-es
"de travail"-adjective-fr "laboral"-adjective-es
"conjecture"-noun-fr "conjetura"-noun-es
"poignarder"-verb-fr "acuchillar"-verb-es
"poignarder"-verb-fr "apuñalar"-verb-es
"profession"-noun-fr "profesión"-noun-es
"compagnie aérienne"-noun-fr "aerolínea"-noun-es
"Moscou"-properNoun-fr "Moscú"-properNoun-es
"antimondialisation"-noun-fr "antiglobalización"-noun-es
"coordinateur"-adjective-fr "coordinador"-adjective-es
"occuper"-verb-fr "ocupar"-verb-es
"occuper"-verb-fr "desempeñar"-verb-es
"en long et en large"-adverb-fr "a lo largo y a lo ancho"-adverb-es
"outre mesure"-adverb-fr "más de la cuenta"-adverb-es
"règlement de pensions"-noun-fr "abono de pensiones"-noun-es
"balisage"-noun-fr "balizaje"-noun-es
"chorégraphier"-verb-fr "coreografiar"-verb-es
"chewing-gum"-noun-fr "chicle"-noun-es
"convenir verbalement de"-verb-fr "apalabrar"-verb-es
"sonique"-adjective-fr "sónico"-adjective-es
"Aukera Guztiak"-properNoun-fr "Aukera Guztiak"-properNoun-es
"LaChef"-properNoun-fr "LaChef"-properNoun-es
"Vitry-le-François"-properNoun-fr "Vitry-le-François"-properNoun-es
"Vespasien"-properNoun-fr "Vespasiano"-properNoun-es
"comité"-noun-fr "comité"-noun-es
"pèlerinage"-noun-fr "peregrinación"-noun-es
"pèlerinage"-noun-fr "peregrinaje"-noun-es
"pèlerinage"-noun-fr "romería"-noun-es
"Anheuser-Busch"-properNoun-fr "Anheuser-Busch"-properNoun-es
"Anfield"-properNoun-fr "Anfield"-properNoun-es
"lu et approuvé"-adjective-fr "visto y aprobado"-adjective-es
"hétérosexuel"-noun-fr "heterosexual"-noun-es
"Bamberg"-properNoun-fr "Bamberg"-properNoun-es
"Natra"-properNoun-fr "Natra"-properNoun-es
"Louisiane"-properNoun-fr "Louisiana"-properNoun-es
"est-ce que"-pronoun-fr "¿"-pronoun-es
"foule"-noun-fr "multitud"-noun-es
"foule"-noun-fr "muchedumbre"-noun-es
"Cadaqués"-properNoun-fr "Cadaqués"-properNoun-es
"Indiana"-properNoun-fr "Indiana"-properNoun-es
"Caucchioli"-properNoun-fr "Caucchioli"-properNoun-es
"incontestable"-adjective-fr "incontrovertido"-adjective-es
"moquetteur"-noun-fr "enmoquetador"-noun-es
"antériorité"-noun-fr "anterioridad"-noun-es
"ceindre"-verb-fr "ceñir"-verb-es
"liquide"-adjective-fr "líquido"-adjective-es
"externe"-adjective-fr "externo"-adjective-es
"Nocedal"-properNoun-fr "Nocedal"-properNoun-es
"préférablement"-adverb-fr "preferiblemente"-adverb-es
"communisme"-noun-fr "comunismo"-noun-es
"personnalisation"-noun-fr "personalización"-noun-es
"Julian Schnabel"-properNoun-fr "Julian Schnabel"-properNoun-es
"Ajax"-properNoun-fr "Ajax"-properNoun-es
"Ibargoyen"-properNoun-fr "Ibargoyen"-properNoun-es
"Moncloa"-properNoun-fr "Moncloa"-properNoun-es
"Meryl"-properNoun-fr "Meryl"-properNoun-es
"Ribeiro"-properNoun-fr "Ribeiro"-properNoun-es
"martyre"-noun-fr "martirio"-noun-es
"kutxazabal"-properNoun-fr "kutxazabal"-properNoun-es
"écossais"-adjective-fr "escocés"-adjective-es
"Mésopotamie"-properNoun-fr "Mesopotamia"-properNoun-es
"démarche"-noun-fr "paso"-noun-es
"démarche"-noun-fr "tramitación"-noun-es
"démarche"-noun-fr "trámite"-noun-es
"Otaegi"-properNoun-fr "Otaegi"-properNoun-es
"kutxanet"-properNoun-fr "kutxanet"-properNoun-es
"semaine"-noun-fr "semana"-noun-es
"Îles Pitcairn"-properNoun-fr "Islas Pitcairn"-properNoun-es
"artificier"-noun-fr "artificiero"-noun-es
"Pardo"-properNoun-fr "Pardo"-properNoun-es
"à l'époque"-adverb-fr "en aquellos tiempos"-adverb-es
"HOJ"-noun-fr "HOJ"-noun-es
"Stephen"-properNoun-fr "Stephen"-properNoun-es
"sanitaire"-adjective-fr "sanitario"-adjective-es
