"intence"-adverb-eo "advisedly"-adverb-en
"hermetika"-adjective-eo "watertight"-adjective-en
"watertight"-adjective-en "hermetika"-adjective-eo
"minoritary"-adjective-en "malplimulta"-adjective-eo
"malplimulta"-adjective-eo "minoritary"-adjective-en
"enigma"-adjective-eo "enigmatic"-adjective-en
"enigmatic"-adjective-en "enigma"-adjective-eo
"nokta"-adjective-eo "nocturnal"-adjective-en
"nocturnal"-adjective-en "nokta"-adjective-eo
"rotatory"-adjective-en "rotacia"-adjective-eo
"rotacia"-adjective-eo "rotatory"-adjective-en
"rotacia"-adjective-eo "revolving"-adjective-en
"revolving"-adjective-en "rotacia"-adjective-eo
"rigora"-adjective-eo "rigorous"-adjective-en
"rigorous"-adjective-en "rigora"-adjective-eo
"sporta"-adjective-eo "sportive"-adjective-en
"sportive"-adjective-en "sporta"-adjective-eo
"xenophobe"-adjective-en "ksenofobia"-adjective-eo
"ksenofobia"-adjective-eo "xenophobe"-adjective-en
"dutch"-adjective-en "nederlanda"-adjective-eo
"nederlanda"-adjective-eo "dutch"-adjective-en
"declaim"-verb-en "deklami"-verb-eo
"deklami"-verb-eo "declaim"-verb-en
"rhythmical"-adjective-en "ritma"-adjective-eo
"ritma"-adjective-eo "rhythmical"-adjective-en
"subtera"-adjective-eo "subterranean"-adjective-en
"subterranean"-adjective-en "subtera"-adjective-eo
"skandali"-verb-eo "scandalise"-verb-en
"scandalise"-verb-en "skandali"-verb-eo
"hygienic"-adjective-en "higiena"-adjective-eo
"higiena"-adjective-eo "hygienic"-adjective-en
"sanga"-adjective-eo "blood"-adjective-en
"blood"-adjective-en "sanga"-adjective-eo
"dilate"-verb-en "dilati"-verb-eo
"dilati"-verb-eo "dilate"-verb-en
"Potter"-noun-en "Potter"-properNoun-eo
"Potter"-properNoun-eo "Potter"-noun-en
"skandala"-adjective-eo "scandalous"-adjective-en
"scandalous"-adjective-en "skandala"-adjective-eo
"apokalipsa"-adjective-eo "apocalyptical"-adjective-en
"apocalyptical"-adjective-en "apokalipsa"-adjective-eo
