"lo"-determiner-es "la"-determiner-eo
"reflekti"-verb-eo "plasmar"-verb-es
"plasmar"-verb-es "reflekti"-verb-eo
"ajudiki"-verb-eo "otorgar"-verb-es
"otorgar"-verb-es "ajudiki"-verb-eo
"apelar"-verb-es "apelacii"-verb-eo
"apelacii"-verb-eo "apelar"-verb-es
"kvereli"-verb-eo "disputar"-verb-es
"disputar"-verb-es "kvereli"-verb-eo
"konkurenci"-verb-eo "competer"-verb-es
"competer"-verb-es "konkurenci"-verb-eo
"inundi"-verb-eo "anegar"-verb-es
"anegar"-verb-es "inundi"-verb-eo
"implici"-verb-eo "involucrar"-verb-es
"involucrar"-verb-es "implici"-verb-eo
"preskaŭ"-adverb-eo "casi-"-adverb-es
"preskaŭ"-adverb-eo "casi"-adverb-es
"casi-"-adverb-es "preskaŭ"-adverb-eo
"casi"-adverb-es "preskaŭ"-adverb-eo
"tenebro"-noun-eo "tiniebla"-noun-es
"tiniebla"-noun-es "tenebro"-noun-eo
"honoro"-noun-eo "honra"-noun-es
"honra"-noun-es "honoro"-noun-eo
"modemo"-noun-eo "modem"-noun-es
"modem"-noun-es "modemo"-noun-eo
"ŝultro"-noun-eo "paletilla"-noun-es
"paletilla"-noun-es "ŝultro"-noun-eo
"impresora"-noun-es "printilo"-noun-eo
"printilo"-noun-eo "impresora"-noun-es
"pivoto"-noun-eo "pívot"-noun-es
"pívot"-noun-es "pivoto"-noun-eo
"forumo"-noun-eo "fórum"-noun-es
"fórum"-noun-es "forumo"-noun-eo
"espesura"-noun-es "dikeco"-noun-eo
"dikeco"-noun-eo "espesura"-noun-es
"dikeco"-noun-eo "espesor"-noun-es
"espesor"-noun-es "dikeco"-noun-eo
"katastrofa"-adjective-eo "desastroso"-adjective-es
"desastroso"-adjective-es "katastrofa"-adjective-eo
"fumar"-verb-es "fumaĵi"-verb-eo
"fumaĵi"-verb-eo "fumar"-verb-es
"Kazaĥio"-properNoun-eo "Kazajstán"-properNoun-es
"Kazajstán"-properNoun-es "Kazaĥio"-properNoun-eo
"Sud-Afriko"-properNoun-eo "Suráfrica"-properNoun-es
"Suráfrica"-properNoun-es "Sud-Afriko"-properNoun-eo
"Tokio"-properNoun-eo "Tokyo"-properNoun-es
"Tokyo"-properNoun-es "Tokio"-properNoun-eo
"hockey"-noun-es "hokeo"-noun-eo
"hokeo"-noun-eo "hockey"-noun-es
"latín"-noun-es "latino"-noun-eo
"latino"-noun-eo "latín"-noun-es
"kunvivado"-noun-eo "cohabitación"-noun-es
"cohabitación"-noun-es "kunvivado"-noun-eo
"tinte"-noun-es "tinkturo"-noun-eo
"tinkturo"-noun-eo "tinte"-noun-es
"malvarmeto"-noun-eo "frescor"-noun-es
"frescor"-noun-es "malvarmeto"-noun-eo
"pistujo"-noun-eo "almirez"-noun-es
"almirez"-noun-es "pistujo"-noun-eo
"huerto"-noun-es "legomĝardeno"-noun-eo
"legomĝardeno"-noun-eo "huerto"-noun-es
"palomo"-noun-es "kolombo"-noun-eo
"kolombo"-noun-eo "palomo"-noun-es
"peregrinaje"-noun-es "pilgrimado"-noun-eo
"pilgrimado"-noun-eo "peregrinaje"-noun-es
"restrukturado"-noun-eo "restructuración"-noun-es
"restructuración"-noun-es "restrukturado"-noun-eo
"austríaco"-adjective-es "aŭstra"-adjective-eo
"aŭstra"-adjective-eo "austríaco"-adjective-es
"nerefutebla"-adjective-eo "fehaciente"-adjective-es
"fehaciente"-adjective-es "nerefutebla"-adjective-eo
"organizativo"-adjective-es "organiza"-adjective-eo
"organiza"-adjective-eo "organizativo"-adjective-es
"polica"-adjective-eo "policiaco"-adjective-es
"polica"-adjective-eo "policíaco"-adjective-es
"policiaco"-adjective-es "polica"-adjective-eo
"policíaco"-adjective-es "polica"-adjective-eo
"sangriento"-adjective-es "sanga"-adjective-eo
"sanga"-adjective-eo "sangriento"-adjective-es
