								Y/N	Comments
tancar	verb	cat	barrar	verb	cat	0	0.84	y	
llumí	noun	cat	fòsfor	noun	cat	0	0.653333	y	
elevar	verb	cat	enlairar	verb	cat	0	0.98	y	
abecedari	noun	cat	beceroles	noun	cat	0	0.746667	y	
ovella	noun	cat	be	noun	cat	0	0.98	y	
forqueta	noun	cat	forquilla	noun	cat	0	1	y	
servar	verb	cat	mirar	verb	cat	0	0.533333	n	
cridòria	noun	cat	aldarull	noun	cat	0	0.98	y	
bresquiller	noun	cat	presseguera	noun	cat	0	0.746667	y	
proporcionar	verb	cat	fornir	verb	cat	0	0.653333	y	
cullera	noun	cat	cullerada	noun	cat	0	0.98	n	
usualment	adverb	cat	freqüentment	adverb	cat	0	0.653333	y	
melmelada	noun	cat	confitura	noun	cat	0	0.84	y	
aljub	noun	cat	cisterna	noun	cat	0	0.84	y	
colgar	verb	cat	abrigar	verb	cat	0	0.98	y	colgar sota les mantes, abrigar sota les mantes?
clar	adjective	cat	translúcid	adjective	cat	0	0.653333	y	
a prop	adverb	cat	prop	adverb	cat	0	1	y	
feina	noun	cat	ofici	noun	cat	0	0.84	y	
llimera	noun	cat	llimoner	noun	cat	0	0.746667	y	
seny	noun	cat	sensatesa	noun	cat	0	0.746667	y	
darrer	adjective	cat	últim	adjective	cat	0	1	y	
rotatiu	noun	cat	periòdic	noun	cat	0	0.84	y	
enrere	adverb	cat	darrera	adverb	cat	0	0.84	y	
tribunal	noun	cat	jutjat	noun	cat	0	0.98	y	
convertir-se	verb	cat	esdevenir	verb	cat	0	0.84	y	
especialment	adverb	cat	particularment	adverb	cat	0	0.84	y	
pietós	adjective	cat	piadós	adjective	cat	0	1	y	
començar	verb	cat	iniciar	verb	cat	0	0.98	y	
repudiar	verb	cat	rebutjar	verb	cat	0	0.84	y	
dita	noun	cat	proverbi	noun	cat	0	0.84	y	
plet	noun	cat	litigi	noun	cat	0	0.84	y	
septe	noun	cat	envà	noun	cat	0	0.98	y	septe nasal, envà nasal
peça de roba	noun	cat	peça de vestir	noun	cat	0	0.666667	y	
fer una ullada	verb	cat	donar un cop d'ull	verb	cat	0	0.5	y	
pesebre	noun	cat	pessebre	noun	cat	0	1	y	
cap de colla	noun	cat	capatàs	noun	cat	0	0.98	y	
aviat	adverb	cat	d'hora	adverb	cat	0	1	y	
quedar	verb	cat	restar	verb	cat	0	0.98	y	
inevitable	adjective	cat	ineludible	adjective	cat	0	0.746667	y	
recercar	verb	cat	buscar	verb	cat	0	0.653333	y	
bromejar	verb	cat	fer broma	verb	cat	0	0.98	y	
desglaçar	verb	cat	desgelar	verb	cat	0	0.84	y	
segell	noun	cat	etiqueta	noun	cat	0	0.84	y	
colpejar	verb	cat	batre	verb	cat	0	0.84	y	
brillant	adjective	cat	enginyós	adjective	cat	0	0.533333	y	
molt	adverb	cat	ben	adverb	cat	0	0.84	y	
per altra banda	adverb	cat	d'una altra banda	adverb	cat	0	1	y	
pebre	noun	cat	pebrot	noun	cat	0	0.84	y	
ubicar	verb	cat	situar	verb	cat	0	0.98	y	
catastròfic	adjective	cat	desastrós	adjective	cat	0	0.84	y	
detenir	verb	cat	parar	verb	cat	0	0.98	y	
forquilla	noun	cat	forqueta	noun	cat	0	1	y	
parada	noun	cat	estand	noun	cat	0	0.653333	y	
habilitat	noun	cat	capacitat	noun	cat	0	0.84	y	
murri	adjective	cat	picardiós	adjective	cat	0	1	y	
celler	noun	cat	cava	noun	cat	0	0.533333	y	
captar	verb	cat	agafar	verb	cat	0	0.84	y	
aspre	adjective	cat	agre	adjective	cat	0	0.84	y	comentari aspre, comentari agre
cansat	adjective	cat	fatigat	adjective	cat	0	0.84	y	
maleter	noun	cat	portaequipatge	noun	cat	0	1	y	
a sota	adverb	cat	a baix	adverb	cat	0	1	y	
dossier	noun	cat	fitxer	noun	cat	0	0.6	n	
