didactique	adjective	fr	pedagògic	adjective	ca	Y
entourage	noun	fr	rodalia	noun	ca	N
agrafe	noun	fr	gafa	noun	ca	Y
quarante	neuf	numeral	trenta	nou	numeral	N
Îles Mariannes du Nord	properNoun	fr	Illes Marianes del Nord	properNoun	ca	Y
cinquante et un	numeral	fr	cinquanta	u	numeral	Y
Orense	properNoun	fr	Ourense	properNoun	ca	Y
raisonnable	adjective	fr	racional	adjective	ca	Y
incontestablement	adverb	fr	indiscutiblement	adverb	ca	Y
Kenya	properNoun	fr	Kenia	properNoun	ca	N
récit	noun	fr	relació	noun	ca	N
propriété	noun	fr	hisenda	noun	ca	Y
essentiel	adjective	fr	vital	adjective	ca	Y
attaché	case	noun	carpeta	noun	ca	N
Grenade	properNoun	fr	Grenada	properNoun	ca	Y
rang	noun	fr	filera	noun	ca	Y
Sicile	properNoun	fr	Sicilia	properNoun	ca	Y
légal	adjective	fr	legítim	adjective	ca	N
étape	noun	fr	estadi	noun	ca	Y
lamentation	noun	fr	queixa	noun	ca	Y
ours	noun	fr	os	noun	ca	Y
à côté	adverb	fr	vora	adverb	ca	Y
affaisser	verb	fr	ensorrar	verb	ca	Y
reviser	verb	fr	revisar	verb	ca	Y
rabais	noun	fr	descompte	noun	ca	Y
faire faillite	verb	fr	fallir	verb	ca	N
terme	noun	fr	membre	noun	ca	N
Martín	properNoun	fr	Martin	properNoun	ca	N
octante	deux	numeral	vuitanta	dos	numeral	Y
Cachemire	properNoun	fr	Caixmir	properNoun	ca	Y
Union Soviétique	properNoun	fr	Unió Soviètica	properNoun	ca	Y
bord	noun	fr	cantell	noun	ca	Y
Amazone	properNoun	fr	Amazon	properNoun	ca	N
Cristóbal	properNoun	fr	Christophe	properNoun	ca	N
Îles Cocos	properNoun	fr	Illes Cocos	properNoun	ca	Y
quarante et un	numeral	fr	quaranta	u	numeral	Y
éluder	verb	fr	evadir	verb	ca	Y
sept	cent	numeral	set	cents	numeral	Y
allouer	verb	fr	admetre	verb	ca	N
complet	adjective	fr	ple	adjective	ca	Y
garçon	noun	fr	infant	noun	ca	Y
par ailleurs	adverb	fr	per altra banda	adverb	ca	Y
Pays Valencien	properNoun	fr	País Valencià	properNoun	ca	Y
geler	verb	fr	gelar	verb	ca	Y
enfant	noun	fr	xicot	noun	ca	N
queue	noun	fr	mànec	noun	ca	N
crainte	noun	fr	por	noun	ca	Y
esprit d'entreprise	noun	fr	iniciativa	noun	ca	Y
pour l'instant	adverb	fr	ara com ara	adverb	ca	Y
soldat de deuxième classe	noun	fr	soldat	noun	ca	Y
bolchevique	adjective	fr	bolxevic	adjective	ca	Y
mer d'Azov	properNoun	fr	mar d'Azov	properNoun	ca	Y
habitation	noun	fr	cambra	noun	ca	Y
Moldavie	properNoun	fr	Moldova	properNoun	ca	Y
distinctif	adjective	fr	característic	adjective	ca	Y
profitable	adjective	fr	rendible	adjective	ca	Y
océan Atlantique	properNoun	fr	l'Atlàntic	properNoun	ca	N
diriger	verb	fr	enfocar	verb	ca	Y
rechange	noun	fr	substitució	noun	ca	Y
Bhoutan	properNoun	fr	Bhután	properNoun	ca	N
groupement	noun	fr	agrupació	noun	ca	Y
identité de vues	noun	fr	concordança	noun	ca	Y
route	noun	fr	calçada	noun	ca	Y
talon	noun	fr	matriu	noun	ca	Y
au	dessous	adverb	avall	adverb	ca	Y
petit	fils	noun	net	noun	ca	Y
manteau	noun	fr	capa	noun	ca	N
EUA	properNoun	fr	Estats Units	properNoun	ca	Y
ambigu	adjective	fr	equívoc	adjective	ca	Y
Grenade	properNoun	fr	Granado	properNoun	ca	N
Cardiff	properNoun	fr	Caerdydd	properNoun	ca	Y
Champagne	Ardennes	properNoun	Xampanya	Ardenes	properNoun	Y
compilation	noun	fr	recull	noun	ca	Y
Ives	properNoun	fr	Ivo	properNoun	ca	N
démesuré	adjective	fr	abusiu	adjective	ca	Y
trame	noun	fr	intriga	noun	ca	N
Ludovic	properNoun	fr	Louis	properNoun	ca	N
