Esperanto	English	Correct/Wrong	Comments
detrua-adjective-eo	destroyer-adjective-en	Wrong	Is destroyer an adjective in English?
Lluc-properNoun-eo	Lucas-properNoun-en	Wrong	Lluc is Catalan, Lucas is Spanish
arte-adverb-eo	artistically-adverb-en	Wrong	
litero-noun-eo	lyric-noun-en	Correct	
pli-adverb-eo	else-adverb-en	Wrong	
bredi-verb-eo	grow-verb-en	Correct	
profesoro-noun-eo	teacher-noun-en	Wrong	
desupri-verb-eo	lower-verb-en	Correct	
buo-noun-eo	buoy-noun-en	Correct	I don't know the words
ĉiutage-adverb-eo	every day-adverb-en	Correct	
oportuna-adjective-eo	apposite-adjective-en	Correct	
lukti-verb-eo	fight-verb-en	Correct	
kreaĵo-noun-eo	child-noun-en	Correct	
Antono-properNoun-eo	Antoni-properNoun-en	Wrong	Antoni is Catalan
komenco-noun-eo	opening-noun-en	Correct	
apuda-adjective-eo	forthcoming-adjective-en	Wrong	
Danielo-properNoun-eo	Daniel-properNoun-en	Correct	
Sevilla-properNoun-eo	Seville-properNoun-en	Correct	
aŭtoritata-adjective-eo	authoritarian-adjective-en	Wrong	
komunikaĵo-noun-eo	report-noun-en	Correct	
Ŝanhajo-properNoun-eo	Shanghai-properNoun-en	Correct	
resto-noun-eo	wreckage-noun-en	Correct	
absolvi-verb-eo	acquit-verb-en	Correct	
delikate-adverb-eo	carefully-adverb-en	Correct	
regresi-verb-eo	return-verb-en	Wrong	
Eŭlero-properNoun-eo	Euler-properNoun-en	Correct	
gvati-verb-eo	threaten-verb-en	Wrong	
precipe-adverb-eo	chiefly-adverb-en	Correct	
kolero-noun-eo	rage-noun-en	Correct	
Francisco-properNoun-eo	Francis-properNoun-en	Wrong	Francisco is Spanish
kazo-noun-eo	event-noun-en	Wrong	
arbitracii-verb-eo	adjudicate-verb-en	Correct	
ĥaosa-adjective-eo	chaotic-adjective-en	Correct	
flustri-verb-eo	mutter-verb-en	Wrong	
subteni-verb-eo	advocate-verb-en	Correct	
senartifika-adjective-eo	straightforward-adjective-en	Correct	
kurso-noun-eo	path-noun-en	Wrong	
intenco-noun-eo	goal-noun-en	Correct	
politeknika-adjective-eo	polytechnical-adjective-en	Correct	
mallarĝe-adverb-eo	tightly-adverb-en	Correct	
Raimon-properNoun-eo	Ramon-properNoun-en	Wrong	
komprenema-adjective-eo	sympathetic-adjective-en	Correct	
enigma-adjective-eo	enigmatic-adjective-en	Correct	
Troya-properNoun-eo	Troy-properNoun-en	Correct	
bedaŭrinde-adverb-eo	alas-adverb-en	Correct	
atribui-verb-eo	allot-verb-en	Correct	
kondukilo-noun-eo	pipe-noun-en	Correct	
Mjanmao-properNoun-eo	Burma-properNoun-en	Correct	
malrespekta-adjective-eo	disrespectful-adjective-en	Correct	
geometrie-adverb-eo	geometrically-adverb-en	Correct	
kunordigite-adverb-eo	coordinatedly-adverb-en	Correct	
maniero-noun-eo	way-noun-en	Correct	
Georgo-properNoun-eo	Jorge-properNoun-en	Wrong	Jorge is Spanish
Mikaelo-properNoun-eo	Miguel-properNoun-en	Wrong	Miguel is Spanish
mergi-verb-eo	plunge-verb-en	Correct	
loteca-adjective-eo	random-adjective-en	Correct	
intence-adverb-eo	advisedly-adverb-en	Correct	
fronte-adverb-eo	in command-adverb-en	Correct	
apelacii-verb-eo	resort-verb-en	Wrong	
vane-adverb-eo	in vain-adverb-en	Correct	
kasacii-verb-eo	marry-verb-en	Wrong	Very strange matching. Their meaning is very different.
Malio-properNoun-eo	Mali-properNoun-en	Correct	
agoni-verb-eo	be in decline-verb-en	Correct	There must be an error in the Esperanto dictionary. The verb is "agonii". The match is correct, but to a wrong verb.
Jemeno-properNoun-eo	Yemen-properNoun-en	Correct	
produkteme-adverb-eo	productively-adverb-en	Correct	
hontema-adjective-eo	shameful-adjective-en	Wrong	
profana-adjective-eo	profane-adjective-en	Correct	
belega-adjective-eo	handsome-adjective-en	Correct	
fosto-noun-eo	stick-noun-en	Correct	
dizerti-verb-eo	defect-verb-en	Correct	
instrua-adjective-eo	educative-adjective-en	Correct	
sobre-adverb-eo	sparingly-adverb-en	Correct	
dekstra-adjective-eo	right-handed-adjective-en	Wrong	
graŭli-verb-eo	growl-verb-en	Correct	
vesto-noun-eo	clothing-noun-en	Correct	
Hongkongo-properNoun-eo	Hong Kong-properNoun-en	Correct	
fantazia-adjective-eo	fantastic-adjective-en	Correct	
koncernaĵo-noun-eo	subject-noun-en	Correct	
sube-adverb-eo	under-adverb-en	Correct	
informo-noun-eo	report-noun-en	Correct	
mizero-noun-eo	poverty-noun-en	Correct	
signalo-noun-eo	sign-noun-en	Correct	
sata-adjective-eo	fed up-adjective-en	Correct	
aro-noun-eo	group-noun-en	Correct	
Filipo-properNoun-eo	Philippe-properNoun-en	Correct	
karakteriza-adjective-eo	characteristic-adjective-en	Correct	
antaŭhieraŭ-adverb-eo	the day before yesterday-adverb-en	Correct	
ĝeni-verb-eo	disturb-verb-en	Correct	
Karolo-properNoun-eo	Carlos-properNoun-en	Wrong	Carlos is Spanish
kuraĝa-adjective-eo	intrepid-adjective-en	Correct	
influo-noun-eo	ancestor-noun-en	Wrong	A very strange match too
konstruo-noun-eo	building-noun-en	Correct	
provizi-verb-eo	achieve-verb-en	Wrong	
planko-noun-eo	soil-noun-en	Wrong	
seksperforti-verb-eo	violate-verb-en	Correct	
ŝelo-noun-eo	shell-noun-en	Correct	
remeto-noun-eo	replacement-noun-en	Correct	
provoki-verb-eo	trigger-verb-en	Correct	
frue-adverb-eo	soon-adverb-en	Correct	
retmesaĝo-noun-eo	email-noun-en	Correct	
finiĝo-noun-eo	expiration-noun-en	Correct	
empirie-adverb-eo	empirically-adverb-en	Correct	
Helena-properNoun-eo	Elena-properNoun-en	Wrong	
nevarie-adverb-eo	invariably-adverb-en	Correct	
Kartezio-properNoun-eo	Descartes-properNoun-en	Correct	
ekstrapoli-verb-eo	extrapolate-verb-en	Correct	
