"the"-determiner-en "el"-determiner-ca
"in"-preposition-en "a dins de"-preposition-ca
"in"-preposition-en "dins"-preposition-ca
"in"-preposition-en "a"-preposition-ca
"in"-preposition-en "en"-preposition-ca
"of"-preposition-en "de"-preposition-ca
"from"-preposition-en "a partir de"-preposition-ca
"from"-preposition-en "des de"-preposition-ca
"between"-preposition-en "entre"-preposition-ca
"with"-preposition-en "amb"-preposition-ca
"to"-preposition-en "cap a"-preposition-ca
"to"-preposition-en "a"-preposition-ca
"to"-preposition-en "amb"-preposition-ca
"beside"-preposition-en "al costat de"-preposition-ca
"before"-preposition-en "abans de"-preposition-ca
"before"-preposition-en "davant"-preposition-ca
"above"-preposition-en "per sobre de"-preposition-ca
"until"-preposition-en "fins a"-preposition-ca
"until"-preposition-en "fins"-preposition-ca
"like"-preposition-en "com"-preposition-ca
"near"-preposition-en "prop de"-preposition-ca
"after"-preposition-en "després de"-preposition-ca
"by"-preposition-en "prop de"-preposition-ca
"by"-preposition-en "per"-preposition-ca
"with the exception of"-preposition-en "a excepció de"-preposition-ca
"except"-preposition-en "excepte"-preposition-ca
"except"-preposition-en "menys"-preposition-ca
"into"-preposition-en "a"-preposition-ca
"instead of"-preposition-en "en comptes de"-preposition-ca
"beyond"-preposition-en "allèn de"-preposition-ca
"behind"-preposition-en "darrere de"-preposition-ca
"outside"-preposition-en "a fora de"-preposition-ca
"across"-preposition-en "a través de"-preposition-ca
"around"-preposition-en "al voltant de"-preposition-ca
"in front of"-preposition-en "davant"-preposition-ca
"in front of"-preposition-en "davant de"-preposition-ca
"inside"-preposition-en "dins"-preposition-ca
"among"-preposition-en "enmig de"-preposition-ca
"among"-preposition-en "entre"-preposition-ca
"according to"-preposition-en "segons"-preposition-ca
"together with"-preposition-en "juntament amb"-preposition-ca
"concerning"-preposition-en "respecte de"-preposition-ca
"on top of"-preposition-en "sobre"-preposition-ca
"in spite of"-preposition-en "malgrat"-preposition-ca
"in spite of"-preposition-en "tot i"-preposition-ca
"against"-preposition-en "contra"-preposition-ca
"along"-preposition-en "al llarg de"-preposition-ca
"because of"-preposition-en "a causa de"-preposition-ca
"about"-preposition-en "sobre"-preposition-ca
"more than"-preposition-en "més de"-preposition-ca
"more than"-preposition-en "més que"-preposition-ca
"during"-preposition-en "durant"-preposition-ca
"in the middle of"-preposition-en "al mig de"-preposition-ca
"in accordance with"-preposition-en "d'acord amb"-preposition-ca
"at the beginning of"-preposition-en "a principis de"-preposition-ca
"one"-numeral-en "un"-numeral-ca
"ten"-numeral-en "deu"-numeral-ca
"hundred"-numeral-en "cent"-numeral-ca
"hundred"-numeral-en "mil"-numeral-ca
"first"-adjective-en "primer"-adjective-ca
"second"-adjective-en "segon"-adjective-ca
"third"-adjective-en "tercer"-adjective-ca
"fourth"-adjective-en "quart"-adjective-ca
"fifth"-adjective-en "cinquè"-adjective-ca
"sixth"-adjective-en "sisè"-adjective-ca
"seventh"-adjective-en "setè"-adjective-ca
"eighth"-adjective-en "vuitè"-adjective-ca
"ninth"-adjective-en "novè"-adjective-ca
"tenth"-adjective-en "desè"-adjective-ca
"twelfth"-adjective-en "dotzè"-adjective-ca
"fifteenth"-adjective-en "quinzè"-adjective-ca
"twentieth"-adjective-en "vintè"-adjective-ca
"and"-coordinatingConjunction-en "com"-coordinatingConjunction-ca
"and"-coordinatingConjunction-en "i"-coordinatingConjunction-ca
"but"-coordinatingConjunction-en "però"-coordinatingConjunction-ca
"but"-coordinatingConjunction-en "sinó"-coordinatingConjunction-ca
"or"-coordinatingConjunction-en "bé"-coordinatingConjunction-ca
"or"-coordinatingConjunction-en "o"-coordinatingConjunction-ca
"or"-coordinatingConjunction-en "o bé"-coordinatingConjunction-ca
"or"-coordinatingConjunction-en "ni"-coordinatingConjunction-ca
"nor"-coordinatingConjunction-en "ni"-coordinatingConjunction-ca
"than"-subordinatingConjunction-en "que"-subordinatingConjunction-ca
"that"-subordinatingConjunction-en "que"-subordinatingConjunction-ca
"namely"-adverb-en "concretament"-adverb-ca
"namely"-adverb-en "és a dir"-adverb-ca
"before"-adverb-en "abans"-adverb-ca
"before"-adverb-en "ans"-adverb-ca
"at the same time"-adverb-en "a l'encop"-adverb-ca
"at the same time"-adverb-en "alhora"-adverb-ca
"usually"-adverb-en "correntment"-adverb-ca
"usually"-adverb-en "habitualment"-adverb-ca
"usually"-adverb-en "normalment"-adverb-ca
"usually"-adverb-en "ordinàriament"-adverb-ca
"usually"-adverb-en "usualment"-adverb-ca
"exactly"-adverb-en "exactament"-adverb-ca
"exactly"-adverb-en "talment"-adverb-ca
"by far"-adverb-en "de bon tros"-adverb-ca
"only"-adverb-en "només"-adverb-ca
"only"-adverb-en "solament"-adverb-ca
"only"-adverb-en "sols"-adverb-ca
"only"-adverb-en "únicament"-adverb-ca
"here"-adverb-en "ací"-adverb-ca
"here"-adverb-en "aquí"-adverb-ca
"here"-adverb-en "ençà"-adverb-ca
"perhaps"-adverb-en "potser"-adverb-ca
"overnight"-adverb-en "a la nit"-adverb-ca
"overnight"-adverb-en "de la nit al dia"-adverb-ca
"out"-adverb-en "al defora"-adverb-ca
"out"-adverb-en "fora"-adverb-ca
"now"-adverb-en "ara"-adverb-ca
"below"-adverb-en "a baix"-adverb-ca
"below"-adverb-en "a sota"-adverb-ca
"below"-adverb-en "al dessota"-adverb-ca
"below"-adverb-en "avall"-adverb-ca
"below"-adverb-en "davall"-adverb-ca
"below"-adverb-en "sota"-adverb-ca
"even"-adverb-en "àdhuc"-adverb-ca
"even"-adverb-en "fins i tot"-adverb-ca
"of course"-adverb-en "naturalment"-adverb-ca
"of course"-adverb-en "per descomptat"-adverb-ca
"increasingly"-adverb-en "cada cop més"-adverb-ca
"increasingly"-adverb-en "cada vegada més"-adverb-ca
"remarkably"-adverb-en "extraordinàriament"-adverb-ca
"extremely"-adverb-en "extremadament"-adverb-ca
"extremely"-adverb-en "summament"-adverb-ca
"afterwards"-adverb-en "després"-adverb-ca
"afterwards"-adverb-en "en acabat"-adverb-ca
"also"-adverb-en "també"-adverb-ca
"never"-adverb-en "mai no"-adverb-ca
"never"-adverb-en "mai"-adverb-ca
"ever"-adverb-en "mai"-adverb-ca
"not"-adverb-en "no"-adverb-ca
"not"-adverb-en "pas"-adverb-ca
"for a long time"-adverb-en "molt temps"-adverb-ca
"however"-adverb-en "tanmateix"-adverb-ca
"on sale"-adverb-en "en venda"-adverb-ca
"after all"-adverb-en "al cap i a la fi"-adverb-ca
"after all"-adverb-en "al capdavall"-adverb-ca
"after all"-adverb-en "després de tot"-adverb-ca
"by now"-adverb-en "a hores d'ara"-adverb-ca
"at the moment"-adverb-en "per ara"-adverb-ca
"and so on"-adverb-en "etcètera"-adverb-ca
"over and over"-adverb-en "moltes vegades"-adverb-ca
"over there"-adverb-en "allí"-adverb-ca
"over there"-adverb-en "enllà"-adverb-ca
"exceptionally"-adverb-en "excepcionalment"-adverb-ca
"publicly"-adverb-en "públicament"-adverb-ca
"at random"-adverb-en "a l'atzar"-adverb-ca
"in decline"-adverb-en "en decadència"-adverb-ca
"on the go"-adverb-en "en marxa"-adverb-ca
"etc"-adverb-en "etc"-adverb-ca
"always"-adverb-en "a tothora"-adverb-ca
"always"-adverb-en "sempre"-adverb-ca
"always"-adverb-en "tothora"-adverb-ca
"rather"-adverb-en "bastant"-adverb-ca
"rather"-adverb-en "força"-adverb-ca
"rather"-adverb-en "més aïna"-adverb-ca
"rather"-adverb-en "més aïnes"-adverb-ca
"rather"-adverb-en "més aviat"-adverb-ca
"rather"-adverb-en "més tost"-adverb-ca
"almost"-adverb-en "casi"-adverb-ca
"almost"-adverb-en "gairebé"-adverb-ca
"almost"-adverb-en "quasi"-adverb-ca
"forever"-adverb-en "per sempre"-adverb-ca
"neither"-adverb-en "tampoc no"-adverb-ca
"neither"-adverb-en "tampoc"-adverb-ca
"there"-adverb-en "allà"-adverb-ca
"there"-adverb-en "allí"-adverb-ca
"there"-adverb-en "enllà"-adverb-ca
"soon"-adverb-en "aviat"-adverb-ca
"soon"-adverb-en "prompte"-adverb-ca
"yesterday"-adverb-en "ahir mateix"-adverb-ca
"yesterday"-adverb-en "ahir"-adverb-ca
"again"-adverb-en "de bell nou"-adverb-ca
"again"-adverb-en "novament"-adverb-ca
"again"-adverb-en "una altra vegada"-adverb-ca
"again"-adverb-en "un altre cop"-adverb-ca
"time after time"-adverb-en "nombroses vegades"-adverb-ca
"for a while"-adverb-en "durant una estona"-adverb-ca
"twice"-adverb-en "dues vegades"-adverb-ca
"already"-adverb-en "ja"-adverb-ca
"this year"-adverb-en "aquest any"-adverb-ca
"this year"-adverb-en "enguany"-adverb-ca
"alternatively"-adverb-en "alternativament"-adverb-ca
"as such"-adverb-en "com a tal"-adverb-ca
"individually"-adverb-en "individualment"-adverb-ca
"tomorrow"-adverb-en "demà mateix"-adverb-ca
"tomorrow"-adverb-en "demà"-adverb-ca
"above"-adverb-en "dalt"-adverb-ca
"above"-adverb-en "damunt"-adverb-ca
"today"-adverb-en "avui mateix"-adverb-ca
"today"-adverb-en "avui"-adverb-ca
"today"-adverb-en "hui"-adverb-ca
"tonight"-adverb-en "aquesta nit"-adverb-ca
"beyond"-adverb-en "més enllà"-adverb-ca
"up until now"-adverb-en "fins ara"-adverb-ca
"yes"-adverb-en "sí"-adverb-ca
"up"-adverb-en "a dalt"-adverb-ca
"up"-adverb-en "amunt"-adverb-ca
"up"-adverb-en "dalt"-adverb-ca
"down"-adverb-en "a baix"-adverb-ca
"down"-adverb-en "avall"-adverb-ca
"down"-adverb-en "baix"-adverb-ca
"to the left"-adverb-en "a l'esquerra"-adverb-ca
"to the right"-adverb-en "a la dreta"-adverb-ca
"nowhere"-adverb-en "enlloc"-adverb-ca
"nowhere"-adverb-en "per enlloc"-adverb-ca
"on my own"-adverb-en "pel meu compte"-adverb-ca
"on your own"-adverb-en "pel teu compte"-adverb-ca
"on his own"-adverb-en "en el seu propi"-adverb-ca
"on her own"-adverb-en "en el seu propi"-adverb-ca
"on their own"-adverb-en "en el seu propi"-adverb-ca
"on their own"-adverb-en "per si soles"-adverb-ca
"on their own"-adverb-en "per si sols"-adverb-ca
"any more"-adverb-en "més"-adverb-ca
"more and more"-adverb-en "més i més"-adverb-ca
"no"-adverb-en "no pas"-adverb-ca
"no"-adverb-en "no"-adverb-ca
"last night"-adverb-en "ahir a la nit"-adverb-ca
"last night"-adverb-en "anit"-adverb-ca
"really"-adverb-en "realment"-adverb-ca
"as well"-adverb-en "també"-adverb-ca
"why"-adverb-en "per què"-adverb-ca
"somehow"-adverb-en "d'alguna manera"-adverb-ca
"in the old days"-adverb-en "en altres temps"-adverb-ca
"the next day"-adverb-en "a l'endemà"-adverb-ca
"the next day"-adverb-en "l'endemà"-adverb-ca
"anywhere"-adverb-en "a qualsevol lloc"-adverb-ca
"once"-adverb-en "una vegada"-adverb-ca
"once"-adverb-en "un cop"-adverb-ca
"once and for all"-adverb-en "d'una vegada per sempre"-adverb-ca
"once and for all"-adverb-en "una vegada per sempre"-adverb-ca
"sometimes"-adverb-en "a vegades"-adverb-ca
"sometimes"-adverb-en "a voltes"-adverb-ca
"sometimes"-adverb-en "de vegades"-adverb-ca
"face to face"-adverb-en "cara a cara"-adverb-ca
"either"-adverb-en "tampoc"-adverb-ca
"away"-adverb-en "fora"-adverb-ca
"afar"-adverb-en "lluny"-adverb-ca
"furthermore"-adverb-en "a més"-adverb-ca
"in time"-adverb-en "a temps"-adverb-ca
"on"-adverb-en "a sobre"-adverb-ca
"on"-adverb-en "al damunt"-adverb-ca
"on"-adverb-en "damunt"-adverb-ca
"forward"-adverb-en "avant"-adverb-ca
"forward"-adverb-en "endavant"-adverb-ca
"everywhere"-adverb-en "a tot arreu"-adverb-ca
"everywhere"-adverb-en "pertot"-adverb-ca
"then"-adverb-en "aleshores"-adverb-ca
"then"-adverb-en "llavors"-adverb-ca
"then"-adverb-en "doncs"-adverb-ca
"approximately"-adverb-en "aproximadament"-adverb-ca
"previously"-adverb-en "anteriorment"-adverb-ca
"previously"-adverb-en "prèviament"-adverb-ca
"entirely"-adverb-en "completament"-adverb-ca
"entirely"-adverb-en "enterament"-adverb-ca
"entirely"-adverb-en "íntegrament"-adverb-ca
"sooner or later"-adverb-en "tard o d'hora"-adverb-ca
"back"-adverb-en "arrere"-adverb-ca
"back"-adverb-en "endarrera"-adverb-ca
"back"-adverb-en "endarrere"-adverb-ca
"back"-adverb-en "enrera"-adverb-ca
"back"-adverb-en "enrere"-adverb-ca
"in unison"-adverb-en "a l'uníson"-adverb-ca
"provision"-noun-en "prestació"-noun-ca
"Wikipedia"-properNoun-en "Viquipèdia"-properNoun-ca
"rabies"-noun-en "ràbia"-noun-ca
"sweat"-noun-en "suor"-noun-ca
"anthropology"-noun-en "antropologia"-noun-ca
"archaeology"-noun-en "arqueologia"-noun-ca
"zoology"-noun-en "zoologia"-noun-ca
"porridge"-noun-en "farinetes"-noun-ca
"phonetics"-noun-en "fonètica"-noun-ca
"lasciviousness"-noun-en "lascívia"-noun-ca
"hypermedia"-noun-en "hipermèdia"-noun-ca
"hydrostatics"-noun-en "hidrostàtica"-noun-ca
"ballistics"-noun-en "balística"-noun-ca
"environment"-noun-en "medi ambient"-noun-ca
"weapon"-noun-en "arma"-noun-ca
"excitement"-noun-en "aldarull"-noun-ca
"excitement"-noun-en "cridòria"-noun-ca
"excitement"-noun-en "esvalot"-noun-ca
"excitement"-noun-en "xivarri"-noun-ca
"primer"-noun-en "beceroles"-noun-ca
"revenue"-noun-en "ingrés"-noun-ca
"analysis"-noun-en "anàlisi"-noun-ca
"ten"-noun-en "desena"-noun-ca
"interest"-noun-en "inquietud"-noun-ca
"duty"-noun-en "deure"-noun-ca
"check"-noun-en "escac"-noun-ca
"negotiation"-noun-en "gestió"-noun-ca
"news"-noun-en "notícia"-noun-ca
"person"-noun-en "gent"-noun-ca
"management"-noun-en "gestió"-noun-ca
"father"-noun-en "pare"-noun-ca
"scale"-noun-en "balança"-noun-ca
"scale"-noun-en "escala"-noun-ca
"linguistics"-noun-en "lingüística"-noun-ca
"money"-noun-en "diner"-noun-ca
"asbestos"-noun-en "asbest"-noun-ca
"flesh"-noun-en "polpa"-noun-ca
"diabetes"-noun-en "diabetis"-noun-ca
"economics"-noun-en "economia"-noun-ca
"golf"-noun-en "golf"-noun-ca
"west"-noun-en "ponent"-noun-ca
"waste"-noun-en "residu"-noun-ca
"police"-noun-en "policia"-noun-ca
"dust"-noun-en "pols"-noun-ca
"mathematics"-noun-en "matemàtica"-noun-ca
"Christmas"-noun-en "Nadal"-noun-ca
"football"-noun-en "pilota de futbol"-noun-ca
"football"-noun-en "futbol"-noun-ca
"personnel"-noun-en "personal"-noun-ca
"pop"-noun-en "pop"-noun-ca
"rugby"-noun-en "rugbi"-noun-ca
"rubbish"-noun-en "brossa"-noun-ca
"rubbish"-noun-en "escombraries"-noun-ca
"VAT"-noun-en "IVA"-noun-ca
"residue"-noun-en "residu"-noun-ca
"remains"-noun-en "resta"-noun-ca
"chess"-noun-en "escac"-noun-ca
"feature"-noun-en "prestació"-noun-ca
"snack"-noun-en "mos"-noun-ca
"CD"-noun-en "CD"-noun-ca
"stair"-noun-en "escala"-noun-ca
"stair"-noun-en "esglaó"-noun-ca
"wood"-noun-en "bosc"-noun-ca
"wood"-noun-en "fusta"-noun-ca
"memoir"-noun-en "memòria"-noun-ca
"student"-noun-en "alumnat"-noun-ca
"grandfather"-noun-en "avi"-noun-ca
"darkness"-noun-en "foscor"-noun-ca
"way"-noun-en "manera"-noun-ca
"holiday"-noun-en "vacacions"-noun-ca
"holiday"-noun-en "vacances"-noun-ca
"arm"-noun-en "arma"-noun-ca
"arm"-noun-en "braç"-noun-ca
"staff"-noun-en "personal"-noun-ca
"parent"-noun-en "pare"-noun-ca
"boy"-noun-en "canalla"-noun-ca
"son"-noun-en "fill"-noun-ca
"child"-noun-en "fill"-noun-ca
"eventually"-adverb-en "finalment"-adverb-ca
"by the way"-adverb-en "per cert"-adverb-ca
"at night"-adverb-en "a la nit"-adverb-ca
"at night"-adverb-en "de nit"-adverb-ca
"from now on"-adverb-en "d'ara endavant"-adverb-ca
"from now on"-adverb-en "des d'ara"-adverb-ca
"from now on"-adverb-en "en endavant"-adverb-ca
"grave"-adjective-en "greu"-adjective-ca
"other"-determiner-en "un altre"-determiner-ca
"other"-determiner-en "altre"-determiner-ca
"hundredth"-adjective-en "centè"-adjective-ca
"so much"-determiner-en "tant"-determiner-ca
"so many"-determiner-en "tant"-determiner-ca
"prime"-adjective-en "primer"-adjective-ca
"twelve"-numeral-en "dotze"-numeral-ca
"fortieth"-adjective-en "quarantè"-adjective-ca
"eighteenth"-adjective-en "divuitè"-adjective-ca
"interesting"-adjective-en "interessant"-adjective-ca
"last"-adjective-en "darrer"-adjective-ca
"last"-adjective-en "últim"-adjective-ca
"bad"-adjective-en "pitjor"-adjective-ca
"bad"-adjective-en "mal"-adjective-ca
"great"-adjective-en "major"-adjective-ca
"millionth"-adjective-en "milionèsim"-adjective-ca
"either"-determiner-en "cap"-determiner-ca
"either"-determiner-en "qualsevol"-determiner-ca
"which"-determiner-en "quin"-determiner-ca
"each"-determiner-en "cada"-determiner-ca
"fifteen"-numeral-en "quinze"-numeral-ca
"too"-adverb-en "també"-adverb-ca
"several"-determiner-en "divers"-determiner-ca
"sixtieth"-adjective-en "seixantè"-adjective-ca
"good"-adjective-en "millor"-adjective-ca
"good"-adjective-en "bo"-adjective-ca
"new"-adjective-en "nou"-adjective-ca
"be"-verb-en "ser"-verb-ca
"shall"-modal-en "haver de"-modal-ca
"can"-modal-en "poder"-modal-ca
"prpers"-pronoun-en "prpers"-pronoun-ca
"prpers"-pronoun-en "em"-pronoun-ca
"prpers"-pronoun-en "et"-pronoun-ca
"prpers"-pronoun-en "li"-pronoun-ca
"prpers"-pronoun-en "el"-pronoun-ca
"prpers"-pronoun-en "ens"-pronoun-ca
"prpers"-pronoun-en "us"-pronoun-ca
"prpers"-pronoun-en "els"-pronoun-ca
"prpers"-pronoun-en "ho"-pronoun-ca
"prpers"-pronoun-en "mi"-pronoun-ca
"myself"-pronoun-en "jo mateix"-pronoun-ca
"myself"-reflexivePersonalPronoun-en "jo mateix"-pronoun-ca
"yourself"-pronoun-en "tu mateix"-pronoun-ca
"yourself"-reflexivePersonalPronoun-en "tu mateix"-pronoun-ca
"herself"-pronoun-en "ell mateix"-pronoun-ca
"herself"-reflexivePersonalPronoun-en "ell mateix"-pronoun-ca
"himself"-pronoun-en "ell mateix"-pronoun-ca
"himself"-reflexivePersonalPronoun-en "ell mateix"-pronoun-ca
"itself"-pronoun-en "ell mateix"-pronoun-ca
"itself"-reflexivePersonalPronoun-en "ell mateix"-pronoun-ca
"ourselves"-pronoun-en "nosaltres mateixos"-pronoun-ca
"ourselves"-reflexivePersonalPronoun-en "nosaltres mateixos"-pronoun-ca
"yourselves"-pronoun-en "vosaltres mateixos"-pronoun-ca
"yourselves"-reflexivePersonalPronoun-en "vosaltres mateixos"-pronoun-ca
"themselves"-pronoun-en "ell mateix"-pronoun-ca
"themselves"-reflexivePersonalPronoun-en "ell mateix"-pronoun-ca
"United Nations"-properNoun-en "Nacions Unides"-properNoun-ca
"Apertium"-properNoun-en "Apertium"-properNoun-ca
"Phillips"-noun-en "Phillips"-noun-ca
"Phillips"-noun-en "Phillips"-properNoun-ca
"Phillips"-properNoun-en "Phillips"-noun-ca
"Phillips"-properNoun-en "Phillips"-properNoun-ca
"Cambridge"-properNoun-en "Cambridge"-properNoun-ca
"Liverpool"-properNoun-en "Liverpool"-properNoun-ca
"Fiji"-properNoun-en "Fiji"-properNoun-ca
"Hawaii"-properNoun-en "Hawaii"-properNoun-ca
"Netherlands"-properNoun-en "Països Baixos"-properNoun-ca
"Philippines"-properNoun-en "Filipines"-properNoun-ca
"Pyrenees"-properNoun-en "Pirineu"-properNoun-ca
"Bermuda"-properNoun-en "Bermudes"-properNoun-ca
"",""-comma-en "",""-comma-ca
"thousand"-numeral-en "mil"-numeral-ca
"thousand"-numeral-en "n mil"-numeral-ca
"3GPP"-noun-en "3GPP"-noun-ca
"abrasive"-adjective-en "abrasiu"-adjective-ca
"abstemiousness"-noun-en "sobrietat"-noun-ca
"abuse"-verb-en "abusar"-verb-ca
"abuse"-verb-en "insultar"-verb-ca
"abuse"-verb-en "maltractar"-verb-ca
"access"-verb-en "accedir"-verb-ca
"accord"-verb-en "concordar"-verb-ca
"account"-verb-en "representar"-verb-ca
"accused"-noun-en "acusat"-noun-ca
"acephalia"-noun-en "acefàlia"-noun-ca
"ache"-verb-en "doldre"-verb-ca
"acidimetry"-noun-en "acidimetria"-noun-ca
"actinometry"-noun-en "actinometria"-noun-ca
"ActiveX"-noun-en "ActiveX"-noun-ca
"act"-verb-en "actuar"-verb-ca
"act"-verb-en "obrar"-verb-ca
"addict"-noun-en "addicte"-noun-ca
"additive"-adjective-en "additiu"-adjective-ca
"address"-verb-en "abordar"-verb-ca
"address"-verb-en "adreçar"-verb-ca
"address"-verb-en "dirigir"-verb-ca
"adept"-adjective-en "expert"-adjective-ca
"adhesive"-adjective-en "adhesiu"-adjective-ca
"ADP"-noun-en "ADP"-noun-ca
"adularescence"-noun-en "adularescència"-noun-ca
"advance"-verb-en "avançar"-verb-ca
"advance"-verb-en "bestreure"-verb-ca
"advertising"-adjective-en "publicitari"-adjective-ca
"aerobics"-noun-en "aeròbic"-noun-ca
"aerodynamics"-noun-en "aerodinàmica"-noun-ca
"affix"-verb-en "afixar"-verb-ca
"affix"-verb-en "fixar"-verb-ca
"affront"-verb-en "afrontar"-verb-ca
"AFP"-noun-en "AFP"-noun-ca
"afterlife"-noun-en "més enllà"-noun-ca
"afters"-noun-en "postres"-noun-ca
"age"-verb-en "envellir"-verb-ca
"aggregate"-verb-en "àrid"-adjective-ca
"aggregate"-verb-en "conjunt"-adjective-ca
"aggregate"-verb-en "agregar"-verb-ca
"agnostic"-adjective-en "agnòstic"-adjective-ca
"agrobiology"-noun-en "agrobiologia"-noun-ca
"agrogeology"-noun-en "agrogeologia"-noun-ca
"agrometeorology"-noun-en "agrometeorologia"-noun-ca
"agrotourism"-noun-en "agroturisme"-noun-ca
"A/H1N1"-noun-en "A/H1N1"-noun-ca
"A/H5N1"-noun-en "A/H5N1"-noun-ca
"aid"-verb-en "ajudar"-verb-ca
"aim"-verb-en "objectiu"-adjective-ca
"aim"-verb-en "apuntar"-verb-ca
"aim"-verb-en "dirigir"-verb-ca
"airlift"-verb-en "aerotransportar"-verb-ca
"airport"-adjective-en "aeroportuari"-adjective-ca
"air"-verb-en "airejar"-verb-ca
"air"-verb-en "emetre"-verb-ca
"alarm"-verb-en "alarmar"-verb-ca
"Albanian"-adjective-en "albanès"-adjective-ca
"albino"-adjective-en "albí"-adjective-ca
"alcoholic"-adjective-en "alcohòlic"-adjective-ca
"alcoholometry"-noun-en "alcoholimetria"-noun-ca
"alert"-verb-en "alertar"-verb-ca
"allitisation"-noun-en "al·litització"-noun-ca
"allophony"-noun-en "al·lofonia"-noun-ca
"alms"-noun-en "almoina"-noun-ca
"alternative"-adjective-en "alternatiu"-adjective-ca
"alveolectomy"-noun-en "alveolectomia"-noun-ca
"ambush"-verb-en "emboscar"-verb-ca
"American"-adjective-en "americà"-adjective-ca
"ammonia"-noun-en "amoníac"-noun-ca
"amnesia"-noun-en "amnèsia"-noun-ca
"amount"-verb-en "equivaler"-verb-ca
"anaesthetic"-adjective-en "anestèsic"-adjective-ca
"analgesic"-adjective-en "analgèsic"-adjective-ca
"analogue"-adjective-en "analògic"-adjective-ca
"anaphylaxis"-noun-en "anafilaxi"-noun-ca
"anchor"-verb-en "ancorar"-verb-ca
"Andalusian"-adjective-en "andalús"-adjective-ca
"Andalusian"-adjective-en "andalusí"-adjective-ca
"Andorran"-adjective-en "andorrà"-adjective-ca
"anemometry"-noun-en "anemometria"-noun-ca
"anger"-verb-en "empipar"-verb-ca
"anger"-verb-en "enfadar"-verb-ca
