"qualque"-determiner-oc "algun"-determiner-ca
"ath madeish temps"-adverb-oc "alhora"-adverb-ca
"ath còp"-adverb-oc "alhora"-adverb-ca
"a l'encòp"-adverb-oc "alhora"-adverb-ca
"a l'encòp"-adverb-oc "a la vegada"-adverb-ca
"a la vegada"-adverb-ca "a l'encòp"-adverb-oc
"simultanèament"-adverb-oc "simultàniament"-adverb-ca
"simultàniament"-adverb-ca "simultanèament"-adverb-oc
"paral·lelament"-adverb-ca "parallèlament"-adverb-oc
"parallèlament"-adverb-oc "paral·lelament"-adverb-ca
"de nonent"-adverb-oc "lentament"-adverb-ca
"lentament"-adverb-ca "de nonent"-adverb-oc
"lentament"-adverb-ca "dapasset"-adverb-oc
"lentament"-adverb-ca "lentament"-adverb-oc
"a poc a poc"-adverb-ca "pauc a pauc"-adverb-oc
"pauc a pauc"-adverb-oc "a poc a poc"-adverb-ca
"dapasset"-adverb-oc "lentament"-adverb-ca
"lentament"-adverb-oc "lentament"-adverb-ca
"a part"-adverb-ca "a despart"-adverb-oc
"a despart"-adverb-oc "a part"-adverb-ca
"dificilament"-adverb-oc "difícilment"-adverb-ca
"difícilment"-adverb-ca "dificilament"-adverb-oc
"jamai"-adverb-oc "mai"-adverb-ca
"mai"-adverb-ca "jamai"-adverb-oc
"fondamentalament"-adverb-oc "fonamentalment"-adverb-ca
"fonamentalment"-adverb-ca "fondamentalament"-adverb-oc
"grèvament"-adverb-oc "greument"-adverb-ca
"greument"-adverb-ca "grèvament"-adverb-oc
"especificament"-adverb-oc "específicament"-adverb-ca
"específicament"-adverb-ca "especificament"-adverb-oc
"concrètament"-adverb-oc "concretament"-adverb-ca
"concretament"-adverb-ca "concrètament"-adverb-oc
"rarament"-adverb-oc "rarament"-adverb-ca
"rarament"-adverb-ca "rarament"-adverb-oc
"eventualment"-adverb-ca "eventualament"-adverb-oc
"eventualament"-adverb-oc "eventualment"-adverb-ca
"considerablament"-adverb-oc "considerablement"-adverb-ca
"considerablement"-adverb-ca "considerablament"-adverb-oc
"fora"-adverb-ca "fòra"-adverb-oc
"fora"-adverb-ca "defòra"-adverb-oc
"fòra"-adverb-oc "fora"-adverb-ca
"defòra"-adverb-oc "fora"-adverb-ca
"injustament"-adverb-oc "injustament"-adverb-ca
"injustament"-adverb-ca "injustament"-adverb-oc
"tostemp"-adverb-oc "sempre"-adverb-ca
"sempre"-adverb-ca "tostemp"-adverb-oc
"sempre"-adverb-ca "tostemps"-adverb-oc
"sempre"-adverb-ca "sempre"-adverb-oc
"sempre"-adverb-ca "totjorn"-adverb-oc
"sempre"-adverb-ca "de longa"-adverb-oc
"tostemps"-adverb-oc "sempre"-adverb-ca
"sempre"-adverb-oc "sempre"-adverb-ca
"totjorn"-adverb-oc "sempre"-adverb-ca
"de longa"-adverb-oc "sempre"-adverb-ca
"indefinidament"-adverb-oc "indefinidament"-adverb-ca
"indefinidament"-adverb-ca "indefinidament"-adverb-oc
"constantament"-adverb-oc "constantment"-adverb-ca
"constantment"-adverb-ca "constantament"-adverb-oc
"continualament"-adverb-oc "contínuament"-adverb-ca
"contínuament"-adverb-ca "continualament"-adverb-oc
"periòdicament"-adverb-ca "periodicament"-adverb-oc
"periodicament"-adverb-oc "periòdicament"-adverb-ca
"mentrestant"-adverb-ca "mentretant"-adverb-oc
"mentretant"-adverb-oc "mentrestant"-adverb-ca
"uèi"-adverb-oc "hui"-adverb-ca
"uèi"-adverb-oc "avui"-adverb-ca
"hui"-adverb-ca "uèi"-adverb-oc
"avui"-adverb-ca "uèi"-adverb-oc
"avui"-adverb-ca "ué"-adverb-oc
"ué"-adverb-oc "avui"-adverb-ca
"prumèrament"-adverb-oc "primerament"-adverb-ca
"primerament"-adverb-ca "prumèrament"-adverb-oc
"actualment"-adverb-ca "actualament"-adverb-oc
"actualment"-adverb-ca "a l'ora d'ara"-adverb-oc
"actualament"-adverb-oc "actualment"-adverb-ca
"a l'ora d'ara"-adverb-oc "actualment"-adverb-ca
"uèi lo jorn"-adverb-oc "avui en dia"-adverb-ca
"avui en dia"-adverb-ca "uèi lo jorn"-adverb-oc
"independentament"-adverb-oc "independentment"-adverb-ca
"independentment"-adverb-ca "independentament"-adverb-oc
"quan"-adverb-ca "quora"-adverb-oc
"quora"-adverb-oc "quan"-adverb-ca
"sistemàticament"-adverb-ca "sistematicament"-adverb-oc
"sistematicament"-adverb-oc "sistemàticament"-adverb-ca
"explicitament"-adverb-oc "explícitament"-adverb-ca
"explícitament"-adverb-ca "explicitament"-adverb-oc
"sovent"-adverb-oc "sovint"-adverb-ca
"sovint"-adverb-ca "sovent"-adverb-oc
"ensems"-adverb-ca "amassa"-adverb-oc
"amassa"-adverb-oc "ensems"-adverb-ca
"amassa"-adverb-oc "conjuntament"-adverb-ca
"conjuntament"-adverb-oc "conjuntament"-adverb-ca
"conjuntament"-adverb-ca "amassa"-adverb-oc
"conjuntament"-adverb-ca "conjuntament"-adverb-oc
"separadament"-adverb-oc "separadament"-adverb-ca
"separadament"-adverb-ca "separadament"-adverb-oc
"inicialament"-adverb-oc "inicialment"-adverb-ca
"inicialment"-adverb-ca "inicialament"-adverb-oc
"indiscutiblament"-adverb-oc "indiscutiblement"-adverb-ca
"indiscutiblement"-adverb-ca "indiscutiblament"-adverb-oc
"logicament"-adverb-oc "lògicament"-adverb-ca
"lògicament"-adverb-ca "logicament"-adverb-oc
"visiblament"-adverb-oc "visiblement"-adverb-ca
"visiblement"-adverb-ca "visiblament"-adverb-oc
"personalament"-adverb-oc "personalment"-adverb-ca
"personalment"-adverb-ca "personalament"-adverb-oc
"legalament"-adverb-oc "legalment"-adverb-ca
"legalment"-adverb-ca "legalament"-adverb-oc
"així"-adverb-ca "atal"-adverb-oc
"així"-adverb-ca "aital"-adverb-oc
"atal"-adverb-oc "així"-adverb-ca
"aital"-adverb-oc "així"-adverb-ca
"tant"-adverb-ca "tant"-adverb-oc
"tant"-adverb-ca "autant"-adverb-oc
"tant"-adverb-oc "tant"-adverb-ca
"autant"-adverb-oc "tant"-adverb-ca
"tanplan"-adverb-oc "també"-adverb-ca
"també"-adverb-ca "tanplan"-adverb-oc
"també"-adverb-ca "tanben"-adverb-oc
"també"-adverb-ca "a mai"-adverb-oc
"també"-adverb-ca "atanben"-adverb-oc
"tanben"-adverb-oc "també"-adverb-ca
"a mai"-adverb-oc "també"-adverb-ca
"atanben"-adverb-oc "també"-adverb-ca
"egalament"-adverb-oc "igualment"-adverb-ca
"igualment"-adverb-ca "egalament"-adverb-oc
"exactament"-adverb-oc "exactament"-adverb-ca
"exactament"-adverb-ca "exactament"-adverb-oc
"correctament"-adverb-ca "corrèctament"-adverb-oc
"corrèctament"-adverb-oc "correctament"-adverb-ca
"fàcilment"-adverb-ca "facilament"-adverb-oc
"fàcilment"-adverb-ca "aisidament"-adverb-oc
"facilament"-adverb-oc "fàcilment"-adverb-ca
"aisidament"-adverb-oc "fàcilment"-adverb-ca
"sincèrament"-adverb-oc "sincerament"-adverb-ca
"sincerament"-adverb-ca "sincèrament"-adverb-oc
"francament"-adverb-ca "francament"-adverb-oc
"francament"-adverb-oc "francament"-adverb-ca
"evidentment"-adverb-ca "evidentament"-adverb-oc
"evidentament"-adverb-oc "evidentment"-adverb-ca
"evidentament"-adverb-oc "òbviament"-adverb-ca
"òbviament"-adverb-ca "evidentament"-adverb-oc
"completament"-adverb-ca "complètament"-adverb-oc
"completament"-adverb-ca "completament"-adverb-oc
"complètament"-adverb-oc "completament"-adverb-ca
"completament"-adverb-oc "completament"-adverb-ca
"plenament"-adverb-oc "plenament"-adverb-ca
"plenament"-adverb-ca "plenament"-adverb-oc
"plenament"-adverb-ca "pleament"-adverb-oc
"pleament"-adverb-oc "plenament"-adverb-ca
"fòrtament"-adverb-oc "fortament"-adverb-ca
"fortament"-adverb-ca "fòrtament"-adverb-oc
"pro"-adverb-oc "prou"-adverb-ca
"prou"-adverb-ca "pro"-adverb-oc
"sufisentament"-adverb-oc "suficientment"-adverb-ca
"suficientment"-adverb-ca "sufisentament"-adverb-oc
"ràpidament"-adverb-ca "rapidament"-adverb-oc
"ràpidament"-adverb-ca "lestament"-adverb-oc
"rapidament"-adverb-oc "ràpidament"-adverb-ca
"lestament"-adverb-oc "ràpidament"-adverb-ca
"lèu"-adverb-oc "de pressa"-adverb-ca
"lèu"-adverb-oc "aviat"-adverb-ca
"de pressa"-adverb-ca "lèu"-adverb-oc
"de pressa"-adverb-ca "aviat"-adverb-oc
"aviat"-adverb-ca "lèu"-adverb-oc
"aviat"-adverb-oc "de pressa"-adverb-ca
"d'hora"-adverb-ca "d'ora"-adverb-oc
"d'ora"-adverb-oc "d'hora"-adverb-ca
"guaire"-adverb-oc "gaire"-adverb-ca
"gaire"-adverb-ca "guaire"-adverb-oc
"gaire"-adverb-ca "gaire"-adverb-oc
"gaire"-adverb-oc "gaire"-adverb-ca
"fòrça"-adverb-oc "molt"-adverb-ca
"molt"-adverb-ca "fòrça"-adverb-oc
"particularament"-adverb-oc "particularment"-adverb-ca
"particularment"-adverb-ca "particularament"-adverb-oc
"sustot"-adverb-oc "sobretot"-adverb-ca
"sobretot"-adverb-ca "sustot"-adverb-oc
"sobretot"-adverb-ca "mai que mai"-adverb-oc
"sobretot"-adverb-ca "surtot"-adverb-oc
"sobretot"-adverb-ca "subretot"-adverb-oc
"mai que mai"-adverb-oc "sobretot"-adverb-ca
"surtot"-adverb-oc "sobretot"-adverb-ca
"subretot"-adverb-oc "sobretot"-adverb-ca
"essencialament"-adverb-oc "essencialment"-adverb-ca
"essencialment"-adverb-ca "essencialament"-adverb-oc
"habitualment"-adverb-ca "abitualament"-adverb-oc
"abitualament"-adverb-oc "habitualment"-adverb-ca
"normalament"-adverb-oc "normalment"-adverb-ca
"normalment"-adverb-ca "normalament"-adverb-oc
"expressament"-adverb-ca "exprès"-adverb-oc
"expressament"-adverb-ca "exprèssament"-adverb-oc
"exprès"-adverb-oc "expressament"-adverb-ca
"exprèssament"-adverb-oc "expressament"-adverb-ca
"puntualment"-adverb-ca "pontualament"-adverb-oc
"pontualament"-adverb-oc "puntualment"-adverb-ca
"generalament"-adverb-oc "generalment"-adverb-ca
"generalment"-adverb-ca "generalament"-adverb-oc
"profundament"-adverb-ca "prigondament"-adverb-oc
"prigondament"-adverb-oc "profundament"-adverb-ca
"després"-adverb-ca "puèi"-adverb-oc
"després"-adverb-ca "despús"-adverb-oc
"després"-adverb-ca "aprèp"-adverb-oc
"després"-adverb-ca "après"-adverb-oc
"puèi"-adverb-oc "després"-adverb-ca
"despús"-adverb-oc "després"-adverb-ca
"aprèp"-adverb-oc "després"-adverb-ca
"après"-adverb-oc "després"-adverb-ca
"posteriorment"-adverb-ca "posteriorament"-adverb-oc
"posteriorament"-adverb-oc "posteriorment"-adverb-ca
"solament"-adverb-oc "només"-adverb-ca
"solament"-adverb-oc "solament"-adverb-ca
"només"-adverb-ca "solament"-adverb-oc
"només"-adverb-ca "sonque"-adverb-oc
"només"-adverb-ca "sonca"-adverb-oc
"només"-adverb-ca "nonmàs"-adverb-oc
"solament"-adverb-ca "solament"-adverb-oc
"sonque"-adverb-oc "només"-adverb-ca
"sonque"-adverb-oc "sols"-adverb-ca
"sonca"-adverb-oc "només"-adverb-ca
"nonmàs"-adverb-oc "només"-adverb-ca
"sols"-adverb-ca "sonque"-adverb-oc
"espontanèament"-adverb-oc "espontàniament"-adverb-ca
"espontàniament"-adverb-ca "espontanèament"-adverb-oc
"simplament"-adverb-oc "senzillament"-adverb-ca
"simplament"-adverb-oc "simplement"-adverb-ca
"senzillament"-adverb-ca "simplament"-adverb-oc
"simplement"-adverb-ca "simplament"-adverb-oc
"ben"-adverb-oc "bé"-adverb-ca
"bé"-adverb-ca "ben"-adverb-oc
"bé"-adverb-ca "plan"-adverb-oc
"plan"-adverb-oc "bé"-adverb-ca
"extrèmament"-adverb-oc "extremadament"-adverb-ca
"extremadament"-adverb-ca "extrèmament"-adverb-oc
"lonh"-adverb-oc "lluny"-adverb-ca
"lluny"-adverb-ca "lonh"-adverb-oc
"lluny"-adverb-ca "luènh"-adverb-oc
"luènh"-adverb-oc "lluny"-adverb-ca
"a més"-adverb-ca "en mai"-adverb-oc
"en mai"-adverb-oc "a més"-adverb-ca
"directament"-adverb-ca "dirèctament"-adverb-oc
"dirèctament"-adverb-oc "directament"-adverb-ca
"darrièr"-adverb-oc "darrere"-adverb-ca
"darrere"-adverb-ca "darrièr"-adverb-oc
"per contra"-adverb-oc "per contra"-adverb-ca
"per contra"-adverb-oc "en canvi"-adverb-ca
"per contra"-adverb-ca "per contra"-adverb-oc
"en canvi"-adverb-ca "per contra"-adverb-oc
"dauant"-adverb-oc "davant"-adverb-ca
"davant"-adverb-ca "dauant"-adverb-oc
"davant"-adverb-ca "devant"-adverb-oc
"davant"-adverb-ca "deuant"-adverb-oc
"davant"-adverb-ca "davant"-adverb-oc
"devant"-adverb-oc "davant"-adverb-ca
"deuant"-adverb-oc "davant"-adverb-ca
"deuant"-adverb-oc "enfront"-adverb-ca
"davant"-adverb-oc "davant"-adverb-ca
"davant"-adverb-oc "enfront"-adverb-ca
"enfront"-adverb-ca "deuant"-adverb-oc
"enfront"-adverb-ca "davant"-adverb-oc
"abantes"-adverb-oc "abans"-adverb-ca
"abans"-adverb-ca "abantes"-adverb-oc
"abans"-adverb-ca "abans"-adverb-oc
"abans"-adverb-ca "abant"-adverb-oc
"abans"-adverb-oc "abans"-adverb-ca
"abant"-adverb-oc "abans"-adverb-ca
"anteriorment"-adverb-ca "anteriorament"-adverb-oc
"anteriorament"-adverb-oc "anteriorment"-adverb-ca
"dejós"-adverb-oc "sota"-adverb-ca
"sota"-adverb-ca "dejós"-adverb-oc
"sota"-adverb-ca "jos"-adverb-oc
"jos"-adverb-oc "sota"-adverb-ca
"tà baish"-adverb-oc "avall"-adverb-ca
"avall"-adverb-ca "tà baish"-adverb-oc
"avall"-adverb-ca "auath"-adverb-oc
"auath"-adverb-oc "avall"-adverb-ca
"mal"-adverb-oc "malament"-adverb-ca
"malament"-adverb-ca "mal"-adverb-oc
"dejà"-adverb-oc "ja"-adverb-ca
"ja"-adverb-ca "dejà"-adverb-oc
"plus"-adverb-oc "més"-adverb-ca
"més"-adverb-ca "plus"-adverb-oc
"més"-adverb-ca "mes"-adverb-oc
"més"-adverb-ca "mei"-adverb-oc
"més"-adverb-ca "pus"-adverb-oc
"més"-adverb-ca "mai"-adverb-oc
"més"-adverb-ca "mas"-adverb-oc
"mes"-adverb-oc "més"-adverb-ca
"mei"-adverb-oc "més"-adverb-ca
"pus"-adverb-oc "més"-adverb-ca
"mai"-adverb-oc "més"-adverb-ca
"mas"-adverb-oc "més"-adverb-ca
"d'autra banda"-adverb-oc "d'altra banda"-adverb-ca
"d'altra banda"-adverb-ca "d'autra banda"-adverb-oc
"d'altra banda"-adverb-ca "d'una autra faiçon"-adverb-oc
"d'altra banda"-adverb-ca "d'ua auta faiçon"-adverb-oc
"d'una autra faiçon"-adverb-oc "d'altra banda"-adverb-ca
"d'ua auta faiçon"-adverb-oc "d'altra banda"-adverb-ca
"allà"-adverb-ca "aquiu delà"-adverb-oc
"allà"-adverb-ca "alai"-adverb-oc
"allà"-adverb-ca "ailà"-adverb-oc
"aquiu delà"-adverb-oc "allà"-adverb-ca
"alai"-adverb-oc "allà"-adverb-ca
"ailà"-adverb-oc "allà"-adverb-ca
"ailà"-adverb-oc "allí"-adverb-ca
"allí"-adverb-ca "ailà"-adverb-oc
"ací"-adverb-ca "aquí"-adverb-oc
"ací"-adverb-ca "aciu"-adverb-oc
"aquí"-adverb-oc "ací"-adverb-ca
"aquí"-adverb-oc "aquí"-adverb-ca
"aciu"-adverb-oc "ací"-adverb-ca
"aciu"-adverb-oc "aquí"-adverb-ca
"aicí"-adverb-oc "aquí"-adverb-ca
"aquí"-adverb-ca "aquí"-adverb-oc
"aquí"-adverb-ca "aciu"-adverb-oc
"aquí"-adverb-ca "aicí"-adverb-oc
"unicament"-adverb-oc "únicament"-adverb-ca
"únicament"-adverb-ca "unicament"-adverb-oc
"especialment"-adverb-oc "especialment"-adverb-ca
"especialment"-adverb-ca "especialment"-adverb-oc
"especialment"-adverb-ca "especialament"-adverb-oc
"especialament"-adverb-oc "especialment"-adverb-ca
"principalament"-adverb-oc "principalment"-adverb-ca
"principalment"-adverb-ca "principalament"-adverb-oc
"notablament"-adverb-oc "notablement"-adverb-ca
"notablement"-adverb-ca "notablament"-adverb-oc
"substancialament"-adverb-oc "substancialment"-adverb-ca
"substancialment"-adverb-ca "substancialament"-adverb-oc
"realament"-adverb-oc "realment"-adverb-ca
"realment"-adverb-ca "realament"-adverb-oc
"vertadièrament"-adverb-oc "veritablement"-adverb-ca
"veritablement"-adverb-ca "vertadièrament"-adverb-oc
"veritablement"-adverb-ca "veritablament"-adverb-oc
"veritablament"-adverb-oc "veritablement"-adverb-ca
"de fet"-adverb-ca "en fait"-adverb-oc
"de fet"-adverb-ca "en fach"-adverb-oc
"en fait"-adverb-oc "de fet"-adverb-ca
"en fach"-adverb-oc "de fet"-adverb-ca
"sí"-adverb-oc "sí"-adverb-ca
"sí"-adverb-ca "sí"-adverb-oc
"sí"-adverb-ca "òc"-adverb-oc
"òc"-adverb-oc "sí"-adverb-ca
"finalament"-adverb-oc "finalment"-adverb-ca
"finalment"-adverb-ca "finalament"-adverb-oc
"finalment"-adverb-ca "fin finala"-adverb-oc
"finalment"-adverb-ca "enfin"-adverb-oc
"fin finala"-adverb-oc "finalment"-adverb-ca
"enfin"-adverb-oc "finalment"-adverb-ca
"darrièrament"-adverb-oc "darrerament"-adverb-ca
"darrerament"-adverb-ca "darrièrament"-adverb-oc
"darrerament"-adverb-ca "darrèrament"-adverb-oc
"darrèrament"-adverb-oc "darrerament"-adverb-ca
"recentment"-adverb-ca "recentament"-adverb-oc
"recentament"-adverb-oc "recentment"-adverb-ca
"basicament"-adverb-oc "bàsicament"-adverb-ca
"bàsicament"-adverb-ca "basicament"-adverb-oc
"un shinhau"-adverb-oc "una mica"-adverb-ca
"una mica"-adverb-ca "un shinhau"-adverb-oc
"una mica"-adverb-ca "un pauc"-adverb-oc
"un pauc"-adverb-oc "una mica"-adverb-ca
"lleugerament"-adverb-ca "leugièrament"-adverb-oc
"leugièrament"-adverb-oc "lleugerament"-adverb-ca
"aproximadament"-adverb-ca "aproximadament"-adverb-oc
"aproximadament"-adverb-ca "aperaquí"-adverb-oc
"aproximadament"-adverb-oc "aproximadament"-adverb-ca
"aperaquí"-adverb-oc "aproximadament"-adverb-ca
"aperaquí"-adverb-oc "prop"-adverb-ca
"prop"-adverb-ca "aperaquí"-adverb-oc
"prop"-adverb-ca "près"-adverb-oc
"prop"-adverb-ca "prèp"-adverb-oc
"prop"-adverb-ca "pròp"-adverb-oc
"a prop"-adverb-ca "près"-adverb-oc
"près"-adverb-oc "prop"-adverb-ca
"près"-adverb-oc "a prop"-adverb-ca
"prèp"-adverb-oc "prop"-adverb-ca
"pròp"-adverb-oc "prop"-adverb-ca
"a la vora"-adverb-ca "al bòrd"-adverb-oc
"al bòrd"-adverb-oc "a la vora"-adverb-ca
"a l'entorn"-adverb-oc "al voltant"-adverb-ca
"al voltant"-adverb-ca "a l'entorn"-adverb-oc
"totalment"-adverb-ca "totalament"-adverb-oc
"totalament"-adverb-oc "totalment"-adverb-ca
"segurament"-adverb-oc "segurament"-adverb-ca
"segurament"-adverb-ca "segurament"-adverb-oc
"precisament"-adverb-ca "justament"-adverb-oc
"precisament"-adverb-ca "precisament"-adverb-oc
"justament"-adverb-oc "precisament"-adverb-ca
"justament"-adverb-oc "justament"-adverb-ca
"precisament"-adverb-oc "precisament"-adverb-ca
"justament"-adverb-ca "justament"-adverb-oc
"naturalament"-adverb-oc "naturalment"-adverb-ca
"naturalment"-adverb-ca "naturalament"-adverb-oc
"enquera"-adverb-oc "encara"-adverb-ca
"encara"-adverb-ca "enquera"-adverb-oc
"encara"-adverb-ca "enqüèra"-adverb-oc
"enqüèra"-adverb-oc "encara"-adverb-ca
"fins i tot"-adverb-ca "quitament"-adverb-oc
"fins i tot"-adverb-ca "autanplan"-adverb-oc
"quitament"-adverb-oc "fins i tot"-adverb-ca
"autanplan"-adverb-oc "fins i tot"-adverb-ca
"com"-adverb-ca "cossí"-adverb-oc
"cossí"-adverb-oc "com"-adverb-ca
"eth mèn"-determiner-oc "el meu"-determiner-ca
"el meu"-determiner-ca "eth mèn"-determiner-oc
"el meu"-determiner-ca "lo mieu"-determiner-oc
"el meu"-determiner-ca "mon"-determiner-oc
"lo mieu"-determiner-oc "el meu"-determiner-ca
"mon"-determiner-oc "el meu"-determiner-ca
"lo tieu"-determiner-oc "el teu"-determiner-ca
"el teu"-determiner-ca "lo tieu"-determiner-oc
"el teu"-determiner-ca "ton"-determiner-oc
"ton"-determiner-oc "el teu"-determiner-ca
"lo vòstre"-determiner-oc "el vostre"-determiner-ca
"el vostre"-determiner-ca "lo vòstre"-determiner-oc
"lor"-determiner-oc "llur"-determiner-ca
"lor"-determiner-oc "el seu"-determiner-ca
"llur"-determiner-ca "lor"-determiner-oc
"el seu"-determiner-ca "lor"-determiner-oc
"el seu"-determiner-ca "lo sieu"-determiner-oc
"el seu"-determiner-ca "son"-determiner-oc
"lo sieu"-determiner-oc "el seu"-determiner-ca
"son"-determiner-oc "el seu"-determiner-ca
"lo nòstre"-determiner-oc "el nostre"-determiner-ca
"el nostre"-determiner-ca "lo nòstre"-determiner-oc
"arren"-pronoun-oc "res"-pronoun-ca
"res"-pronoun-ca "arren"-pronoun-oc
"res"-pronoun-ca "res"-pronoun-oc
"res"-pronoun-ca "ren"-pronoun-oc
"res"-pronoun-oc "res"-pronoun-ca
"ren"-pronoun-oc "res"-pronoun-ca
"això"-pronoun-ca "çò"-pronoun-oc
"çò"-pronoun-oc "això"-pronoun-ca
"aquò"-pronoun-oc "allò"-pronoun-ca
"aquò"-pronoun-oc "açò"-pronoun-ca
"allò"-pronoun-ca "aquò"-pronoun-oc
"açò"-pronoun-ca "aquò"-pronoun-oc
"què"-pronoun-ca "qué"-pronoun-oc
"qué"-pronoun-oc "què"-pronoun-ca
"qui"-pronoun-ca "qual"-pronoun-oc
"qual"-pronoun-oc "qui"-pronoun-ca
"aquel"-pronoun-oc "aquell"-pronoun-ca
"aquell"-pronoun-ca "aquel"-pronoun-oc
"aquest"-pronoun-ca "aqueste"-pronoun-oc
"aquest"-pronoun-ca "aguest"-pronoun-oc
"aqueste"-pronoun-oc "aquest"-pronoun-ca
"aguest"-pronoun-oc "aquest"-pronoun-ca
"hom"-pronoun-ca "òm"-pronoun-oc
"òm"-pronoun-oc "hom"-pronoun-ca
"òm"-pronoun-oc "es"-reflexivePersonalPronoun-ca
"òm"-pronoun-oc "es"-pronoun-ca
"es"-reflexivePersonalPronoun-ca "òm"-pronoun-oc
"es"-reflexivePersonalPronoun-ca "se"-pronoun-oc
"es"-pronoun-ca "òm"-pronoun-oc
"es"-pronoun-ca "se"-pronoun-oc
"se"-pronoun-oc "es"-reflexivePersonalPronoun-ca
"se"-pronoun-oc "es"-pronoun-ca
"ell"-pronoun-ca "el"-pronoun-oc
"el"-pronoun-oc "ell"-pronoun-ca
"ho"-pronoun-ca "o"-pronoun-oc
"o"-pronoun-oc "ho"-pronoun-ca
"tot"-pronoun-ca "tot"-pronoun-oc
"tot"-pronoun-oc "tot"-pronoun-ca
"cadun"-pronoun-oc "cadascú"-pronoun-ca
"cadascú"-pronoun-ca "cadun"-pronoun-oc
"ningú"-pronoun-ca "arrés"-pronoun-oc
"ningú"-pronoun-ca "degun"-pronoun-oc
"arrés"-pronoun-oc "ningú"-pronoun-ca
"degun"-pronoun-oc "ningú"-pronoun-ca
"on"-adverb-oc "on"-adverb-ca
"on"-adverb-ca "on"-adverb-oc
"on"-adverb-ca "ont"-adverb-oc
"ont"-adverb-oc "on"-adverb-ca
"després de"-preposition-ca "dempús de"-preposition-oc
"després de"-preposition-ca "despús de"-preposition-oc
"després de"-preposition-ca "après"-preposition-oc
"dempús de"-preposition-oc "després de"-preposition-ca
"despús de"-preposition-oc "després de"-preposition-ca
"après"-preposition-oc "després de"-preposition-ca
"mitjançant"-preposition-ca "mejançant"-preposition-oc
"mejançant"-preposition-oc "mitjançant"-preposition-ca
"mejançant"-preposition-oc "per mitjà de"-preposition-ca
"per mitjà de"-preposition-ca "mejançant"-preposition-oc
"segons"-preposition-ca "segon"-preposition-oc
"segons"-preposition-ca "segontes"-preposition-oc
"segons"-preposition-ca "segons"-preposition-oc
"segon"-preposition-oc "segons"-preposition-ca
"segontes"-preposition-oc "segons"-preposition-ca
"segons"-preposition-oc "segons"-preposition-ca
"a causa de"-preposition-ca "a causa de"-preposition-oc
"a causa de"-preposition-oc "a causa de"-preposition-ca
"tamb"-preposition-oc "amb"-preposition-ca
"amb"-preposition-ca "tamb"-preposition-oc
"amb"-preposition-ca "tab"-preposition-oc
"amb"-preposition-ca "embe"-preposition-oc
"amb"-preposition-ca "emb"-preposition-oc
"amb"-preposition-ca "damb"-preposition-oc
"amb"-preposition-ca "dab"-preposition-oc
"amb"-preposition-ca "ambe"-preposition-oc
"amb"-preposition-ca "amb"-preposition-oc
"tab"-preposition-oc "amb"-preposition-ca
