"adientment"-adverb-ca "adekvate"-adverb-eo
"narkotaĵemulo"-noun-eo "addicte"-noun-ca
"addicte"-noun-ca "narkotaĵemulo"-noun-eo
"addicte"-noun-ca "drogemulo"-noun-eo
"addicte"-noun-ca "toksomaniulo"-noun-eo
"drogemulo"-noun-eo "addicte"-noun-ca
"toksomaniulo"-noun-eo "addicte"-noun-ca
"intel·ligència"-noun-ca "inteligenteco"-noun-eo
"inteligenteco"-noun-eo "intel·ligència"-noun-ca
"brulligno"-noun-eo "llenya"-noun-ca
"llenya"-noun-ca "brulligno"-noun-eo
"malvarmeco"-noun-eo "fredor"-noun-ca
"fredor"-noun-ca "malvarmeco"-noun-eo
"peripècia"-noun-ca "peripetio"-noun-eo
"peripetio"-noun-eo "peripècia"-noun-ca
"pedrera"-noun-ca "ŝtonmino"-noun-eo
"ŝtonmino"-noun-eo "pedrera"-noun-ca
"kantisto"-noun-eo "cantant"-noun-ca
"cantant"-noun-ca "kantisto"-noun-eo
"abelsvarmo"-noun-eo "eixam"-noun-ca
"eixam"-noun-ca "abelsvarmo"-noun-eo
"duoncirklo"-noun-eo "hemicicle"-noun-ca
"hemicicle"-noun-ca "duoncirklo"-noun-eo
"globulo"-noun-eo "glòbul"-noun-ca
"glòbul"-noun-ca "globulo"-noun-eo
"sendevigo"-noun-eo "exempció"-noun-ca
"exempció"-noun-ca "sendevigo"-noun-eo
"teksturo"-noun-eo "textura"-noun-ca
"textura"-noun-ca "teksturo"-noun-eo
"serietat"-noun-ca "gravmieneco"-noun-eo
"serietat"-noun-ca "seriozeco"-noun-eo
"gravmieneco"-noun-eo "serietat"-noun-ca
"seriozeco"-noun-eo "serietat"-noun-ca
"sangeltiro"-noun-eo "sagnia"-noun-ca
"sagnia"-noun-ca "sangeltiro"-noun-eo
"candidatura"-noun-ca "kandidateco"-noun-eo
"kandidateco"-noun-eo "candidatura"-noun-ca
"malefici"-noun-ca "sorĉo"-noun-eo
"sorĉo"-noun-eo "malefici"-noun-ca
"maledicció"-noun-ca "malbeno"-noun-eo
"malbeno"-noun-eo "maledicció"-noun-ca
"simposi"-noun-ca "simpozio"-noun-eo
"simpozio"-noun-eo "simposi"-noun-ca
"joieria"-noun-ca "juvelarto"-noun-eo
"juvelarto"-noun-eo "joieria"-noun-ca
"tenereco"-noun-eo "tendresa"-noun-ca
"tendresa"-noun-ca "tenereco"-noun-eo
"necerteco"-noun-eo "incertesa"-noun-ca
"incertesa"-noun-ca "necerteco"-noun-eo
"rifuzo"-noun-eo "negativa"-noun-ca
"negativa"-noun-ca "rifuzo"-noun-eo
"matureco"-noun-eo "maduresa"-noun-ca
"maduresa"-noun-ca "matureco"-noun-eo
"centralo"-noun-eo "central"-noun-ca
"central"-noun-ca "centralo"-noun-eo
"escàner"-noun-ca "skanilo"-noun-eo
"skanilo"-noun-eo "escàner"-noun-ca
"travidebleco"-noun-eo "transparència"-noun-ca
"transparència"-noun-ca "travidebleco"-noun-eo
"sincereco"-noun-eo "sinceritat"-noun-ca
"sinceritat"-noun-ca "sincereco"-noun-eo
"romanisto"-noun-eo "novel·lista"-noun-ca
"novel·lista"-noun-ca "romanisto"-noun-eo
"simulado"-noun-eo "simulació"-noun-ca
"simulació"-noun-ca "simulado"-noun-eo
"operador"-noun-ca "operatoro"-noun-eo
"operador"-noun-ca "telefonisto"-noun-eo
"operatoro"-noun-eo "operador"-noun-ca
"telefonisto"-noun-eo "operador"-noun-ca
"elektra hejmilo"-noun-eo "electrodomèstic"-noun-ca
"electrodomèstic"-noun-ca "elektra hejmilo"-noun-eo
"ikono"-noun-eo "icona"-noun-ca
"icona"-noun-ca "ikono"-noun-eo
"parfumo"-noun-eo "perfum"-noun-ca
"perfum"-noun-ca "parfumo"-noun-eo
"resalto"-noun-eo "rebot"-noun-ca
"rebot"-noun-ca "resalto"-noun-eo
"vencedor"-noun-ca "venkinto"-noun-eo
"venkinto"-noun-eo "vencedor"-noun-ca
"lleialtat"-noun-ca "lojaleco"-noun-eo
"lojaleco"-noun-eo "lleialtat"-noun-ca
"viatger"-noun-ca "vojaĝanto"-noun-eo
"vojaĝanto"-noun-eo "viatger"-noun-ca
"sorteig"-noun-ca "lotado"-noun-eo
"lotado"-noun-eo "sorteig"-noun-ca
"recaptació"-noun-ca "impostkolektado"-noun-eo
"impostkolektado"-noun-eo "recaptació"-noun-ca
"ral·li"-noun-ca "ralio"-noun-eo
"ralio"-noun-eo "ral·li"-noun-ca
"direktisto"-noun-eo "gerent"-noun-ca
"gerent"-noun-ca "direktisto"-noun-eo
"renkonto"-noun-eo "encontre"-noun-ca
"encontre"-noun-ca "renkonto"-noun-eo
"mamà"-noun-ca "panjo"-noun-eo
"panjo"-noun-eo "mamà"-noun-ca
"desfilada"-noun-ca "defilado"-noun-eo
"defilado"-noun-eo "desfilada"-noun-ca
"realitzador"-noun-ca "realiganto"-noun-eo
"realiganto"-noun-eo "realitzador"-noun-ca
"vojkruciĝo"-noun-eo "cruïlla"-noun-ca
"vojkruciĝo"-noun-eo "encreuament"-noun-ca
"vojkruciĝo"-noun-eo "creuament"-noun-ca
"cruïlla"-noun-ca "vojkruciĝo"-noun-eo
"cruïlla"-noun-ca "kruciĝo"-noun-eo
"encreuament"-noun-ca "vojkruciĝo"-noun-eo
"encreuament"-noun-ca "kruciĝo"-noun-eo
"creuament"-noun-ca "vojkruciĝo"-noun-eo
"creuament"-noun-ca "kruciĝo"-noun-eo
"kruciĝo"-noun-eo "cruïlla"-noun-ca
"kruciĝo"-noun-eo "encreuament"-noun-ca
"kruciĝo"-noun-eo "creuament"-noun-ca
"bany"-noun-ca "bano"-noun-eo
"bano"-noun-eo "bany"-noun-ca
"fricció"-noun-ca "frotado"-noun-eo
"frotado"-noun-eo "fricció"-noun-ca
"frotado"-noun-eo "fregament"-noun-ca
"fregament"-noun-ca "frotado"-noun-eo
"kolizio"-noun-eo "topada"-noun-ca
"topada"-noun-ca "kolizio"-noun-eo
"egaleco"-noun-eo "empat"-noun-ca
"empat"-noun-ca "egaleco"-noun-eo
"valideco"-noun-eo "validesa"-noun-ca
"validesa"-noun-ca "valideco"-noun-eo
"savo"-noun-eo "salvació"-noun-ca
"salvació"-noun-ca "savo"-noun-eo
"ràfec"-noun-ca "alero"-noun-eo
"alero"-noun-eo "ràfec"-noun-ca
"pesilo"-noun-eo "balança"-noun-ca
"balança"-noun-ca "pesilo"-noun-eo
"limigo"-noun-eo "limitació"-noun-ca
"limitació"-noun-ca "limigo"-noun-eo
"limtempo"-noun-eo "termini"-noun-ca
"termini"-noun-ca "limtempo"-noun-eo
"prononco"-noun-eo "pronúncia"-noun-ca
"pronúncia"-noun-ca "prononco"-noun-eo
"gala"-noun-ca "festo-vesto"-noun-eo
"festo-vesto"-noun-eo "gala"-noun-ca
"set"-noun-ca "soifo"-noun-eo
"soifo"-noun-eo "set"-noun-ca
"putrefacció"-noun-ca "putriĝo"-noun-eo
"putriĝo"-noun-eo "putrefacció"-noun-ca
"liquidació"-noun-ca "forvendo"-noun-eo
"forvendo"-noun-eo "liquidació"-noun-ca
"vivenda"-noun-ca "tranoktejo"-noun-eo
"tranoktejo"-noun-eo "vivenda"-noun-ca
"reemplaçament"-noun-ca "substituo"-noun-eo
"substituo"-noun-eo "reemplaçament"-noun-ca
"amendo"-noun-eo "esmena"-noun-ca
"esmena"-noun-ca "amendo"-noun-eo
"plifortigo"-noun-eo "reforç"-noun-ca
"reforç"-noun-ca "plifortigo"-noun-eo
"eficàcia"-noun-ca "efikeco"-noun-eo
"efikeco"-noun-eo "eficàcia"-noun-ca
"lukto"-noun-eo "pugna"-noun-ca
"pugna"-noun-ca "lukto"-noun-eo
"inĝenieco"-noun-eo "enginy"-noun-ca
"enginy"-noun-ca "inĝenieco"-noun-eo
"lamento"-noun-eo "lamentació"-noun-ca
"lamentació"-noun-ca "lamento"-noun-eo
"queixa"-noun-ca "plendo"-noun-eo
"plendo"-noun-eo "queixa"-noun-ca
"llegat"-noun-ca "heredo"-noun-eo
"heredo"-noun-eo "llegat"-noun-ca
"desengany"-noun-ca "disreviĝo"-noun-eo
"disreviĝo"-noun-eo "desengany"-noun-ca
"defio"-noun-eo "desafiament"-noun-ca
"defio"-noun-eo "repte"-noun-ca
"desafiament"-noun-ca "defio"-noun-eo
"repte"-noun-ca "defio"-noun-eo
"menyspreu"-noun-ca "malestimo"-noun-eo
"malestimo"-noun-eo "menyspreu"-noun-ca
"malkontento"-noun-eo "descontentament"-noun-ca
"descontentament"-noun-ca "malkontento"-noun-eo
"felicitat"-noun-ca "feliĉo"-noun-eo
"feliĉo"-noun-eo "felicitat"-noun-ca
"nadó"-noun-ca "suĉinfano"-noun-eo
"suĉinfano"-noun-eo "nadó"-noun-ca
"monhelpo"-noun-eo "subsidi"-noun-ca
"subsidi"-noun-ca "monhelpo"-noun-eo
"mencio"-noun-eo "menció"-noun-ca
"menció"-noun-ca "mencio"-noun-eo
"nomenament"-noun-ca "nomumo"-noun-eo
"nomumo"-noun-eo "nomenament"-noun-ca
"buĉado"-noun-eo "matança"-noun-ca
"matança"-noun-ca "buĉado"-noun-eo
"tenanto"-noun-eo "titular"-noun-ca
"titular"-noun-ca "tenanto"-noun-eo
"titular"-noun-ca "titularulo"-noun-eo
"titularulo"-noun-eo "titular"-noun-ca
"bombado"-noun-eo "bombardeig"-noun-ca
"bombardeig"-noun-ca "bombado"-noun-eo
"rondveturo"-noun-eo "tomb"-noun-ca
"tomb"-noun-ca "rondveturo"-noun-eo
"oferdono"-noun-eo "ofrena"-noun-ca
"ofrena"-noun-ca "oferdono"-noun-eo
"vaixella"-noun-ca "servico"-noun-eo
"servico"-noun-eo "vaixella"-noun-ca
"paeljo"-noun-eo "paella"-noun-ca
"paella"-noun-ca "paeljo"-noun-eo
"paella"-noun-ca "pato"-noun-eo
"pato"-noun-eo "paella"-noun-ca
"empresonament"-noun-ca "malliberigo"-noun-eo
"empresonament"-noun-ca "enprizonigo"-noun-eo
"malliberigo"-noun-eo "empresonament"-noun-ca
"enprizonigo"-noun-eo "empresonament"-noun-ca
"izolo"-noun-eo "aïllament"-noun-ca
"aïllament"-noun-ca "izolo"-noun-eo
"aïllament"-noun-ca "izolado"-noun-eo
"izolado"-noun-eo "aïllament"-noun-ca
"xat"-noun-ca "babilejo"-noun-eo
"babilejo"-noun-eo "xat"-noun-ca
"rompiĝo"-noun-eo "trencament"-noun-ca
"trencament"-noun-ca "rompiĝo"-noun-eo
"missatger"-noun-ca "mesaĝisto"-noun-eo
"mesaĝisto"-noun-eo "missatger"-noun-ca
"passatge"-noun-ca "pasejo"-noun-eo
"pasejo"-noun-eo "passatge"-noun-ca
"soleco"-noun-eo "solitud"-noun-ca
"soleco"-noun-eo "soledat"-noun-ca
"solitud"-noun-ca "soleco"-noun-eo
"soledat"-noun-ca "soleco"-noun-eo
"malkonfido"-noun-eo "desconfiança"-noun-ca
"desconfiança"-noun-ca "malkonfido"-noun-eo
"sondado"-noun-eo "sondeig"-noun-ca
"sondeig"-noun-ca "sondado"-noun-eo
"persistemo"-noun-eo "perseverança"-noun-ca
"perseverança"-noun-ca "persistemo"-noun-eo
"fosaĵo"-noun-eo "fossa"-noun-ca
"fossa"-noun-ca "fosaĵo"-noun-eo
"ponteto"-noun-eo "passarel·la"-noun-ca
"passarel·la"-noun-ca "ponteto"-noun-eo
"escó"-noun-ca "parlamenta benko"-noun-eo
"parlamenta benko"-noun-eo "escó"-noun-ca
"sciigo"-noun-eo "notificació"-noun-ca
"notificació"-noun-ca "sciigo"-noun-eo
"escac"-noun-ca "ŝako"-noun-eo
"ŝako"-noun-eo "escac"-noun-ca
"vivtenado"-noun-eo "manutenció"-noun-ca
"manutenció"-noun-ca "vivtenado"-noun-eo
"boneco"-noun-eo "bondat"-noun-ca
"bondat"-noun-ca "boneco"-noun-eo
"pigreco"-noun-eo "mandra"-noun-ca
"mandra"-noun-ca "pigreco"-noun-eo
"negligència"-noun-ca "neglektado"-noun-eo
"neglektado"-noun-eo "negligència"-noun-ca
"contribuent"-noun-ca "impostpaganto"-noun-eo
"impostpaganto"-noun-eo "contribuent"-noun-ca
"bankroto"-noun-eo "fallida"-noun-ca
"fallida"-noun-ca "bankroto"-noun-eo
"aturat"-noun-ca "senlaborulo"-noun-eo
"senlaborulo"-noun-eo "aturat"-noun-ca
"senlaborulo"-noun-eo "parat"-noun-ca
"parat"-noun-ca "senlaborulo"-noun-eo
"simileco"-noun-eo "similitud"-noun-ca
"simileco"-noun-eo "semblança"-noun-ca
"similitud"-noun-ca "simileco"-noun-eo
"semblança"-noun-ca "simileco"-noun-eo
"senkulpa"-adjective-eo "innocent"-adjective-ca
"innocent"-adjective-ca "senkulpa"-adjective-eo
"elektema"-adjective-eo "selectiu"-adjective-ca
"selectiu"-adjective-ca "elektema"-adjective-eo
"desproporcionat"-adjective-ca "misproporcia"-adjective-eo
"misproporcia"-adjective-eo "desproporcionat"-adjective-ca
"infinit"-adjective-ca "nefinia"-adjective-eo
"infinit"-adjective-ca "infinita"-adjective-eo
"nefinia"-adjective-eo "infinit"-adjective-ca
"infinita"-adjective-eo "infinit"-adjective-ca
"virtual"-adjective-ca "virtuala"-adjective-eo
"virtuala"-adjective-eo "virtual"-adjective-ca
"frustrar"-verb-ca "frustri"-verb-eo
"frustri"-verb-eo "frustrar"-verb-ca
"adulterí"-adjective-ca "adulta"-adjective-eo
"adulta"-adjective-eo "adulterí"-adjective-ca
"adulta"-adjective-eo "adúlter"-adjective-ca
"adúlter"-adjective-ca "adulta"-adjective-eo
"imaginatiu"-adjective-ca "imagema"-adjective-eo
"imagema"-adjective-eo "imaginatiu"-adjective-ca
"il·lícit"-adjective-ca "nelica"-adjective-eo
"nelica"-adjective-eo "il·lícit"-adjective-ca
"fascinant"-adjective-ca "fascina"-adjective-eo
"fascina"-adjective-eo "fascinant"-adjective-ca
"tema"-adjective-eo "temàtic"-adjective-ca
"temàtic"-adjective-ca "tema"-adjective-eo
"kompara"-adjective-eo "comparatiu"-adjective-ca
"comparatiu"-adjective-ca "kompara"-adjective-eo
"drenar"-verb-ca "dreni"-verb-eo
"dreni"-verb-eo "drenar"-verb-ca
"blindumi"-verb-eo "enlluernar"-verb-ca
"enlluernar"-verb-ca "blindumi"-verb-eo
"ĉefroli"-verb-eo "protagonitzar"-verb-ca
"protagonitzar"-verb-ca "ĉefroli"-verb-eo
"mític"-adjective-ca "mita"-adjective-eo
"mita"-adjective-eo "mític"-adjective-ca
"legenda"-adjective-eo "llegendari"-adjective-ca
"llegendari"-adjective-ca "legenda"-adjective-eo
"transitori"-adjective-ca "transira"-adjective-eo
"transira"-adjective-eo "transitori"-adjective-ca
"transparent"-adjective-ca "travidebla"-adjective-eo
"travidebla"-adjective-eo "transparent"-adjective-ca
"interferi"-verb-eo "interferir"-verb-ca
"interferir"-verb-ca "interferi"-verb-eo
"aŭdaci"-verb-eo "atrevir"-verb-ca
"atrevir"-verb-ca "aŭdaci"-verb-eo
"vibra"-adjective-eo "vibrant"-adjective-ca
"vibrant"-adjective-ca "vibra"-adjective-eo
"malnomada"-adjective-eo "sedentari"-adjective-ca
"sedentari"-adjective-ca "malnomada"-adjective-eo
"hazardi"-verb-eo "arriscar"-pronoun-ca
"arriscar"-pronoun-ca "hazardi"-verb-eo
"nutra"-adjective-eo "nutritiu"-adjective-ca
"nutritiu"-adjective-ca "nutra"-adjective-eo
"incolor"-adjective-ca "senkolora"-adjective-eo
"senkolora"-adjective-eo "incolor"-adjective-ca
"malaperi"-verb-eo "desaparèixer"-verb-ca
"desaparèixer"-verb-ca "malaperi"-verb-eo
"caritatiu"-adjective-ca "karitata"-adjective-eo
"karitata"-adjective-eo "caritatiu"-adjective-ca
"intuicia"-adjective-eo "intuïtiu"-adjective-ca
"intuïtiu"-adjective-ca "intuicia"-adjective-eo
"favorata"-adjective-eo "favorit"-adjective-ca
"favorit"-adjective-ca "favorata"-adjective-eo
"distrita"-adjective-eo "inadvertit"-adjective-ca
"inadvertit"-adjective-ca "distrita"-adjective-eo
"mistera"-adjective-eo "misteriós"-adjective-ca
"misteriós"-adjective-ca "mistera"-adjective-eo
"sorprenent"-adjective-ca "surpriza"-adjective-eo
"surpriza"-adjective-eo "sorprenent"-adjective-ca
"simpàtic"-adjective-ca "simpatia"-adjective-eo
"simpatia"-adjective-eo "simpàtic"-adjective-ca
"misfortuna"-adjective-eo "desgraciat"-adjective-ca
"misfortuna"-adjective-eo "desafortunat"-adjective-ca
"desgraciat"-adjective-ca "misfortuna"-adjective-eo
"desafortunat"-adjective-ca "misfortuna"-adjective-eo
"electe"-adjective-ca "elektita"-adjective-eo
"elektita"-adjective-eo "electe"-adjective-ca
"timema"-adjective-eo "temorós"-adjective-ca
"temorós"-adjective-ca "timema"-adjective-eo
"erara"-adjective-eo "erroni"-adjective-ca
"erroni"-adjective-ca "erara"-adjective-eo
"bonaspekta"-adjective-eo "guapo"-adjective-ca
"guapo"-adjective-ca "bonaspekta"-adjective-eo
"fluanta"-adjective-eo "corrent"-adjective-ca
"corrent"-adjective-ca "fluanta"-adjective-eo
"specifa"-adjective-eo "específic"-adjective-ca
"específic"-adjective-ca "specifa"-adjective-eo
"handikapita"-adjective-eo "discapacitat"-adjective-ca
"discapacitat"-adjective-ca "handikapita"-adjective-eo
"calb"-adjective-ca "kalva"-adjective-eo
"kalva"-adjective-eo "calb"-adjective-ca
"fruktodona"-adjective-eo "fructífer"-adjective-ca
"fructífer"-adjective-ca "fruktodona"-adjective-eo
"resti"-verb-eo "quedar"-verb-ca
"quedar"-verb-ca "resti"-verb-eo
"adoptita"-adjective-eo "adoptiu"-adjective-ca
"adoptiu"-adjective-ca "adoptita"-adjective-eo
"ressenyar"-verb-ca "recenzi"-verb-eo
"recenzi"-verb-eo "ressenyar"-verb-ca
"valora"-adjective-eo "valuós"-adjective-ca
"valuós"-adjective-ca "valora"-adjective-eo
"oficiós"-adjective-ca "neoficiala"-adjective-eo
"neoficiala"-adjective-eo "oficiós"-adjective-ca
"imaginari"-adjective-ca "imaga"-adjective-eo
"imaga"-adjective-eo "imaginari"-adjective-ca
"aparèixer"-verb-ca "aperi"-verb-eo
"aperi"-verb-eo "aparèixer"-verb-ca
"asfiksii"-verb-eo "asfixiar"-verb-ca
"asfixiar"-verb-ca "asfiksii"-verb-eo
"kunsendi"-verb-eo "adjuntar"-verb-ca
"adjuntar"-verb-ca "kunsendi"-verb-eo
"malkonverĝi"-verb-eo "divergir"-verb-ca
"divergir"-verb-ca "malkonverĝi"-verb-eo
"divergir"-verb-ca "diverĝi"-verb-eo
"diverĝi"-verb-eo "divergir"-verb-ca
"lezi"-verb-eo "lesionar"-verb-ca
"lesionar"-verb-ca "lezi"-verb-eo
"harmoniós"-adjective-ca "harmonia"-adjective-eo
"harmonia"-adjective-eo "harmoniós"-adjective-ca
"harmona"-adjective-eo "harmònic"-adjective-ca
"harmònic"-adjective-ca "harmona"-adjective-eo
"bonŝanca"-adjective-eo "afortunat"-adjective-ca
"afortunat"-adjective-ca "bonŝanca"-adjective-eo
"ombrívol"-adjective-ca "ombra"-adjective-eo
"ombra"-adjective-eo "ombrívol"-adjective-ca
"impressionant"-adjective-ca "impresa"-adjective-eo
"impresa"-adjective-eo "impressionant"-adjective-ca
"implacable"-adjective-ca "malkompatema"-adjective-eo
"malkompatema"-adjective-eo "implacable"-adjective-ca
"honest"-adjective-ca "honesta"-adjective-eo
"honesta"-adjective-eo "honest"-adjective-ca
"mallumiĝi"-verb-eo "enfosquir"-verb-ca
"enfosquir"-verb-ca "mallumiĝi"-verb-eo
"desmesurat"-adjective-ca "senmezura"-adjective-eo
"senmezura"-adjective-eo "desmesurat"-adjective-ca
"duonvidi"-verb-eo "entreveure"-verb-ca
"entreveure"-verb-ca "duonvidi"-verb-eo
