"eble"-adverb-eo "tal vegada"-adverb-ca
"reialme"-noun-ca "reĝlando"-noun-eo
"fiança"-noun-ca "garantiaĵo"-noun-eo
"garantiaĵo"-noun-eo "fiança"-noun-ca
"provo"-noun-eo "temptativa"-noun-ca
"temptativa"-noun-ca "provo"-noun-eo
"tràmit"-noun-ca "paŝo"-noun-eo
"paŝo"-noun-eo "tràmit"-noun-ca
"medikamento"-noun-eo "fàrmac"-noun-ca
"fàrmac"-noun-ca "medikamento"-noun-eo
"homicida"-noun-ca "murdinto"-noun-eo
"murdinto"-noun-eo "homicida"-noun-ca
"stelo"-noun-eo "estrela"-noun-ca
"estrela"-noun-ca "stelo"-noun-eo
"estrela"-noun-ca "stelulo"-noun-eo
"stelulo"-noun-eo "estrela"-noun-ca
"aposta"-noun-ca "veto"-noun-eo
"veto"-noun-eo "aposta"-noun-ca
"kutimo"-noun-eo "habitud"-noun-ca
"habitud"-noun-ca "kutimo"-noun-eo
"efiko"-noun-eo "incidència"-noun-ca
"incidència"-noun-ca "efiko"-noun-eo
"sukceso"-noun-eo "encert"-noun-ca
"encert"-noun-ca "sukceso"-noun-eo
"vosto"-noun-eo "deixant"-noun-ca
"deixant"-noun-ca "vosto"-noun-eo
"tomb"-noun-ca "deĵoro"-noun-eo
"deĵoro"-noun-eo "tomb"-noun-ca
"submetiĝo"-noun-eo "subjecció"-noun-ca
"subjecció"-noun-ca "submetiĝo"-noun-eo
"kuŝejo"-noun-eo "llitera"-noun-ca
"kuŝejo"-noun-eo "jaciment"-noun-ca
"llitera"-noun-ca "kuŝejo"-noun-eo
"jaciment"-noun-ca "kuŝejo"-noun-eo
"lito"-noun-eo "jaç"-noun-ca
"jaç"-noun-ca "lito"-noun-eo
"enkarcerigo"-noun-eo "empresonament"-noun-ca
"empresonament"-noun-ca "enkarcerigo"-noun-eo
"blokado"-noun-eo "blocatge"-noun-ca
"blocatge"-noun-ca "blokado"-noun-eo
"vacances"-noun-ca "ferio"-noun-eo
"ferio"-noun-eo "vacances"-noun-ca
"armeo"-noun-eo "host"-noun-ca
"host"-noun-ca "armeo"-noun-eo
"kvartalo"-noun-eo "quarter"-noun-ca
"quarter"-noun-ca "kvartalo"-noun-eo
"pado"-noun-eo "viarany"-noun-ca
"viarany"-noun-ca "pado"-noun-eo
"kuriero"-noun-eo "missatger"-noun-ca
"missatger"-noun-ca "kuriero"-noun-eo
"vilaĝo"-noun-eo "vilatge"-noun-ca
"vilatge"-noun-ca "vilaĝo"-noun-eo
"sospita"-noun-ca "suspekto"-noun-eo
"suspekto"-noun-eo "sospita"-noun-ca
"trastorn"-noun-ca "malordo"-noun-eo
"malordo"-noun-eo "trastorn"-noun-ca
"processament"-noun-ca "traktado"-noun-eo
"traktado"-noun-eo "processament"-noun-ca
"fuĝo"-noun-eo "fugida"-noun-ca
"fugida"-noun-ca "fuĝo"-noun-eo
"fugida"-noun-ca "fugo"-noun-eo
"fugo"-noun-eo "fugida"-noun-ca
"transferència"-noun-ca "ĝiro"-noun-eo
"ĝiro"-noun-eo "transferència"-noun-ca
"fundo"-noun-eo "rerefons"-noun-ca
"rerefons"-noun-ca "fundo"-noun-eo
"rerefons"-noun-ca "fono"-noun-eo
"fono"-noun-eo "rerefons"-noun-ca
"areo"-noun-eo "recinte"-noun-ca
"recinte"-noun-ca "areo"-noun-eo
"constatació"-noun-ca "konstato"-noun-eo
"konstato"-noun-eo "constatació"-noun-ca
"konflikto"-noun-eo "disputa"-noun-ca
"disputa"-noun-ca "konflikto"-noun-eo
"animo"-noun-eo "encoratjament"-noun-ca
"encoratjament"-noun-ca "animo"-noun-eo
"domaĝo"-noun-eo "llàstima"-noun-ca
"llàstima"-noun-ca "domaĝo"-noun-eo
"atendo"-noun-eo "expectativa"-noun-ca
"expectativa"-noun-ca "atendo"-noun-eo
"obstaklo"-noun-eo "trava"-noun-ca
"trava"-noun-ca "obstaklo"-noun-eo
"urbodomo"-noun-eo "batllia"-noun-ca
"batllia"-noun-ca "urbodomo"-noun-eo
"depresio"-noun-eo "fondalada"-noun-ca
"fondalada"-noun-ca "depresio"-noun-eo
"bogeria"-noun-ca "frenezo"-noun-eo
"frenezo"-noun-eo "bogeria"-noun-ca
"opinio"-noun-eo "parer"-noun-ca
"opinio"-noun-eo "albir"-noun-ca
"parer"-noun-ca "opinio"-noun-eo
"albir"-noun-ca "opinio"-noun-eo
"honesteco"-noun-eo "honestedat"-noun-ca
"honestedat"-noun-ca "honesteco"-noun-eo
"titulació"-noun-ca "diplomo"-noun-eo
"diplomo"-noun-eo "titulació"-noun-ca
"mandra"-noun-ca "mallaboremo"-noun-eo
"mallaboremo"-noun-eo "mandra"-noun-ca
"trucada"-noun-ca "alvoko"-noun-eo
"alvoko"-noun-eo "trucada"-noun-ca
"laborista"-adjective-ca "laborisma"-adjective-eo
"laborisma"-adjective-eo "laborista"-adjective-ca
"laborema"-adjective-eo "laboriós"-adjective-ca
"laboriós"-adjective-ca "laborema"-adjective-eo
"senfina"-adjective-eo "inacabable"-adjective-ca
"senfina"-adjective-eo "infinit"-adjective-ca
"inacabable"-adjective-ca "senfina"-adjective-eo
"infinit"-adjective-ca "senfina"-adjective-eo
"letal"-adjective-ca "mortiga"-adjective-eo
"mortiga"-adjective-eo "letal"-adjective-ca
"kontraŭleĝa"-adjective-eo "il·lícit"-adjective-ca
"il·lícit"-adjective-ca "kontraŭleĝa"-adjective-eo
"avorrit"-adjective-ca "enuiga"-adjective-eo
"enuiga"-adjective-eo "avorrit"-adjective-ca
"emocional"-adjective-ca "emocia"-adjective-eo
"emocia"-adjective-eo "emocional"-adjective-ca
"immunitari"-adjective-ca "imuna"-adjective-eo
"imuna"-adjective-eo "immunitari"-adjective-ca
"apuda"-adjective-eo "contigu"-adjective-ca
"contigu"-adjective-ca "apuda"-adjective-eo
"englobar"-verb-ca "inkludi"-verb-eo
"inkludi"-verb-eo "englobar"-verb-ca
"nedaŭra"-adjective-eo "transitori"-adjective-ca
"transitori"-adjective-ca "nedaŭra"-adjective-eo
"anstataŭa"-adjective-eo "suplent"-adjective-ca
"suplent"-adjective-ca "anstataŭa"-adjective-eo
"ideala"-adjective-eo "idoni"-adjective-ca
"idoni"-adjective-ca "ideala"-adjective-eo
"favorit"-adjective-ca "preferata"-adjective-eo
"preferata"-adjective-eo "favorit"-adjective-ca
"maldestre"-adjective-ca "mallerta"-adjective-eo
"mallerta"-adjective-eo "maldestre"-adjective-ca
"intenca"-adjective-eo "deliberat"-adjective-ca
"deliberat"-adjective-ca "intenca"-adjective-eo
"mirinda"-adjective-eo "sorprenent"-adjective-ca
"sorprenent"-adjective-ca "mirinda"-adjective-eo
"muldi"-verb-eo "emmotlar"-verb-ca
"emmotlar"-verb-ca "muldi"-verb-eo
"sol·licitar"-verb-ca "peti"-verb-eo
"peti"-verb-eo "sol·licitar"-verb-ca
"vana"-adjective-eo "va"-adjective-ca
"va"-adjective-ca "vana"-adjective-eo
"desgraciat"-adjective-ca "malfeliĉa"-adjective-eo
"malfeliĉa"-adjective-eo "desgraciat"-adjective-ca
"malfeliĉa"-adjective-eo "desafortunat"-adjective-ca
"malfeliĉa"-adjective-eo "dissortat"-adjective-ca
"malfeliĉa"-adjective-eo "malaurat"-adjective-ca
"desafortunat"-adjective-ca "malfeliĉa"-adjective-eo
"dissortat"-adjective-ca "malfeliĉa"-adjective-eo
"malaurat"-adjective-ca "malfeliĉa"-adjective-eo
"diversa"-adjective-eo "vari"-adjective-ca
"vari"-adjective-ca "diversa"-adjective-eo
"proksima"-adjective-eo "vinent"-adjective-ca
"vinent"-adjective-ca "proksima"-adjective-eo
"adapti"-verb-eo "adequar"-verb-ca
"adequar"-verb-ca "adapti"-verb-eo
"fidinda"-adjective-eo "fidedigne"-adjective-ca
"fidedigne"-adjective-ca "fidinda"-adjective-eo
"absurda"-adjective-eo "forassenyat"-adjective-ca
"forassenyat"-adjective-ca "absurda"-adjective-eo
"ĉarma"-adjective-eo "encantador"-adjective-ca
"encantador"-adjective-ca "ĉarma"-adjective-eo
"emfazi"-verb-eo "emfasitzar"-verb-ca
"emfasitzar"-verb-ca "emfazi"-verb-eo
"malfiksi"-verb-eo "soltar"-verb-ca
"soltar"-verb-ca "malfiksi"-verb-eo
"mergi"-verb-eo "capbussar"-verb-ca
"capbussar"-verb-ca "mergi"-verb-eo
"desupri"-verb-eo "abaixar"-verb-ca
"desupri"-verb-eo "davallar"-verb-ca
"abaixar"-verb-ca "desupri"-verb-eo
"abaixar"-verb-ca "descendi"-verb-eo
"davallar"-verb-ca "desupri"-verb-eo
"davallar"-verb-ca "descendi"-verb-eo
"descendi"-verb-eo "abaixar"-verb-ca
"descendi"-verb-eo "davallar"-verb-ca
"kuna"-adjective-eo "conjunt"-adjective-ca
"conjunt"-adjective-ca "kuna"-adjective-eo
"asista"-adjective-eo "adjunt"-adjective-ca
"adjunt"-adjective-ca "asista"-adjective-eo
"malica"-adjective-eo "maliciós"-adjective-ca
"maliciós"-adjective-ca "malica"-adjective-eo
"controvertit"-adjective-ca "polemika"-adjective-eo
"polemika"-adjective-eo "controvertit"-adjective-ca
"efika"-adjective-eo "eficient"-adjective-ca
"eficient"-adjective-ca "efika"-adjective-eo
"farebla"-adjective-eo "factible"-adjective-ca
"factible"-adjective-ca "farebla"-adjective-eo
"taŭga"-adjective-eo "adient"-adjective-ca
"adient"-adjective-ca "taŭga"-adjective-eo
"al·legar"-verb-ca "aserti"-verb-eo
"al·legar"-verb-ca "preteksti"-verb-eo
"al·legar"-verb-ca "pledi"-verb-eo
"aserti"-verb-eo "al·legar"-verb-ca
"preteksti"-verb-eo "al·legar"-verb-ca
"pledi"-verb-eo "al·legar"-verb-ca
"pledi"-verb-eo "advocar"-verb-ca
"advocar"-verb-ca "pledi"-verb-eo
"senhoma"-adjective-eo "desert"-adjective-ca
"desert"-adjective-ca "senhoma"-adjective-eo
"neperfekta"-adjective-eo "imperfet"-adjective-ca
"imperfet"-adjective-ca "neperfekta"-adjective-eo
"abunda"-adjective-eo "abundós"-adjective-ca
"abundós"-adjective-ca "abunda"-adjective-eo
"atingi"-verb-eo "abastir"-verb-ca
"abastir"-verb-ca "atingi"-verb-eo
"malimpliki"-verb-eo "desenbullar"-verb-ca
"desenbullar"-verb-ca "malimpliki"-verb-eo
"kontraŭa"-adjective-eo "oposat"-adjective-ca
"oposat"-adjective-ca "kontraŭa"-adjective-eo
"klasifiki"-verb-eo "categoritzar"-verb-ca
"categoritzar"-verb-ca "klasifiki"-verb-eo
"promocii"-verb-eo "promocionar"-verb-ca
"promocionar"-verb-ca "promocii"-verb-eo
"reflekti"-verb-eo "plasmar"-verb-ca
"plasmar"-verb-ca "reflekti"-verb-eo
"escapar"-verb-ca "eskapi"-verb-eo
"eskapi"-verb-eo "escapar"-verb-ca
"desinteressat"-adjective-ca "neprofitema"-adjective-eo
"neprofitema"-adjective-eo "desinteressat"-adjective-ca
"magne"-adjective-ca "granda"-adjective-eo
"granda"-adjective-eo "magne"-adjective-ca
"kuraĝa"-adjective-eo "brau"-adjective-ca
"kuraĝa"-adjective-eo "valerós"-adjective-ca
"brau"-adjective-ca "kuraĝa"-adjective-eo
"valerós"-adjective-ca "kuraĝa"-adjective-eo
"giganta"-adjective-eo "gegant"-adjective-ca
"giganta"-adjective-eo "gegantesc"-adjective-ca
"gegant"-adjective-ca "giganta"-adjective-eo
"gegantesc"-adjective-ca "giganta"-adjective-eo
"tuta"-adjective-eo "enter"-adjective-ca
"enter"-adjective-ca "tuta"-adjective-eo
"porti"-verb-eo "endur"-verb-ca
"porti"-verb-eo "emportar"-verb-ca
"endur"-verb-ca "porti"-verb-eo
"emportar"-verb-ca "porti"-verb-eo
"casar"-verb-ca "kasacii"-verb-eo
"kasacii"-verb-eo "casar"-verb-ca
"taksi"-verb-eo "valorar"-verb-ca
"valorar"-verb-ca "taksi"-verb-eo
"implacable"-adjective-ca "senkompata"-adjective-eo
"senkompata"-adjective-eo "implacable"-adjective-ca
"enganyós"-adjective-ca "trompa"-adjective-eo
"trompa"-adjective-eo "enganyós"-adjective-ca
"sata"-adjective-eo "fart"-adjective-ca
"fart"-adjective-ca "sata"-adjective-eo
"laika"-adjective-eo "llec"-adjective-ca
"llec"-adjective-ca "laika"-adjective-eo
"laŭleĝa"-adjective-eo "lícit"-adjective-ca
"lícit"-adjective-ca "laŭleĝa"-adjective-eo
"multnombra"-adjective-eo "múltiple"-adjective-ca
"múltiple"-adjective-ca "multnombra"-adjective-eo
"esti"-verb-eo "estar"-verb-ca
"estar"-verb-ca "esti"-verb-eo
"subtrahi"-verb-eo "restar"-verb-ca
"restar"-verb-ca "subtrahi"-verb-eo
"atribui"-verb-eo "adscriure"-verb-ca
"adscriure"-verb-ca "atribui"-verb-eo
"avara"-adjective-eo "avar"-adjective-ca
"avar"-adjective-ca "avara"-adjective-eo
"bonega"-adjective-eo "excel·lent"-adjective-ca
"excel·lent"-adjective-ca "bonega"-adjective-eo
"anstataŭ"-preposition-eo "en lloc de"-preposition-ca
"en lloc de"-preposition-ca "anstataŭ"-preposition-eo
