","-comma-eo ","-comma-ca
"amuza"-adjective-eo "entretingut"-adjective-ca
"entretingut"-adjective-ca "amuza"-adjective-eo
"ananasujo"-noun-eo "ananàs"-noun-ca
"ananàs"-noun-ca "ananasujo"-noun-eo
"anatemi"-verb-eo "anatemitzar"-verb-ca
"anatemitzar"-verb-ca "anatemi"-verb-eo
"anĉovo"-noun-eo "seitó"-noun-ca
"seitó"-noun-ca "anĉovo"-noun-eo
"anglalingva"-adjective-eo "angloparlant"-adjective-ca
"angloparlant"-adjective-ca "anglalingva"-adjective-eo
"anglalingvano"-noun-eo "angloparlant"-noun-ca
"angloparlant"-noun-ca "anglalingvano"-noun-eo
"anizujo"-noun-eo "anís"-noun-ca
"anizujo"-noun-eo "matafaluga"-noun-ca
"anís"-noun-ca "anizujo"-noun-eo
"matafaluga"-noun-ca "anizujo"-noun-eo
"anso"-noun-eo "nansa"-noun-ca
"nansa"-noun-ca "anso"-noun-eo
"nansa"-noun-ca "naso"-noun-eo
"naso"-noun-eo "nansa"-noun-ca
"anstataŭa"-adjective-eo "supletori"-adjective-ca
"supletori"-adjective-ca "anstataŭa"-adjective-eo
"antaŭa"-adjective-eo "predecessor"-adjective-ca
"predecessor"-adjective-ca "antaŭa"-adjective-eo
"antaŭ"-adverb-eo "fa"-adverb-ca
"fa"-adverb-ca "antaŭ"-adverb-eo
"antaŭbrako"-noun-eo "avantbranç"-noun-ca
"avantbranç"-noun-ca "antaŭbrako"-noun-eo
"antaŭĉambro"-noun-eo "rebedor"-noun-ca
"rebedor"-noun-ca "antaŭĉambro"-noun-eo
"antaŭkongreso"-noun-eo "avantcongrés"-noun-ca
"avantcongrés"-noun-ca "antaŭkongreso"-noun-eo
"antaŭtimo"-noun-eo "aprensió"-noun-ca
"aprensió"-noun-ca "antaŭtimo"-noun-eo
"antikvaĵo"-noun-eo "antigalla"-noun-ca
"antigalla"-noun-ca "antikvaĵo"-noun-eo
"antonimo"-noun-eo "antònim"-noun-ca
"antònim"-noun-ca "antonimo"-noun-eo
"aparataro"-noun-eo "hardware"-noun-ca
"hardware"-noun-ca "aparataro"-noun-eo
"apogilo"-noun-eo "estintol"-noun-ca
"estintol"-noun-ca "apogilo"-noun-eo
"apopleksio"-noun-eo "feridura"-noun-ca
"feridura"-noun-ca "apopleksio"-noun-eo
"apoteko"-noun-eo "apotecaria"-noun-ca
"apotecaria"-noun-ca "apoteko"-noun-eo
"apoteoza"-adjective-eo "apoteòsic"-adjective-ca
"apoteòsic"-adjective-ca "apoteoza"-adjective-eo
"arbaro"-noun-eo "arbreda"-noun-ca
"arbreda"-noun-ca "arbaro"-noun-eo
"arbohakisto"-noun-eo "destraler"-noun-ca
"destraler"-noun-ca "arbohakisto"-noun-eo
"ardezo"-noun-eo "llicorella"-noun-ca
"llicorella"-noun-ca "ardezo"-noun-eo
"ardi"-verb-eo "abrusar-se"-verb-ca
"abrusar-se"-verb-ca "ardi"-verb-eo
"Areso"-properNoun-eo "Areso"-properNoun-ca
"Areso"-properNoun-ca "Areso"-properNoun-eo
"arestejo"-noun-eo "centre de detenció"-noun-ca
"centre de detenció"-noun-ca "arestejo"-noun-eo
"arĥaika"-adjective-eo "arcàic"-adjective-ca
"arcàic"-adjective-ca "arĥaika"-adjective-eo
"arcàic"-adjective-ca "arkaika"-adjective-eo
"arkaika"-adjective-eo "arcàic"-adjective-ca
"arkado"-noun-eo "arcades"-noun-ca
"arcades"-noun-ca "arkado"-noun-eo
"armeno"-noun-eo "armeni"-noun-ca
"armeni"-noun-ca "armeno"-noun-eo
"armilejo"-noun-eo "armeria"-noun-ca
"armeria"-noun-ca "armilejo"-noun-eo
"aroganteco"-noun-eo "ínfula"-noun-ca
"ínfula"-noun-ca "aroganteco"-noun-eo
"aromi"-verb-eo "flairejar"-verb-ca
"flairejar"-verb-ca "aromi"-verb-eo
"arpeĝi"-verb-eo "arpegiar"-verb-ca
"arpegiar"-verb-ca "arpeĝi"-verb-eo
"artifika"-adjective-eo "capciós"-adjective-ca
"capciós"-adjective-ca "artifika"-adjective-eo
"artifiko"-noun-eo "ardit"-noun-ca
"ardit"-noun-ca "artifiko"-noun-eo
"artiko"-noun-eo "blegadissa"-noun-ca
"blegadissa"-noun-ca "artiko"-noun-eo
"artiŝoko"-noun-eo "carxofera"-noun-ca
"artiŝoko"-noun-eo "penquera"-noun-ca
"carxofera"-noun-ca "artiŝoko"-noun-eo
"penquera"-noun-ca "artiŝoko"-noun-eo
"aserto"-noun-eo "asseveració"-noun-ca
"asseveració"-noun-ca "aserto"-noun-eo
"asista"-adjective-eo "assistent"-adjective-ca
"assistent"-adjective-ca "asista"-adjective-eo
"asparago"-noun-eo "esparreguera"-noun-ca
"asparago"-noun-eo "espàrgol"-noun-ca
"esparreguera"-noun-ca "asparago"-noun-eo
"espàrgol"-noun-ca "asparago"-noun-eo
"aspergi"-verb-eo "aspergir"-verb-ca
"aspergir"-verb-ca "aspergi"-verb-eo
"ataka"-adjective-eo "antiavalot"-adjective-ca
"antiavalot"-adjective-ca "ataka"-adjective-eo
"atesto"-noun-eo "atestació"-noun-ca
"atestació"-noun-ca "atesto"-noun-eo
"Atlantiko"-properNoun-eo "l'Atlàntic"-properNoun-ca
"l'Atlàntic"-properNoun-ca "Atlantiko"-properNoun-eo
"atuto"-noun-eo "atot"-noun-ca
"atuto"-noun-eo "trumfo"-noun-ca
"atot"-noun-ca "atuto"-noun-eo
"trumfo"-noun-ca "atuto"-noun-eo
"aŭdaca"-adjective-eo "atrevit"-adjective-ca
"atrevit"-adjective-ca "aŭdaca"-adjective-eo
"atrevit"-adjective-ca "maltima"-adjective-eo
"maltima"-adjective-eo "atrevit"-adjective-ca
"aŭdaco"-noun-eo "atreviment"-noun-ca
"atreviment"-noun-ca "aŭdaco"-noun-eo
"aŭtokrato"-noun-eo "autòcrata"-noun-ca
"autòcrata"-noun-ca "aŭtokrato"-noun-eo
"aŭtuna"-adjective-eo "tardorenc"-adjective-ca
"tardorenc"-adjective-ca "aŭtuna"-adjective-eo
"avangardo"-noun-eo "avanguarda"-noun-ca
"avanguarda"-noun-ca "avangardo"-noun-eo
"avara"-adjective-eo "agarrat"-adjective-ca
"avara"-adjective-eo "garrepa"-adjective-ca
"agarrat"-adjective-ca "avara"-adjective-eo
"garrepa"-adjective-ca "avara"-adjective-eo
"aveno"-noun-eo "avena"-noun-ca
"aveno"-noun-eo "cugula"-noun-ca
"avena"-noun-ca "aveno"-noun-eo
"cugula"-noun-ca "aveno"-noun-eo
"azeno"-noun-eo "somera"-noun-ca
"somera"-noun-ca "azeno"-noun-eo
"azoto"-noun-eo "azot"-noun-ca
"azot"-noun-ca "azoto"-noun-eo
"b"-noun-eo "b"-noun-ca
"b"-noun-ca "b"-noun-eo
"Babelo"-properNoun-eo "Babel"-properNoun-ca
"Babel"-properNoun-ca "Babelo"-properNoun-eo
"babilado"-noun-eo "xerrameca"-noun-ca
"xerrameca"-noun-ca "babilado"-noun-eo
"bagatelo"-noun-eo "bagatel·la"-noun-ca
"bagatel·la"-noun-ca "bagatelo"-noun-eo
"bakterio"-noun-eo "bactèria"-noun-ca
"bactèria"-noun-ca "bakterio"-noun-eo
"balailo"-noun-eo "granera"-noun-ca
"granera"-noun-ca "balailo"-noun-eo
"Balearoj"-properNoun-eo "les Balears"-properNoun-ca
"les Balears"-properNoun-ca "Balearoj"-properNoun-eo
"balteo"-noun-eo "portabandera"-noun-ca
"portabandera"-noun-ca "balteo"-noun-eo
"balustrado"-noun-eo "balustrada"-noun-ca
"balustrada"-noun-ca "balustrado"-noun-eo
"bandaĝo"-noun-eo "embenatge"-noun-ca
"embenatge"-noun-ca "bandaĝo"-noun-eo
"baraĵo"-noun-eo "alfac"-noun-ca
"alfac"-noun-ca "baraĵo"-noun-eo
"barako"-noun-eo "xabola"-noun-ca
"xabola"-noun-ca "barako"-noun-eo
"baritono"-noun-eo "bariton"-noun-ca
"bariton"-noun-ca "baritono"-noun-eo
"bariton"-noun-ca "baritonulo"-noun-eo
"baritonulo"-noun-eo "bariton"-noun-ca
"baroko"-noun-eo "barroc"-noun-ca
"barroc"-noun-ca "baroko"-noun-eo
"basko"-noun-eo "faldar"-noun-ca
"basko"-noun-eo "faldó"-noun-ca
"faldar"-noun-ca "basko"-noun-eo
"faldó"-noun-ca "basko"-noun-eo
"bastardo"-noun-eo "bastard"-noun-ca
"bastard"-noun-ca "bastardo"-noun-eo
"batado"-noun-eo "surra"-noun-ca
"surra"-noun-ca "batado"-noun-eo
"Bavario"-properNoun-eo "Bavària"-properNoun-ca
"Bavària"-properNoun-ca "Bavario"-properNoun-eo
"beata"-adjective-eo "benaventurat"-adjective-ca
"benaventurat"-adjective-ca "beata"-adjective-eo
"benaventurat"-adjective-ca "feliĉa"-adjective-eo
"feliĉa"-adjective-eo "benaventurat"-adjective-ca
"bedo"-noun-eo "feixa"-noun-ca
"feixa"-noun-ca "bedo"-noun-eo
"benko"-noun-eo "escon"-noun-ca
"escon"-noun-ca "benko"-noun-eo
"berlinano"-noun-eo "berlinès"-noun-ca
"berlinès"-noun-ca "berlinano"-noun-eo
"bero"-noun-eo "baia"-noun-ca
"baia"-noun-ca "bero"-noun-eo
"beto"-noun-eo "bledera"-noun-ca
"bledera"-noun-ca "beto"-noun-eo
"bicepso"-noun-eo "bíceps"-noun-ca
"bíceps"-noun-ca "bicepso"-noun-eo
"bicikli"-verb-eo "anar amb bici"-verb-ca
"bicikli"-verb-eo "anar amb bicicleta"-verb-ca
"bicikli"-verb-eo "anar en bici"-verb-ca
"bicikli"-verb-eo "anar en bicicleta"-verb-ca
"anar amb bici"-verb-ca "bicikli"-verb-eo
"anar amb bicicleta"-verb-ca "bicikli"-verb-eo
"anar en bici"-verb-ca "bicikli"-verb-eo
"anar en bicicleta"-verb-ca "bicikli"-verb-eo
"bideo"-noun-eo "bidet"-noun-ca
"bidet"-noun-ca "bideo"-noun-eo
"bikino"-noun-eo "bikini"-noun-ca
"bikini"-noun-ca "bikino"-noun-eo
"bileto"-noun-eo "esquela"-noun-ca
"esquela"-noun-ca "bileto"-noun-eo
"binoklo"-noun-eo "binocle"-noun-ca
"binocle"-noun-ca "binoklo"-noun-eo
"bioteknologia"-adjective-eo "biotecnològic"-adjective-ca
"biotecnològic"-adjective-ca "bioteknologia"-adjective-eo
"birdo"-noun-eo "aucell"-noun-ca
"aucell"-noun-ca "birdo"-noun-eo
"bisturio"-noun-eo "bisturí"-noun-ca
"bisturí"-noun-ca "bisturio"-noun-eo
"bito"-noun-eo "bita"-noun-ca
"bita"-noun-ca "bito"-noun-eo
"bizara"-adjective-eo "estrambòtic"-adjective-ca
"estrambòtic"-adjective-ca "bizara"-adjective-eo
"Bjalistoko"-properNoun-eo "Bialystok"-properNoun-ca
"Bialystok"-properNoun-ca "Bjalistoko"-properNoun-eo
"blago"-noun-eo "astracanada"-noun-ca
"blago"-noun-eo "facècia"-noun-ca
"blago"-noun-eo "plagasitat"-noun-ca
"astracanada"-noun-ca "blago"-noun-eo
"facècia"-noun-ca "blago"-noun-eo
"plagasitat"-noun-ca "blago"-noun-eo
"blasfemi"-verb-eo "flastomar"-verb-ca
"flastomar"-verb-ca "blasfemi"-verb-eo
"blasfemo"-noun-eo "blasfèmia"-noun-ca
"blasfemo"-noun-eo "flastomia"-noun-ca
"blasfèmia"-noun-ca "blasfemo"-noun-eo
"flastomia"-noun-ca "blasfemo"-noun-eo
"blinde"-adverb-eo "amb els ulls clucs"-adverb-ca
"amb els ulls clucs"-adverb-ca "blinde"-adverb-eo
"blufi"-verb-eo "entabanar"-verb-ca
"entabanar"-verb-ca "blufi"-verb-eo
"boato"-noun-eo "canot"-noun-ca
"canot"-noun-ca "boato"-noun-eo
"canot"-noun-ca "kanoto"-noun-eo
"kanoto"-noun-eo "canot"-noun-ca
"bobeli"-verb-eo "bombollar"-verb-ca
"bobeli"-verb-eo "bombollejar"-verb-ca
"bombollar"-verb-ca "bobeli"-verb-eo
"bombollejar"-verb-ca "bobeli"-verb-eo
"bobeno"-noun-eo "llançadora"-noun-ca
"llançadora"-noun-ca "bobeno"-noun-eo
"bojkoti"-verb-eo "boicotar"-verb-ca
"boicotar"-verb-ca "bojkoti"-verb-eo
"boksi"-verb-eo "boxar"-verb-ca
"boxar"-verb-ca "boksi"-verb-eo
"Bolonjo"-properNoun-eo "Bolònia"-properNoun-ca
"Bolònia"-properNoun-ca "Bolonjo"-properNoun-eo
"bombasto"-noun-eo "ampul·lositat"-noun-ca
"ampul·lositat"-noun-ca "bombasto"-noun-eo
"bombi"-verb-eo "bombejar"-verb-ca
"bombejar"-verb-ca "bombi"-verb-eo
"bonega"-adjective-eo "boníssim"-adjective-ca
"boníssim"-adjective-ca "bonega"-adjective-eo
"bongusta"-adjective-eo "gustós"-adjective-ca
"gustós"-adjective-ca "bongusta"-adjective-eo
"bonhavo"-noun-eo "folgança"-noun-ca
"folgança"-noun-ca "bonhavo"-noun-eo
"borilo"-noun-eo "barrina"-noun-ca
"barrina"-noun-ca "borilo"-noun-eo
"boteto"-noun-eo "boteta"-noun-ca
"boteta"-noun-ca "boteto"-noun-eo
"braĝo"-noun-eo "caliu"-noun-ca
"caliu"-noun-ca "braĝo"-noun-eo
"branĉaro"-noun-eo "brancam"-noun-ca
"brancam"-noun-ca "branĉaro"-noun-eo
"brando"-noun-eo "aiguardent"-noun-ca
"aiguardent"-noun-ca "brando"-noun-eo
"brankardo"-noun-eo "civera"-noun-ca
"civera"-noun-ca "brankardo"-noun-eo
"branko"-noun-eo "ganya"-noun-ca
"ganya"-noun-ca "branko"-noun-eo
"brave"-adverb-eo "bravo"-adverb-ca
"bravo"-adverb-ca "brave"-adverb-eo
"breĉi"-verb-eo "esvorellar"-verb-ca
"esvorellar"-verb-ca "breĉi"-verb-eo
"breĉo"-noun-eo "esvoranc"-noun-ca
"breĉo"-noun-eo "portell"-noun-ca
"esvoranc"-noun-ca "breĉo"-noun-eo
"portell"-noun-ca "breĉo"-noun-eo
"breto"-noun-eo "relleix"-noun-ca
"relleix"-noun-ca "breto"-noun-eo
"briĝo"-noun-eo "bridge"-noun-ca
"bridge"-noun-ca "briĝo"-noun-eo
"briko"-noun-eo "barrell"-noun-ca
"briko"-noun-eo "riell"-noun-ca
"briko"-noun-eo "totxo"-noun-ca
"barrell"-noun-ca "briko"-noun-eo
"riell"-noun-ca "briko"-noun-eo
"totxo"-noun-ca "briko"-noun-eo
"brila"-adjective-eo "esplendent"-adjective-ca
"esplendent"-adjective-ca "brila"-adjective-eo
"brilianto"-noun-eo "brillant"-noun-ca
"brillant"-noun-ca "brilianto"-noun-eo
"Britio"-properNoun-eo "la Gran Bretanya"-properNoun-ca
"la Gran Bretanya"-properNoun-ca "Britio"-properNoun-eo
"broso"-noun-eo "espalmador"-noun-ca
"espalmador"-noun-ca "broso"-noun-eo
"brula"-adjective-eo "candent"-adjective-ca
"candent"-adjective-ca "brula"-adjective-eo
"candent"-adjective-ca "inkandeska"-adjective-eo
"inkandeska"-adjective-eo "candent"-adjective-ca
"inkandeska"-adjective-eo "roent"-adjective-ca
"bruna"-adjective-eo "torrat"-adjective-ca
"torrat"-adjective-ca "bruna"-adjective-eo
"brusto"-noun-eo "pitrera"-noun-ca
"brusto"-noun-eo "sina"-noun-ca
"pitrera"-noun-ca "brusto"-noun-eo
"sina"-noun-ca "brusto"-noun-eo
"sina"-noun-ca "sino"-noun-eo
"sino"-noun-eo "sina"-noun-ca
"bubo"-noun-eo "gambirot"-noun-ca
"bubo"-noun-eo "sota"-noun-ca
"gambirot"-noun-ca "bubo"-noun-eo
"sota"-noun-ca "bubo"-noun-eo
"sota"-noun-ca "fanto"-noun-eo
"fanto"-noun-eo "sota"-noun-ca
"budo"-noun-eo "garita"-noun-ca
"garita"-noun-ca "budo"-noun-eo
"bufo"-noun-eo "galàpet"-noun-ca
"galàpet"-noun-ca "bufo"-noun-eo
"bufro"-noun-eo "para-xocs"-noun-ca
"para-xocs"-noun-ca "bufro"-noun-eo
"buklo"-noun-eo "rull"-noun-ca
"rull"-noun-ca "buklo"-noun-eo
"buljono"-noun-eo "caldo"-noun-ca
"caldo"-noun-ca "buljono"-noun-eo
"bulko"-noun-eo "llonguet"-noun-ca
"bulko"-noun-eo "panet"-noun-ca
"llonguet"-noun-ca "bulko"-noun-eo
"panet"-noun-ca "bulko"-noun-eo
"bulo"-noun-eo "bolla"-noun-ca
"bolla"-noun-ca "bulo"-noun-eo
"burbono"-noun-eo "borbó"-noun-ca
"borbó"-noun-ca "burbono"-noun-eo
"burĝo"-noun-eo "conservador"-noun-ca
"conservador"-noun-ca "burĝo"-noun-eo
"conservador"-noun-ca "dekstrulo"-noun-eo
"conservador"-noun-ca "konservativulo"-noun-eo
"conservador"-noun-ca "kuratoro"-noun-eo
"dekstrulo"-noun-eo "conservador"-noun-ca
"konservativulo"-noun-eo "conservador"-noun-ca
"kuratoro"-noun-eo "conservador"-noun-ca
"buŝumo"-noun-eo "morrió"-noun-ca
"morrió"-noun-ca "buŝumo"-noun-eo
"Butano"-properNoun-eo "Bhután"-properNoun-ca
"Bhután"-properNoun-ca "Butano"-properNoun-eo
"butontruo"-noun-eo "botonera"-noun-ca
"botonera"-noun-ca "butontruo"-noun-eo
"cal"-noun-eo "cal"-noun-ca
"cal"-noun-ca "cal"-noun-eo
"ĉamo"-noun-eo "camussa"-noun-ca
"camussa"-noun-ca "ĉamo"-noun-eo
"camussa"-noun-ca "ŝamo"-noun-eo
"ŝamo"-noun-eo "camussa"-noun-ca
"ĉantaĝi"-verb-eo "fer xantatge"-verb-ca
"fer xantatge"-verb-ca "ĉantaĝi"-verb-eo
"ĉapo"-noun-eo "caputxó"-noun-ca
"caputxó"-noun-ca "ĉapo"-noun-eo
"ĉarlatano"-noun-eo "xarlatà"-noun-ca
"xarlatà"-noun-ca "ĉarlatano"-noun-eo
"ĉarma"-adjective-eo "captivador"-adjective-ca
"captivador"-adjective-ca "ĉarma"-adjective-eo
"ĉarniro"-noun-eo "xarnera"-noun-ca
"xarnera"-noun-ca "ĉarniro"-noun-eo
"ĉaro"-noun-eo "semiremolc"-noun-ca
"semiremolc"-noun-ca "ĉaro"-noun-eo
"ĉarpio"-noun-eo "desfila"-noun-ca
"desfila"-noun-ca "ĉarpio"-noun-eo
"ĉe"-preposition-eo "a ca"-preposition-ca
"ĉe"-preposition-eo "a cal"-preposition-ca
"ĉe"-preposition-eo "a can"-preposition-ca
"ĉe"-preposition-eo "a tocar de"-preposition-ca
"a ca"-preposition-ca "ĉe"-preposition-eo
"a cal"-preposition-ca "ĉe"-preposition-eo
"a can"-preposition-ca "ĉe"-preposition-eo
"a tocar de"-preposition-ca "ĉe"-preposition-eo
"cedrato"-noun-eo "poncem"-noun-ca
"poncem"-noun-ca "cedrato"-noun-eo
"cedratujo"-noun-eo "poncemer"-noun-ca
"poncemer"-noun-ca "cedratujo"-noun-eo
"ĉefeco"-noun-eo "principalitat"-noun-ca
"principalitat"-noun-ca "ĉefeco"-noun-eo
"ĉefministro"-noun-eo "cap de govern"-noun-ca
"ĉefministro"-noun-eo "cap del govern"-noun-ca
"cap de govern"-noun-ca "ĉefministro"-noun-eo
"cap del govern"-noun-ca "ĉefministro"-noun-eo
"celtabulo"-noun-eo "rodella"-noun-ca
"rodella"-noun-ca "celtabulo"-noun-eo
"celulozo"-noun-eo "celuloza"-noun-ca
"celuloza"-noun-ca "celulozo"-noun-eo
"centezimala"-adjective-eo "centessimal"-adjective-ca
"centessimal"-adjective-ca "centezimala"-adjective-eo
"centessimal"-adjective-ca "centuma"-adjective-eo
"centuma"-adjective-eo "centessimal"-adjective-ca
"centigramo"-noun-eo "centigram"-noun-ca
"centigramo"-noun-eo "centígram"-noun-ca
"centigram"-noun-ca "centigramo"-noun-eo
"centígram"-noun-ca "centigramo"-noun-eo
"centilitro"-noun-eo "centilitre"-noun-ca
"centilitre"-noun-ca "centilitro"-noun-eo
"cento"-noun-eo "centena"-noun-ca
"centena"-noun-ca "cento"-noun-eo
"centono"-noun-eo "centèsim"-noun-ca
"centèsim"-noun-ca "centono"-noun-eo
"cerefolio"-noun-eo "cerfull"-noun-ca
"cerfull"-noun-ca "cerefolio"-noun-eo
"ĉerpilo"-noun-eo "buidador"-noun-ca
"ĉerpilo"-noun-eo "cassó"-noun-ca
"ĉerpilo"-noun-eo "culler"-noun-ca
"ĉerpilo"-noun-eo "sàssola"-noun-ca
"buidador"-noun-ca "ĉerpilo"-noun-eo
"cassó"-noun-ca "ĉerpilo"-noun-eo
"culler"-noun-ca "ĉerpilo"-noun-eo
"culler"-noun-ca "kulerego"-noun-eo
"sàssola"-noun-ca "ĉerpilo"-noun-eo
"sàssola"-noun-ca "ŝovelilo"-noun-eo
"kulerego"-noun-eo "culler"-noun-ca
"kulerego"-noun-eo "llossa"-noun-ca
"ŝovelilo"-noun-eo "sàssola"-noun-ca
"certe"-adverb-eo "del cert"-adverb-ca
"del cert"-adverb-ca "certe"-adverb-eo
"ĉevalejo"-noun-eo "cavallerissa"-noun-ca
"cavallerissa"-noun-ca "ĉevalejo"-noun-eo
"cavallerissa"-noun-ca "stalo"-noun-eo
"stalo"-noun-eo "cavallerissa"-noun-ca
"cezuro"-noun-eo "cesura"-noun-ca
"cesura"-noun-ca "cezuro"-noun-eo
"cg"-noun-eo "cg"-noun-ca
"cg"-noun-ca "cg"-noun-eo
"cibeto"-noun-eo "civeta"-noun-ca
