"nokte"-adverb-eo "la nuit"-adverb-fr
"infano"-noun-eo "infant"-noun-fr
"infant"-noun-fr "infano"-noun-eo
"gusto"-noun-eo "saveur"-noun-fr
"saveur"-noun-fr "gusto"-noun-eo
"mortinto"-noun-eo "morte"-noun-fr
"morte"-noun-fr "mortinto"-noun-eo
"entrepreno"-noun-eo "emprise"-noun-fr
"emprise"-noun-fr "entrepreno"-noun-eo
"bagarre"-noun-fr "kverelo"-noun-eo
"kverelo"-noun-eo "bagarre"-noun-fr
"montaro"-noun-eo "scie"-noun-fr
"scie"-noun-fr "montaro"-noun-eo
"sinjoro"-noun-eo "sire"-noun-fr
"sire"-noun-fr "sinjoro"-noun-eo
"burĝono"-noun-eo "pousse"-noun-fr
"pousse"-noun-fr "burĝono"-noun-eo
"pousse"-noun-fr "ŝoso"-noun-eo
"ŝoso"-noun-eo "pousse"-noun-fr
"vergogne"-noun-fr "honto"-noun-eo
"honto"-noun-eo "vergogne"-noun-fr
"entuziasmo"-noun-eo "engouement"-noun-fr
"engouement"-noun-fr "entuziasmo"-noun-eo
"estraro"-noun-eo "junte"-noun-fr
"junte"-noun-fr "estraro"-noun-eo
"rechercher"-verb-fr "enketi"-verb-eo
"enketi"-verb-eo "rechercher"-verb-fr
"restrictif"-adjective-fr "limiga"-adjective-eo
"limiga"-adjective-eo "restrictif"-adjective-fr
"subskripcii"-verb-eo "soussigner"-verb-fr
"soussigner"-verb-fr "subskripcii"-verb-eo
"kolizii"-verb-eo "tomber sur"-verb-fr
"tomber sur"-verb-fr "kolizii"-verb-eo
"solvi"-verb-eo "dissoudre"-verb-fr
"solvi"-verb-eo "résoudre"-verb-fr
"dissoudre"-verb-fr "solvi"-verb-eo
"résoudre"-verb-fr "solvi"-verb-eo
"intervenir"-verb-fr "mediacii"-verb-eo
"mediacii"-verb-eo "intervenir"-verb-fr
"establi"-verb-eo "instaurer"-verb-fr
"instaurer"-verb-fr "establi"-verb-eo
"ajudiki"-verb-eo "adjuger"-verb-fr
"adjuger"-verb-fr "ajudiki"-verb-eo
"observi"-verb-eo "remarquer"-verb-fr
"remarquer"-verb-fr "observi"-verb-eo
"aflikti"-verb-eo "angoisser"-verb-fr
"angoisser"-verb-fr "aflikti"-verb-eo
"relier"-verb-fr "konekti"-verb-eo
"konekti"-verb-eo "relier"-verb-fr
"sekura"-adjective-eo "certain"-adjective-fr
"certain"-adjective-fr "sekura"-adjective-eo
"certain"-adjective-fr "certa"-adjective-eo
"certa"-adjective-eo "certain"-adjective-fr
"endommager"-verb-fr "damaĝi"-verb-eo
"damaĝi"-verb-eo "endommager"-verb-fr
"damaĝi"-verb-eo "abîmer"-verb-fr
"abîmer"-verb-fr "damaĝi"-verb-eo
"investi"-verb-eo "inverser"-verb-fr
"inverser"-verb-fr "investi"-verb-eo
"persisti"-verb-eo "persister"-verb-fr
"persister"-verb-fr "persisti"-verb-eo
"rezigni"-verb-eo "départir"-verb-fr
"départir"-verb-fr "rezigni"-verb-eo
"krediti"-verb-eo "abonner"-verb-fr
"abonner"-verb-fr "krediti"-verb-eo
"amoureux"-adjective-fr "erotika"-adjective-eo
"erotika"-adjective-eo "amoureux"-adjective-fr
"tie"-adverb-eo "par-là"-adverb-fr
"par-là"-adverb-fr "tie"-adverb-eo
"tamen"-adverb-eo "néanmoins"-adverb-fr
"néanmoins"-adverb-fr "tamen"-adverb-eo
"franquisme"-noun-fr "faŝismo"-noun-eo
"faŝismo"-noun-eo "franquisme"-noun-fr
"enterrement"-noun-fr "entombigo"-noun-eo
"entombigo"-noun-eo "enterrement"-noun-fr
"étourderie"-noun-fr "distro"-noun-eo
"distro"-noun-eo "étourderie"-noun-fr
"aĉeto"-noun-eo "emplette"-noun-fr
"emplette"-noun-fr "aĉeto"-noun-eo
"russe"-noun-fr "ruso"-noun-eo
"ruso"-noun-eo "russe"-noun-fr
"japonais"-noun-fr "japano"-noun-eo
"japano"-noun-eo "japonais"-noun-fr
"tchèque"-noun-fr "ĉeĥo"-noun-eo
"ĉeĥo"-noun-eo "tchèque"-noun-fr
"mejlo"-noun-eo "mile"-noun-fr
"mile"-noun-fr "mejlo"-noun-eo
"kvalita"-adjective-eo "qualitatif"-adjective-fr
"qualitatif"-adjective-fr "kvalita"-adjective-eo
"provizora"-adjective-eo "intérimaire"-adjective-fr
"intérimaire"-adjective-fr "provizora"-adjective-eo
"nordique"-adjective-fr "norda"-adjective-eo
"norda"-adjective-eo "nordique"-adjective-fr
"aŭguri"-verb-eo "présager"-verb-fr
"présager"-verb-fr "aŭguri"-verb-eo
"Helena"-properNoun-eo "Helena"-properNoun-fr
"Helena"-properNoun-fr "Helena"-properNoun-eo
"Maria"-properNoun-fr "Maria"-properNoun-eo
"Maria"-properNoun-eo "Maria"-properNoun-fr
"Eva"-properNoun-eo "Eva"-properNoun-fr
"Eva"-properNoun-fr "Eva"-properNoun-eo
"Fernando"-properNoun-fr "Fernando"-properNoun-eo
"Fernando"-properNoun-eo "Fernando"-properNoun-fr
"Roberto"-properNoun-eo "Roberto"-properNoun-fr
"Roberto"-properNoun-fr "Roberto"-properNoun-eo
"Viêtnam"-properNoun-fr "Vjetnamio"-properNoun-eo
"Vjetnamio"-properNoun-eo "Viêtnam"-properNoun-fr
"Barcelono"-properNoun-eo "Barcelona"-noun-fr
"Barcelona"-noun-fr "Barcelono"-properNoun-eo
"Barcelona"-noun-fr "Barcelona"-properNoun-eo
"Barcelona"-properNoun-eo "Barcelona"-noun-fr
"Israelo"-properNoun-eo "Israël"-noun-fr
"Israelo"-properNoun-eo "Israel"-properNoun-fr
"Israël"-noun-fr "Israelo"-properNoun-eo
"Israel"-properNoun-fr "Israelo"-properNoun-eo
"Monako"-properNoun-eo "Monaco"-noun-fr
"Monaco"-noun-fr "Monako"-properNoun-eo
"Navarra"-noun-fr "Navaro"-properNoun-eo
"Navarra"-noun-fr "Nafaro"-properNoun-eo
"Navaro"-properNoun-eo "Navarra"-noun-fr
"Navaro"-properNoun-eo "Navarra"-properNoun-fr
"Nafaro"-properNoun-eo "Navarra"-noun-fr
"Nafaro"-properNoun-eo "Navarra"-properNoun-fr
"Navarra"-properNoun-fr "Navaro"-properNoun-eo
"Navarra"-properNoun-fr "Nafaro"-properNoun-eo
"Arabie saoudite"-properNoun-fr "Saud-Arabio"-properNoun-eo
"Saud-Arabio"-properNoun-eo "Arabie saoudite"-properNoun-fr
"Kimrio"-properNoun-eo "Pays de Galles"-properNoun-fr
"Pays de Galles"-properNoun-fr "Kimrio"-properNoun-eo
"castillan"-noun-fr "kastiliano"-noun-eo
"kastiliano"-noun-eo "castillan"-noun-fr
"hispano"-noun-eo "espagnol"-noun-fr
"espagnol"-noun-fr "hispano"-noun-eo
"véto"-noun-fr "vetoo"-noun-eo
"vetoo"-noun-eo "véto"-noun-fr
"Alberto"-properNoun-fr "Alberto"-properNoun-eo
"Alberto"-properNoun-eo "Alberto"-properNoun-fr
"Nederlando"-properNoun-eo "Hollande"-noun-fr
"Hollande"-noun-fr "Nederlando"-properNoun-eo
"Marsejlo"-properNoun-eo "Marseille"-noun-fr
"Marseille"-noun-fr "Marsejlo"-properNoun-eo
"catalan"-noun-fr "kataluno"-noun-eo
"kataluno"-noun-eo "catalan"-noun-fr
"anglais"-noun-fr "anglo"-noun-eo
"anglo"-noun-eo "anglais"-noun-fr
"allemand"-noun-fr "germano"-noun-eo
"germano"-noun-eo "allemand"-noun-fr
"grec"-noun-fr "greko"-noun-eo
"greko"-noun-eo "grec"-noun-fr
"italien"-noun-fr "italo"-noun-eo
"italo"-noun-eo "italien"-noun-fr
"valencien"-noun-fr "valenciano"-noun-eo
"valenciano"-noun-eo "valencien"-noun-fr
"excavation"-noun-fr "fosado"-noun-eo
"fosado"-noun-eo "excavation"-noun-fr
"tutmondiĝo"-noun-eo "globalisation"-noun-fr
"globalisation"-noun-fr "tutmondiĝo"-noun-eo
"globalisation"-noun-fr "tutmondigo"-noun-eo
"tutmondigo"-noun-eo "globalisation"-noun-fr
"volley-ball"-noun-fr "volejbalo"-noun-eo
"volejbalo"-noun-eo "volley-ball"-noun-fr
"hollandais"-noun-fr "nederlandano"-noun-eo
"nederlandano"-noun-eo "hollandais"-noun-fr
"chinois"-noun-fr "ĉino"-noun-eo
"ĉino"-noun-eo "chinois"-noun-fr
"lituanien"-noun-fr "litovo"-noun-eo
"litovo"-noun-eo "lituanien"-noun-fr
"diskriminacia"-adjective-eo "discriminatoire"-adjective-fr
"discriminatoire"-adjective-fr "diskriminacia"-adjective-eo
"franquiste"-adjective-fr "faŝisma"-adjective-eo
"faŝisma"-adjective-eo "franquiste"-adjective-fr
"organisationnel"-adjective-fr "organiza"-adjective-eo
"organiza"-adjective-eo "organisationnel"-adjective-fr
"éprouver"-verb-fr "eksperimenti"-verb-eo
"eksperimenti"-verb-eo "éprouver"-verb-fr
"mâchoire"-noun-fr "makzelo"-noun-eo
"makzelo"-noun-eo "mâchoire"-noun-fr
"Nobel"-properNoun-eo "Nobel"-noun-fr
"Nobel"-noun-fr "Nobel"-properNoun-eo
"Rodrigo"-properNoun-fr "Rodrigo"-properNoun-eo
"Rodrigo"-properNoun-eo "Rodrigo"-properNoun-fr
"Tuluzo"-properNoun-eo "Toulouse"-noun-fr
"Toulouse"-noun-fr "Tuluzo"-properNoun-eo
"Christ"-properNoun-fr "Kristo"-properNoun-eo
"Kristo"-properNoun-eo "Christ"-properNoun-fr
"durillon"-noun-fr "kalo"-noun-eo
"kalo"-noun-eo "durillon"-noun-fr
"surf"-noun-fr "surfo"-noun-eo
"surfo"-noun-eo "surf"-noun-fr
"Arturo"-properNoun-eo "Arturo"-properNoun-fr
"Arturo"-properNoun-fr "Arturo"-properNoun-eo
"Teodoro"-properNoun-eo "Teodoro"-properNoun-fr
"Teodoro"-properNoun-fr "Teodoro"-properNoun-eo
"Kirgizio"-properNoun-eo "Kirghizistan"-properNoun-fr
"Kirghizistan"-properNoun-fr "Kirgizio"-properNoun-eo
"Alfredo"-properNoun-eo "Alfredo"-properNoun-fr
"Alfredo"-properNoun-fr "Alfredo"-properNoun-eo
"Andreo"-properNoun-fr "Andreo"-properNoun-eo
"Andreo"-properNoun-eo "Andreo"-properNoun-fr
"portugais"-noun-fr "portugalo"-noun-eo
"portugalo"-noun-eo "portugais"-noun-fr
"Ernesto"-properNoun-eo "Ernesto"-properNoun-fr
"Ernesto"-properNoun-fr "Ernesto"-properNoun-eo
"Eduardo"-properNoun-eo "Eduardo"-properNoun-fr
"Eduardo"-properNoun-fr "Eduardo"-properNoun-eo
"Sergio"-properNoun-eo "Sergio"-properNoun-fr
"Sergio"-properNoun-fr "Sergio"-properNoun-eo
"Warner"-properNoun-eo "Warner"-noun-fr
"Warner"-noun-fr "Warner"-properNoun-eo
"Bernardo"-properNoun-fr "Bernardo"-properNoun-eo
"Bernardo"-properNoun-eo "Bernardo"-properNoun-fr
"Romeo"-properNoun-eo "Romeo"-properNoun-fr
"Romeo"-properNoun-fr "Romeo"-properNoun-eo
"Domingo"-properNoun-eo "Domingo"-properNoun-fr
"Domingo"-properNoun-eo "Domingo"-noun-fr
"Domingo"-properNoun-fr "Domingo"-properNoun-eo
"Domingo"-noun-fr "Domingo"-properNoun-eo
"Gonzalo"-properNoun-eo "Gonzalo"-properNoun-fr
"Gonzalo"-properNoun-fr "Gonzalo"-properNoun-eo
"gitan"-noun-fr "cigano"-noun-eo
"cigano"-noun-eo "gitan"-noun-fr
"Alfonso"-properNoun-fr "Alfonso"-properNoun-eo
"Alfonso"-properNoun-eo "Alfonso"-properNoun-fr
"Mateo"-properNoun-eo "Mateo"-properNoun-fr
"Mateo"-properNoun-fr "Mateo"-properNoun-eo
"Sardaigne"-properNoun-fr "Sardio"-properNoun-eo
"Sardio"-properNoun-eo "Sardaigne"-properNoun-fr
"Roche"-properNoun-eo "Roche"-noun-fr
"Roche"-noun-fr "Roche"-properNoun-eo
