"pomoćan"-adjective-hbs "support"-adjective-eng
"nositi"-verb-hbs "carry"-verb-eng
"nositi"-verb-hbs "wear"-verb-eng
"unositi"-verb-hbs "enter"-verb-eng
"prenositi"-verb-hbs "carry"-verb-eng
"podnositi"-verb-hbs "tolerate"-verb-eng
"pridonositi"-verb-hbs "contribute"-verb-eng
"doprinositi"-verb-hbs "contribute"-verb-eng
"donositi"-verb-hbs "bring"-verb-eng
"iznositi"-verb-hbs "take out"-verb-eng
"odnositi"-verb-hbs "apply"-verb-eng
"odnositi"-verb-hbs "take away"-verb-eng
"apsiti"-verb-hbs "arrest"-verb-eng
"hapsiti"-verb-hbs "arrest"-verb-eng
"resiti"-verb-hbs "adorn"-verb-eng
"resiti"-verb-hbs "decorate"-verb-eng
"uhapsiti"-verb-hbs "arrest"-verb-eng
"uhapsiti"-verb-hbs "bust"-verb-eng
"naglasiti"-verb-hbs "emphasize"-verb-eng
"naglasiti"-verb-hbs "stress"-verb-eng
"proglasiti"-verb-hbs "declare"-verb-eng
"dodijeliti"-verb-hbs "allocate"-verb-eng
"opredijeliti"-verb-hbs "appropriate"-verb-eng
"opredijeliti"-verb-hbs "decide"-verb-eng
"kupiti"-verb-hbs "buy"-verb-eng
"začepiti"-verb-hbs "block"-verb-eng
"zaboraviti"-verb-hbs "forget"-verb-eng
"užlijebiti"-verb-hbs "groove"-verb-eng
"izgubiti"-verb-hbs "lose"-verb-eng
"pokupiti"-verb-hbs "collect"-verb-eng
"sastaviti"-verb-hbs "assemble"-verb-eng
"ploviti"-verb-hbs "sail"-verb-eng
"loviti"-verb-hbs "hunt"-verb-eng
"uspostaviti"-verb-hbs "establish"-verb-eng
"okriviti"-verb-hbs "accuse"-verb-eng
"najaviti"-verb-hbs "announce"-verb-eng
"dostaviti"-verb-hbs "deliver"-verb-eng
"ponoviti"-verb-hbs "repeat"-verb-eng
"proslaviti"-verb-hbs "celebrate"-verb-eng
"ugroziti"-verb-hbs "endanger"-verb-eng
"voziti"-verb-hbs "drive"-verb-eng
"prevoziti"-verb-hbs "drive"-verb-eng
"prevoziti"-verb-hbs "transport"-verb-eng
"pronalaziti"-verb-hbs "find"-verb-eng
"polaziti"-verb-hbs "attend"-verb-eng
"žaliti"-verb-hbs "mourn"-verb-eng
"žaliti"-verb-hbs "regret"-verb-eng
"sučeliti"-verb-hbs "face"-verb-eng
"zamijeniti"-verb-hbs "substitute"-verb-eng
"zaplijeniti"-verb-hbs "impound"-verb-eng
"zaplijeniti"-verb-hbs "seize"-verb-eng
"izmijeniti"-verb-hbs "alter"-verb-eng
"izmijeniti"-verb-hbs "change"-verb-eng
"objasniti"-verb-hbs "explain"-verb-eng
"odstraniti"-verb-hbs "remove"-verb-eng
"procijeniti"-verb-hbs "appraise"-verb-eng
"procijeniti"-verb-hbs "calculate"-verb-eng
"smijeniti"-verb-hbs "relieve"-verb-eng
"smijeniti"-verb-hbs "replace"-verb-eng
"počiniti"-verb-hbs "commit"-verb-eng
"baciti"-verb-hbs "cast"-verb-eng
"baciti"-verb-hbs "throw"-verb-eng
"izbaciti"-verb-hbs "eject"-verb-eng
"izbaciti"-verb-hbs "expel"-verb-eng
"izbaciti"-verb-hbs "throw out"-verb-eng
"zbaciti"-verb-hbs "throw off"-verb-eng
"odbaciti"-verb-hbs "discard"-verb-eng
"odbaciti"-verb-hbs "throw away"-verb-eng
"pripremiti"-verb-hbs "prepare"-verb-eng
"primiti"-verb-hbs "receive"-verb-eng
"uništiti"-verb-hbs "destroy"-verb-eng
"udariti"-verb-hbs "hit"-verb-eng
"prouzročiti"-verb-hbs "cause"-verb-eng
"suočiti"-verb-hbs "confront"-verb-eng
"plašiti"-verb-hbs "frighten"-verb-eng
"plašiti"-verb-hbs "spook"-verb-eng
"usvojiti"-verb-hbs "adopt"-verb-eng
"tražiti"-verb-hbs "look for"-verb-eng
"tražiti"-verb-hbs "search"-verb-eng
"vršiti"-verb-hbs "administer"-verb-eng
"vršiti"-verb-hbs "do"-verb-eng
"produžiti"-verb-hbs "extend"-verb-eng
"produžiti"-verb-hbs "lengthen"-verb-eng
"prekršiti"-verb-hbs "break"-verb-eng
"prekršiti"-verb-hbs "infringe"-verb-eng
"pridružiti"-verb-hbs "annex"-verb-eng
"pridružiti"-verb-hbs "join"-verb-eng
"učiti"-verb-hbs "educate"-verb-eng
"učiti"-verb-hbs "study"-verb-eng
"odlučiti"-verb-hbs "decide"-verb-eng
"uključiti"-verb-hbs "activate"-verb-eng
"uključiti"-verb-hbs "include"-verb-eng
"izvršiti"-verb-hbs "commit"-verb-eng
"izvršiti"-verb-hbs "execute"-verb-eng
"izvršiti"-verb-hbs "perform"-verb-eng
"nasmiješiti"-verb-hbs "smile"-verb-eng
"omogućiti"-verb-hbs "allow"-verb-eng
"odobriti"-verb-hbs "allow"-verb-eng
"priključiti"-verb-hbs "annex"-verb-eng
"priključiti"-verb-hbs "join"-verb-eng
"provjeriti"-verb-hbs "check"-verb-eng
"proširiti"-verb-hbs "expand"-verb-eng
"proširiti"-verb-hbs "exstend"-verb-eng
"spriječiti"-verb-hbs "stop"-verb-eng
"uvjeriti"-verb-hbs "assure"-verb-eng
"uvjeriti"-verb-hbs "convince"-verb-eng
"uvjeriti"-verb-hbs "persuade"-verb-eng
"poništiti"-verb-hbs "cancel"-verb-eng
"saopštiti"-verb-hbs "inform"-verb-eng
"tištiti"-verb-hbs "ail"-verb-eng
"povlačiti"-verb-hbs "pull"-verb-eng
"kipjeti"-verb-hbs "boil"-verb-eng
"doživjeti"-verb-hbs "experience"-verb-eng
"preživjeti"-verb-hbs "survive"-verb-eng
"oćutjeti"-verb-hbs "feel"-verb-eng
"letjeti"-verb-hbs "fly"-verb-eng
"zavidjeti"-verb-hbs "envy"-verb-eng
"uzletjeti"-verb-hbs "take off"-verb-eng
"sletjeti"-verb-hbs "land"-verb-eng
"poletjeti"-verb-hbs "fly"-verb-eng
"predvidjeti"-verb-hbs "predict"-verb-eng
"smrdjeti"-verb-hbs "reek"-verb-eng
"smrdjeti"-verb-hbs "smell"-verb-eng
"previdjeti"-verb-hbs "overlook"-verb-eng
"vrtjeti"-verb-hbs "spin"-verb-eng
"razumjeti"-verb-hbs "apprehend"-verb-eng
"razumjeti"-verb-hbs "understand"-verb-eng
"smjeti"-verb-hbs "be allowed to"-verb-eng
"odnijeti"-verb-hbs "take away"-verb-eng
"odnijeti"-verb-hbs "take"-verb-eng
"pridonijeti"-verb-hbs "contribute"-verb-eng
"iznijeti"-verb-hbs "take out"-verb-eng
"podnijeti"-verb-hbs "bear"-verb-eng
"podnijeti"-verb-hbs "stand"-verb-eng
"prenijeti"-verb-hbs "convey"-verb-eng
"prenijeti"-verb-hbs "transfer"-verb-eng
"prenijeti"-verb-hbs "transmit"-verb-eng
"čuti"-verb-hbs "hear"-verb-eng
"začuti"-verb-hbs "hear"-verb-eng
"kimnuti"-verb-hbs "nod"-verb-eng
"krenuti"-verb-hbs "set out"-verb-eng
"krenuti"-verb-hbs "start"-verb-eng
"skrenuti"-verb-hbs "avert"-verb-eng
"skrenuti"-verb-hbs "turn"-verb-eng
"ukinuti"-verb-hbs "abolish"-verb-eng
"poginuti"-verb-hbs "die"-verb-eng
"počinuti"-verb-hbs "rest"-verb-eng
"obrnuti"-verb-hbs "reverse"-verb-eng
"obrnuti"-verb-hbs "switch"-verb-eng
"prekinuti"-verb-hbs "abort"-verb-eng
"prekinuti"-verb-hbs "stop"-verb-eng
"opomenuti"-verb-hbs "warn"-verb-eng
"jesti"-verb-hbs "eat"-verb-eng
"navesti"-verb-hbs "cite"-verb-eng
"navesti"-verb-hbs "persuade"-verb-eng
"sprovesti"-verb-hbs "conduct"-verb-eng
"sprovesti"-verb-hbs "carry out"-verb-eng
"izvesti"-verb-hbs "perform"-verb-eng
"dovesti"-verb-hbs "bring"-verb-eng
"provesti"-verb-hbs "conduct"-verb-eng
"provesti"-verb-hbs "carry out"-verb-eng
"napasti"-verb-hbs "attack"-verb-eng
"sjesti"-verb-hbs "sit"-verb-eng
"posjesti"-verb-hbs "seat"-verb-eng
"opsjesti"-verb-hbs "besiege"-verb-eng
"opsjesti"-verb-hbs "obsess"-verb-eng
"odsjesti"-verb-hbs "stay"-verb-eng
"prisjesti"-verb-hbs "sit"-verb-eng
"prisjesti"-verb-hbs "be sick and tired"-verb-eng
"pasti"-verb-hbs "fall"-verb-eng
"spasti"-verb-hbs "fall down"-verb-eng
"upasti"-verb-hbs "crash"-verb-eng
"upasti"-verb-hbs "fall into"-verb-eng
"dopasti"-verb-hbs "like"-verb-eng
"zapasti"-verb-hbs "set"-verb-eng
"zapasti"-verb-hbs "devolve"-verb-eng
"ispasti"-verb-hbs "fall out"-verb-eng
"otpasti"-verb-hbs "fall off"-verb-eng
"pripasti"-verb-hbs "devolve"-verb-eng
"propasti"-verb-hbs "collapse"-verb-eng
"propasti"-verb-hbs "fall through"-verb-eng
"raspasti"-verb-hbs "crumble"-verb-eng
"sresti"-verb-hbs "meet"-verb-eng
"presresti"-verb-hbs "intercept"-verb-eng
"sučeljavati"-verb-hbs "face"-verb-eng
"zadržavati"-verb-hbs "hold off"-verb-eng
"zapošljavati"-verb-hbs "employ"-verb-eng
"ugrožavati"-verb-hbs "endanger"-verb-eng
"uvećavati"-verb-hbs "boost"-verb-eng
"izbjegavati"-verb-hbs "avoid"-verb-eng
"iskorištavati"-verb-hbs "abuse"-verb-eng
"iskorištavati"-verb-hbs "take advantage of"-verb-eng
"izvještavati"-verb-hbs "report"-verb-eng
"izražavati"-verb-hbs "express"-verb-eng
"ispunjavati"-verb-hbs "carry out"-verb-eng
"objedinjavati"-verb-hbs "combine"-verb-eng
"objašnjavati"-verb-hbs "explain"-verb-eng
"sputavati"-verb-hbs "bind"-verb-eng
"ograničavati"-verb-hbs "limit"-verb-eng
"odobravati"-verb-hbs "grant"-verb-eng
"olakšavati"-verb-hbs "facilitate"-verb-eng
"osiguravati"-verb-hbs "provide"-verb-eng
"poražavati"-verb-hbs "defeat"-verb-eng
"predavati"-verb-hbs "lecture"-verb-eng
"upozoravati"-verb-hbs "warn"-verb-eng
"približavati"-verb-hbs "approach"-verb-eng
"priznavati"-verb-hbs "admit"-verb-eng
"razgledavati"-verb-hbs "inspect"-verb-eng
"razgledavati"-verb-hbs "sightsee"-verb-eng
"razaznavati"-verb-hbs "distinguish"-verb-eng
"oglašavati"-verb-hbs "advertise"-verb-eng
"sačinjavati"-verb-hbs "constitute"-verb-eng
"sprečavati"-verb-hbs "prevent"-verb-eng
"uvjeravati"-verb-hbs "assure"-verb-eng
"uništavati"-verb-hbs "destroy"-verb-eng
"spavati"-verb-hbs "sleep"-verb-eng
"izučavati"-verb-hbs "study"-verb-eng
"iseljavati"-verb-hbs "emigrate"-verb-eng
"kažnjavati"-verb-hbs "punish"-verb-eng
"obučavati"-verb-hbs "train"-verb-eng
"oživljavati"-verb-hbs "reanimate"-verb-eng
"spašavati"-verb-hbs "rescue"-verb-eng
"spasavati"-verb-hbs "rescue"-verb-eng
"povjeravati"-verb-hbs "confide"-verb-eng
"dovršavati"-verb-hbs "finish"-verb-eng
"doživljavati"-verb-hbs "experience"-verb-eng
"zaživljavati"-verb-hbs "take off"-verb-eng
"zakopavati"-verb-hbs "bury"-verb-eng
"porobljavati"-verb-hbs "enslave"-verb-eng
"zbližavati"-verb-hbs "grow close"-verb-eng
"izvinjavati"-verb-hbs "apologise"-verb-eng
"ispričavati"-verb-hbs "apologise"-verb-eng
"izdržavati"-verb-hbs "endure"-verb-eng
"izdržavati"-verb-hbs "provide for"-verb-eng
"iskopavati"-verb-hbs "dig out"-verb-eng
"iscrtavati"-verb-hbs "outline"-verb-eng
"narušavati"-verb-hbs "disturb"-verb-eng
"naseljavati"-verb-hbs "populate"-verb-eng
"održavati"-verb-hbs "maintain"-verb-eng
"odležavati"-verb-hbs "age"-verb-eng
"odražavati"-verb-hbs "mirror"-verb-eng
"odražavati"-verb-hbs "reflect"-verb-eng
"ozvučavati"-verb-hbs "wire"-verb-eng
"označavati"-verb-hbs "mark"-verb-eng
"osporavati"-verb-hbs "deny"-verb-eng
"otežavati"-verb-hbs "complicate"-verb-eng
"podučavati"-verb-hbs "teach"-verb-eng
"podučavati"-verb-hbs "tutor"-verb-eng
"ponižavati"-verb-hbs "humiliate"-verb-eng
"raseljavati"-verb-hbs "depopulate"-verb-eng
"sužavati"-verb-hbs "narrow"-verb-eng
"ukrašavati"-verb-hbs "adorn"-verb-eng
"ukrašavati"-verb-hbs "embellish"-verb-eng
"uzdržavati"-verb-hbs "sustain"-verb-eng
"naoružavati"-verb-hbs "arm"-verb-eng
"izobražavati"-verb-hbs "educate"-verb-eng
"naobražavati"-verb-hbs "educate"-verb-eng
"zabrinjavati"-verb-hbs "worry"-verb-eng
"kasniti"-verb-hbs "be late"-verb-eng
"zakašnjavati"-verb-hbs "run late"-verb-eng
"zamišljavati"-verb-hbs "imagine"-verb-eng
"zaoštravati"-verb-hbs "tense"-verb-eng
"zatopljavati"-verb-hbs "warm"-verb-eng
"izjašnjavati"-verb-hbs "state"-verb-eng
"iskrivljavati"-verb-hbs "bend"-verb-eng
"iskrivljavati"-verb-hbs "skew"-verb-eng
"isplivavati"-verb-hbs "surface"-verb-eng
"isprobavati"-verb-hbs "try"-verb-eng
"ispucavati"-verb-hbs "shoot"-verb-eng
"iščezavati"-verb-hbs "fade"-verb-eng
"iščezavati"-verb-hbs "disappear"-verb-eng
"iščezavati"-verb-hbs "vanish"-verb-eng
"navodnjavati"-verb-hbs "irrigate"-verb-eng
"opravdavati"-verb-hbs "justify"-verb-eng
"poništavati"-verb-hbs "nullify"-verb-eng
"poništavati"-verb-hbs "void"-verb-eng
"popunjavati"-verb-hbs "fill"-verb-eng
"potkopavati"-verb-hbs "undermine"-verb-eng
"pojašnjavati"-verb-hbs "explain"-verb-eng
"preživljavati"-verb-hbs "survive"-verb-eng
"prekoravati"-verb-hbs "reprehend"-verb-eng
"preseljavati"-verb-hbs "move"-verb-eng
"svršavati"-verb-hbs "come"-verb-eng
"svršavati"-verb-hbs "finish"-verb-eng
"pridržavati"-verb-hbs "adhere"-verb-eng
"pridržavati"-verb-hbs "stick to"-verb-eng
"pričinjavati"-verb-hbs "appear"-verb-eng
"provjeravati"-verb-hbs "check"-verb-eng
"saslušavati"-verb-hbs "hear"-verb-eng
"zadovoljavati"-verb-hbs "please"-verb-eng
"izobličavati"-verb-hbs "deform"-verb-eng
"ispražnjavati"-verb-hbs "empty"-verb-eng
"pregledavati"-verb-hbs "examine"-verb-eng
"pregledavati"-verb-hbs "go through"-verb-eng
"pribjegavati"-verb-hbs "resort to"-verb-eng
"pročišćavati"-verb-hbs "cleanse"-verb-eng
"pročišćavati"-verb-hbs "filter"-verb-eng
"razoružavati"-verb-hbs "disarm"-verb-eng
"razočaravati"-verb-hbs "disappoint"-verb-eng
"uljepšavati"-verb-hbs "adorn"-verb-eng
"uljepšavati"-verb-hbs "beautify"-verb-eng
"razjašnjavati"-verb-hbs "explain"-verb-eng
"raščišćavati"-verb-hbs "clear"-verb-eng
"upotrebljavati"-verb-hbs "use"-verb-eng
"uznemiravati"-verb-hbs "agitate"-verb-eng
"uznemiravati"-verb-hbs "bother"-verb-eng
"uznemiravati"-verb-hbs "disturb"-verb-eng
"oduševljavati"-verb-hbs "delight"-verb-eng
"prevladavati"-verb-hbs "predominate"-verb-eng
"prilagođavati"-verb-hbs "adjust"-verb-eng
"onemogućavati"-verb-hbs "disable"-verb-eng
"onemogućavati"-verb-hbs "prevent"-verb-eng
"preuveličavati"-verb-hbs "exaggerate"-verb-eng
"razvrstavati"-verb-hbs "sort"-verb-eng
"svrstavati"-verb-hbs "sort"-verb-eng
"zadavati"-verb-hbs "inflict"-verb-eng
"odavati"-verb-hbs "betray"-verb-eng
"odavati"-verb-hbs "reveal"-verb-eng
"pridodavati"-verb-hbs "add"-verb-eng
"pridavati"-verb-hbs "give"-verb-eng
"nadodavati"-verb-hbs "add"-verb-eng
"prodavati"-verb-hbs "sell"-verb-eng
"razdavati"-verb-hbs "give out"-verb-eng
"preprodavati"-verb-hbs "resell"-verb-eng
"poznavati"-verb-hbs "know"-verb-eng
"raspoznavati"-verb-hbs "discern"-verb-eng
"prepričavati"-verb-hbs "recount"-verb-eng
"preobražavati"-verb-hbs "morph"-verb-eng
"prenaglašavati"-verb-hbs "exaggerate"-verb-eng
"probavati"-verb-hbs "try"-verb-eng
"ojačavati"-verb-hbs "strengthen"-verb-eng
"obilježavati"-verb-hbs "mark"-verb-eng
"prevaljivati"-verb-hbs "tip over"-verb-eng
"potpisivati"-verb-hbs "sign"-verb-eng
"omogućivati"-verb-hbs "enable"-verb-eng
"omogućivati"-verb-hbs "facilitate"-verb-eng
"dokazivati"-verb-hbs "prove"-verb-eng
"zabranjivati"-verb-hbs "forbid"-verb-eng
"zaključivati"-verb-hbs "conclude"-verb-eng
"zaštićivati"-verb-hbs "protect"-verb-eng
"zaštićivati"-verb-hbs "secure"-verb-eng
"izgrađivati"-verb-hbs "build"-verb-eng
"iskazivati"-verb-hbs "prove"-verb-eng
"istraživati"-verb-hbs "investigate"-verb-eng
"ispitivati"-verb-hbs "analyse"-verb-eng
"ispitivati"-verb-hbs "interrogate"-verb-eng
"upućivati"-verb-hbs "point"-verb-eng
"nadmašivati"-verb-hbs "outdo"-verb-eng
"poručivati"-verb-hbs "tell"-verb-eng
"opisivati"-verb-hbs "describe"-verb-eng
"osuđivati"-verb-hbs "condemn"-verb-eng
"osuđivati"-verb-hbs "convict"-verb-eng
"osuđivati"-verb-hbs "sentence"-verb-eng
"odstranjivati"-verb-hbs "remove"-verb-eng
"ohrabrivati"-verb-hbs "encourage"-verb-eng
"pobjeđivati"-verb-hbs "defeat"-verb-eng
"pobjeđivati"-verb-hbs "win"-verb-eng
"povikivati"-verb-hbs "shout"-verb-eng
"unapređivati"-verb-hbs "upgrade"-verb-eng
"pokrivati"-verb-hbs "cover"-verb-eng
"zaprečivati"-verb-hbs "obstruct"-verb-eng
"posjećivati"-verb-hbs "visit"-verb-eng
"utvrđivati"-verb-hbs "affirm"-verb-eng
"utvrđivati"-verb-hbs "ascertain"-verb-eng
"utvrđivati"-verb-hbs "determine"-verb-eng
"izazivati"-verb-hbs "cause"-verb-eng
"izazivati"-verb-hbs "tease"-verb-eng
"preporučivati"-verb-hbs "recommend"-verb-eng
"presuđivati"-verb-hbs "decide"-verb-eng
"pridruživati"-verb-hbs "join"-verb-eng
"procjenjivati"-verb-hbs "estimate"-verb-eng
"proširivati"-verb-hbs "expand"-verb-eng
"proširivati"-verb-hbs "spread"-verb-eng
"raspoređivati"-verb-hbs "arrange"-verb-eng
"uhićivati"-verb-hbs "arrest"-verb-eng
"ubeđivati"-verb-hbs "secure"-verb-eng
"ubjeđivati"-verb-hbs "secure"-verb-eng
"sarađivati"-verb-hbs "collaborate"-verb-eng
"sarađivati"-verb-hbs "cooperate"-verb-eng
"surađivati"-verb-hbs "collaborate"-verb-eng
"surađivati"-verb-hbs "cooperate"-verb-eng
"izbivati"-verb-hbs "be absent"-verb-eng
"pojavljivati"-verb-hbs "appear"-verb-eng
"uživati"-verb-hbs "bask"-verb-eng
"uživati"-verb-hbs "enjoy"-verb-eng
"zahvaljivati"-verb-hbs "thank"-verb-eng
"počivati"-verb-hbs "rest"-verb-eng
"snivati"-verb-hbs "dream"-verb-eng
"uperivati"-verb-hbs "point"-verb-eng
"upisivati"-verb-hbs "enrol"-verb-eng
"urezivati"-verb-hbs "carve"-verb-eng
"ocjenjivati"-verb-hbs "grade"-verb-eng
"sazivati"-verb-hbs "call"-verb-eng
"smirivati"-verb-hbs "calm"-verb-eng
"umirivati"-verb-hbs "calm"-verb-eng
"umirivati"-verb-hbs "soothe"-verb-eng
"ucjenjivati"-verb-hbs "blackmail"-verb-eng
"zagađivati"-verb-hbs "pollute"-verb-eng
"zakazivati"-verb-hbs "fail"-verb-eng
"zaražati"-verb-hbs "infect"-verb-eng
"zaraživati"-verb-hbs "infect"-verb-eng
"združivati"-verb-hbs "join"-verb-eng
"iziskivati"-verb-hbs "necessitate"-verb-eng
"iziskivati"-verb-hbs "take"-verb-eng
"iznuđivati"-verb-hbs "extort"-verb-eng
"iščekivati"-verb-hbs "await"-verb-eng
"iščekivati"-verb-hbs "wait"-verb-eng
"namjenjivati"-verb-hbs "designate"-verb-eng
"nazivati"-verb-hbs "name"-verb-eng
"ograđivati"-verb-hbs "enclose"-verb-eng
