"3MA"-properNoun-fra "3MA"-properNoun-spa
"abîme"-noun-fra "abismo"-noun-spa
"abîmer"-verb-fra "estropear"-verb-spa
"à jour"-adverb-fra "al día"-adverb-spa
"à juste titre"-adverb-fra "con toda la razón"-adverb-spa
"Abkhazie"-properNoun-fra "Abjasia"-properNoun-spa
"à la connaissance de l'intéressé"-subordinatingConjunction-fra "para conocimiento del interesado"-subordinatingConjunction-spa
"à la connaissance générale"-subordinatingConjunction-fra "para conocimiento general"-subordinatingConjunction-spa
"à la demande"-adverb-fra "a instancia"-adverb-spa
"à la demande de"-preposition-fra "a instancias de"-preposition-spa
"à la demande de"-preposition-fra "a petición de"-preposition-spa
"à la faveur de"-subordinatingConjunction-fra "en favor de"-subordinatingConjunction-spa
"à la fin de"-preposition-fra "al finalizar"-preposition-spa
"à la fin de"-preposition-fra "a finales de"-preposition-spa
"à la fois"-adverb-fra "a la vez"-adverb-spa
"à la fois"-adverb-fra "a la vez"-adverb-spa
"à la force du poignet"-adverb-fra "por sus propios méritos"-adverb-spa
"à la main"-adverb-fra "a mano"-adverb-spa
"à la silencieuse"-adverb-fra "a la chita callando"-adverb-spa
"à la suite de"-preposition-fra "como consecuencia de"-preposition-spa
"à la suite de"-preposition-fra "a raíz de"-preposition-spa
"à la tête"-adverb-fra "al frente"-adverb-spa
"à l'aide de"-subordinatingConjunction-fra "con ayuda de"-subordinatingConjunction-spa
"ablation"-noun-fra "ablación"-noun-spa
"à l'automne"-adverb-fra "en otoño"-adverb-spa
"à l'avance"-adverb-fra "anticipadamente"-adverb-spa
"à l'égard de"-preposition-fra "respecto a"-preposition-spa
"à l'égard de"-preposition-fra "con respecto de"-preposition-spa
"à l'encontre de"-preposition-fra "en contra de"-preposition-spa
"à l'encontre de"-preposition-fra "en contra de"-preposition-spa
"à l'époque"-adverb-fra "en aquellos tiempos"-adverb-spa
"à l'époque de"-preposition-fra "en la época de"-preposition-spa
"à l'époque de"-preposition-fra "en los tiempos de"-preposition-spa
"à l'époque où"-subordinatingConjunction-fra "en el tiempo en el que"-subordinatingConjunction-spa
"à l'exception de"-preposition-fra "excepto"-preposition-spa
"à l'exception de"-preposition-fra "exceptuando a"-preposition-spa
"à l'heure"-adverb-fra "puntualmente"-adverb-spa
"à l'heure actuelle"-subordinatingConjunction-fra "hoy por hoy"-subordinatingConjunction-spa
"à l'heure actuelle"-adverb-fra "actualmente"-adverb-spa
"à l'instar de"-preposition-fra "a la manera de"-preposition-spa
"à l'intérieur"-adverb-fra "adentro"-adverb-spa
"à l'occasion de"-preposition-fra "con ocasión de"-preposition-spa
"à long terme"-adverb-fra "a largo plazo"-adverb-spa
"à mesure que"-subordinatingConjunction-fra "a medida que"-subordinatingConjunction-spa
"à moi"-adjective-fra "mío"-adjective-spa
"à moi"-adjective-fra "mío"-adjective-spa
"à moi"-adjective-fra "mío"-adjective-spa
"à moi"-adjective-fra "mío"-adjective-spa
"à moi"-adjective-fra "mío"-adjective-spa
"à moins"-adverb-fra "por menos"-adverb-spa
"à moins de"-preposition-fra "a menos de"-preposition-spa
"à moins que"-subordinatingConjunction-fra "a menos que"-subordinatingConjunction-spa
"à moins que"-subordinatingConjunction-fra "a no ser que"-subordinatingConjunction-spa
"à mon époque"-adverb-fra "en mi época"-adverb-spa
"à mort"-adverb-fra "a muerte"-adverb-spa
"ABN"-noun-fra "ABN"-noun-spa
"ABN Amro"-properNoun-fra "ABN Amro"-properNoun-spa
"abnégation"-noun-fra "abnegación"-noun-spa
"abnégation"-noun-fra "abnegación"-noun-spa
"à n'importe quel"-adverb-fra "en cualquier"-adverb-spa
"à n'importe quel endroit"-adverb-fra "en cualquier lugar"-adverb-spa
"à n'importe quel endroit"-adverb-fra "en cualquier sitio"-adverb-spa
"à nous"-adjective-fra "nuestro"-adjective-spa
"à nous"-adjective-fra "nuestro"-adjective-spa
"à nous"-adjective-fra "nuestro"-adjective-spa
"à nous"-adjective-fra "nuestro"-adjective-spa
"à nous"-adjective-fra "nuestro"-adjective-spa
"à nouveau"-adverb-fra "nuevamente"-adverb-spa
"abolition"-noun-fra "abolición"-noun-spa
"abominable"-adjective-fra "abominable"-adjective-spa
"abondamment"-adverb-fra "abundantemente"-adverb-spa
"abondamment"-adverb-fra "largo y tendido"-adverb-spa
"abondance"-noun-fra "abundancia"-noun-spa
"abondant"-adjective-fra "abundante"-adjective-spa
"abondant"-adjective-fra "abundante"-adjective-spa
"abondant"-adjective-fra "abundante"-adjective-spa
"abonder"-verb-fra "abundar"-verb-spa
"abonné"-noun-fra "suscriptor"-noun-spa
"abonnement"-noun-fra "suscripción"-noun-spa
"abonner"-verb-fra "abonar"-verb-spa
"abordable"-adjective-fra "abordable"-adjective-spa
"abordable"-adjective-fra "asequible"-adjective-spa
"abordage"-noun-fra "abordaje"-noun-spa
"aborder"-verb-fra "abordar"-verb-spa
"abords"-noun-fra "inmediaciones"-noun-spa
"aborigène"-noun-fra "aborigen"-noun-spa
"aborigène"-noun-fra "aborigen"-noun-spa
"Abornikano"-properNoun-fra "Abornikano"-properNoun-spa
"Abou"-properNoun-fra "Abou"-properNoun-spa
"Abou Dabi"-properNoun-fra "Abu Dhabi"-properNoun-spa
"Abou Dahdah"-properNoun-fra "Abu Dahdah"-properNoun-spa
"Abou Ghraib"-properNoun-fra "Abu Ghraib"-properNoun-spa
"aboutir"-verb-fra "desembocar"-verb-spa
"aboyer"-verb-fra "ladrar"-verb-spa
"ABP"-noun-fra "ABP"-noun-spa
"à part"-adverb-fra "aparte"-adverb-spa
"à part cela"-subordinatingConjunction-fra "por lo demás"-subordinatingConjunction-spa
"à partir du moment où"-subordinatingConjunction-fra "a partir del momento en que"-subordinatingConjunction-spa
"à peine"-adverb-fra "apenas"-adverb-spa
"à petite échelle"-adverb-fra "a pequeña escala"-adverb-spa
"à pied d'oeuvre"-adverb-fra "al pie del cañón"-adverb-spa
"à plein temps"-adverb-fra "a tiempo completo"-adverb-spa
"à plein temps"-adverb-fra "de plena dedicación"-adverb-spa
"à plusieurs reprises"-adverb-fra "repetidamente"-adverb-spa
"à point nommé"-adverb-fra "en el momento preciso"-adverb-spa
"a posteriori"-adverb-fra "a posteriori"-adverb-spa
"à présent"-adverb-fra "en el presente"-adverb-spa
"à présent que"-subordinatingConjunction-fra "ahora que"-subordinatingConjunction-spa
"à présenter où il faut"-subordinatingConjunction-fra "para su presentación donde hubiere lugar"-subordinatingConjunction-spa
"a priori"-adverb-fra "a priori"-adverb-spa
"à quoi"-pronoun-fra "para qué"-pronoun-spa
"Abraham"-properNoun-fra "Abraham"-properNoun-spa
"Abrakam"-properNoun-fra "Abrakam"-properNoun-spa
"Abramovich"-properNoun-fra "Abramovich"-properNoun-spa
"Abrams"-properNoun-fra "Abrams"-properNoun-spa
"à ras"-subordinatingConjunction-fra "al ras"-subordinatingConjunction-spa
"à ras de"-preposition-fra "a ras de"-preposition-spa
"abrasif"-adjective-fra "abrasivo"-adjective-spa
"abréger"-verb-fra "abreviar"-verb-spa
"Abreu"-properNoun-fra "Abreu"-properNoun-spa
"abreuvoir"-noun-fra "abrevadero"-noun-spa
"abréviation"-noun-fra "abreviatura"-noun-spa
"abri"-noun-fra "abrigo"-noun-spa
"Abrisketa"-properNoun-fra "Abrisketa"-properNoun-spa
"abriter"-verb-fra "resguardar"-verb-spa
"abrogation"-noun-fra "abrogación"-noun-spa
"abrupt"-adjective-fra "abrupto"-adjective-spa
"Absa"-noun-fra "Absa"-noun-spa
"ABS"-noun-fra "ABS"-noun-spa
"Absalom"-properNoun-fra "Absalón"-properNoun-spa
"absence"-noun-fra "ausencia"-noun-spa
"absence"-noun-fra "ausencia"-noun-spa
"absent"-adjective-fra "ausente"-adjective-spa
"absent"-adjective-fra "ausente"-adjective-spa
"absent"-adjective-fra "ausente"-adjective-spa
"absentéisme"-noun-fra "absentismo"-noun-spa
"absenter"-verb-fra "ausentar"-verb-spa
"absinthe"-noun-fra "absenta"-noun-spa
"absinthe"-noun-fra "absynthe"-noun-spa
"absinthe"-noun-fra "ajenjo"-noun-spa
"absolu"-adjective-fra "absoluto"-adjective-spa
"absolument"-adverb-fra "absolutamente"-adverb-spa
"absolument pas"-adverb-fra "en absoluto"-adverb-spa
"absolution"-noun-fra "absolución"-noun-spa
"absolutisme"-noun-fra "absolutismo"-noun-spa
"absolutoire"-adjective-fra "absolutorio"-adjective-spa
"absolutoire"-adjective-fra "absolutorio"-adjective-spa
"absolutoire"-adjective-fra "absolutorio"-adjective-spa
"à son de grosse caisse et platerets"-adverb-fra "a bombo y platillo"-adverb-spa
"à son tour"-adverb-fra "a su vez"-adverb-spa
"absorbant"-adjective-fra "absorbente"-adjective-spa
"absorbant"-adjective-fra "absorbente"-adjective-spa
"absorbant"-adjective-fra "absorbente"-adjective-spa
"absorbé"-adjective-fra "absorto"-adjective-spa
"absorber"-verb-fra "absorber"-verb-spa
"absorber"-verb-fra "absorber"-verb-spa
"absorption"-noun-fra "absorción"-noun-spa
"abstenir"-verb-fra "abstener"-verb-spa
"abstention"-noun-fra "abstención"-noun-spa
"abstinence"-noun-fra "abstinencia"-noun-spa
"abstraction"-noun-fra "abstracción"-noun-spa
"abstrait"-adjective-fra "abstracto"-adjective-spa
"à succès"-adjective-fra "de éxito"-adjective-spa
"à supposer que"-subordinatingConjunction-fra "suponiendo que"-subordinatingConjunction-spa
"absurde"-adjective-fra "absurdo"-adjective-spa
"absurde"-adjective-fra "absurdo"-adjective-spa
"absurde"-adjective-fra "absurdo"-adjective-spa
"absurdité"-noun-fra "absurdidad"-noun-spa
"à tel point que"-subordinatingConjunction-fra "hasta tal punto que"-subordinatingConjunction-spa
"à tempérament"-adverb-fra "a plazos"-adverb-spa
"à tempérement"-adverb-fra "a plazos"-adverb-spa
"à temps perdu"-adverb-fra "a ratos perdidos"-adverb-spa
"à terme"-adverb-fra "a plazos"-adverb-spa
"à termes faciles"-adverb-fra "en cómodos plazos"-adverb-spa
"à titre de"-preposition-fra "a título de"-preposition-spa
"à titre de"-preposition-fra "en concepto de"-preposition-spa
"à titre de garantie"-adverb-fra "a título de garantía"-adverb-spa
"à toi"-adjective-fra "tuyo"-adjective-spa
"à toi"-adjective-fra "tuyo"-adjective-spa
"à toi"-adjective-fra "tuyo"-adjective-spa
"à toi"-adjective-fra "tuyo"-adjective-spa
"à toi"-adjective-fra "tuyo"-adjective-spa
"à toucher"-adjective-fra "a percibir"-adjective-spa
"à tout instant"-adverb-fra "en cualquier momento"-adverb-spa
"à tout moment"-adverb-fra "en cualquier momento"-adverb-spa
"à toute force"-adverb-fra "a todo trance"-adverb-spa
"à toute heure"-adverb-fra "a todas horas"-adverb-spa
"à travers"-preposition-fra "a través de"-preposition-spa
"à travers les âges"-adverb-fra "a través de los tiempos"-adverb-spa
"Abtwil"-properNoun-fra "Abtwil"-properNoun-spa
"Abu Dhabi"-properNoun-fra "Abu Dabi"-properNoun-spa
"Abubo"-properNoun-fra "Abubo"-properNoun-spa
"Abu Dhabi Investment Authority"-properNoun-fra "Abu Dhabi Investment Authority"-properNoun-spa
"Abuja"-properNoun-fra "Abuya"-properNoun-spa
"Abuja"-properNoun-fra "Abuja"-properNoun-spa
"Abul"-properNoun-fra "Abul"-properNoun-spa
"Abulala"-properNoun-fra "Abulala"-properNoun-spa
"Abulcasis"-properNoun-fra "Abulcasís"-properNoun-spa
"à une époque lontaine"-adverb-fra "en tiempos remotos"-adverb-spa
"à une moindre échelle"-adverb-fra "en menor medida"-adverb-spa
"Aburto"-properNoun-fra "Aburto"-properNoun-spa
"abus"-noun-fra "abuso"-noun-spa
"abus"-noun-fra "abuso"-noun-spa
"abus"-noun-fra "abuso"-noun-spa
"abuser"-verb-fra "abusar"-verb-spa
"abusif"-adjective-fra "abusivo"-adjective-spa
"à vous"-adjective-fra "vuestro"-adjective-spa
"à vous"-adjective-fra "vuestro"-adjective-spa
"à vous"-adjective-fra "vuestro"-adjective-spa
"à vous"-adjective-fra "vuestro"-adjective-spa
"à vous"-adjective-fra "vuestro"-adjective-spa
"à vue"-adjective-fra "a la vista"-adjective-spa
"Abydos"-properNoun-fra "Abydos"-properNoun-spa
"Abyei"-properNoun-fra "Abyei"-properNoun-spa
"Abyshev"-properNoun-fra "Abyshev"-properNoun-spa
"abyssal"-adjective-fra "abisal"-adjective-spa
"abyssal"-adjective-fra "abisal"-adjective-spa
"abyssal"-adjective-fra "abisal"-adjective-spa
"Abyssinie"-properNoun-fra "Abisinia"-properNoun-spa
"acacia"-noun-fra "acacia"-noun-spa
"acad"-noun-fra "acad"-noun-spa
"académie"-noun-fra "academia"-noun-spa
"académie"-noun-fra "academia"-noun-spa
"Academie Goncourt"-properNoun-fra "Academia Goncourt"-properNoun-spa
"académique"-adjective-fra "académico"-adjective-spa
"académique"-adjective-fra "académico"-adjective-spa
"académique"-adjective-fra "académico"-adjective-spa
"Acajutla"-properNoun-fra "Acajutla"-properNoun-spa
"Acapulco"-properNoun-fra "Acapulco"-properNoun-spa
"Acapulco de Juárez"-properNoun-fra "Acapulco de Juárez"-properNoun-spa
"acariâtre"-adjective-fra "desabrido"-adjective-spa
"acariâtre"-adjective-fra "desabrido"-adjective-spa
"acariâtre"-adjective-fra "desabrido"-adjective-spa
"Acasiete"-properNoun-fra "Acasiete"-properNoun-spa
"Acasuso"-properNoun-fra "Acasuso"-properNoun-spa
"Acaz"-properNoun-fra "Acaz"-properNoun-spa
"ACB"-noun-fra "ACB"-noun-spa
"accablant"-adjective-fra "abrumador"-adjective-spa
"accablant"-adjective-fra "abrumador"-adjective-spa
"accablant"-adjective-fra "agobiante"-adjective-spa
"accablant"-adjective-fra "agobiante"-adjective-spa
"accablant"-adjective-fra "agobiante"-adjective-spa
"accablement"-noun-fra "agobio"-noun-spa
"accabler"-verb-fra "agobiar"-verb-spa
"accabler"-verb-fra "abrumar"-verb-spa
"accalmir"-verb-fra "tranquilizar"-verb-spa
"accaparer"-verb-fra "acaparar"-verb-spa
"accaparer"-verb-fra "copar"-verb-spa
"accéder"-verb-fra "acceder"-verb-spa
"accélérateur"-adjective-fra "acelerador"-adjective-spa
"accélérateur"-noun-fra "acelerador"-noun-spa
"accélération"-noun-fra "aceleración"-noun-spa
"accélérer"-verb-fra "acelerar"-verb-spa
"accent"-noun-fra "acento"-noun-spa
"Accent"-properNoun-fra "Accent"-properNoun-spa
"accent"-noun-fra "acento"-noun-spa
"accent"-noun-fra "énfasis"-noun-spa
"accent"-noun-fra "énfasis"-noun-spa
"accent"-noun-fra "énfasis"-noun-spa
"accentuation"-noun-fra "acentuación"-noun-spa
"accentuer"-verb-fra "acentuar"-verb-spa
"accentuer"-verb-fra "agudizar"-verb-spa
"acceptable"-adjective-fra "aceptable"-adjective-spa
"acceptation"-noun-fra "aceptación"-noun-spa
"acceptation"-noun-fra "aceptación"-noun-spa
"accepter"-verb-fra "aceptar"-verb-spa
"accepter"-verb-fra "aceptar"-verb-spa
"acception"-noun-fra "acepción"-noun-spa
"accès"-noun-fra "acceso"-noun-spa
"accès"-noun-fra "acceso"-noun-spa
"accès"-noun-fra "acceso"-noun-spa
"accessibilité"-noun-fra "accesibilidad"-noun-spa
"accessible"-adjective-fra "accesible"-adjective-spa
"accessit"-noun-fra "accésit"-noun-spa
"accessoire"-noun-fra "accesorio"-noun-spa
"accessoire"-adjective-fra "accesorio"-adjective-spa
"accessoire"-adjective-fra "accesorio"-adjective-spa
"accessoire"-adjective-fra "accesorio"-adjective-spa
"accessoirement"-adverb-fra "accesoriamente"-adverb-spa
"accessoires"-noun-fra "atrezzo"-noun-spa
"Acciari"-properNoun-fra "Acciari"-properNoun-spa
"accident"-noun-fra "accidente"-noun-spa
"accidentel"-adjective-fra "accidental"-adjective-spa
"accidentel"-adjective-fra "accidental"-adjective-spa
"accidentel"-adjective-fra "accidental"-adjective-spa
"accidentellement"-adverb-fra "accidentalmente"-adverb-spa
"accidenter"-verb-fra "accidentar"-verb-spa
"Acciona"-properNoun-fra "Acciona"-properNoun-spa
"acclamation"-noun-fra "aclamación"-noun-spa
"acclamer"-verb-fra "aclamar"-verb-spa
"acclimatation"-noun-fra "aclimatación"-noun-spa
"acclimater"-verb-fra "aclimatar"-verb-spa
"Accocceberry"-properNoun-fra "Accocceberry"-properNoun-spa
"accoler"-verb-fra "juntar"-verb-spa
"accommoder"-verb-fra "acomodar"-verb-spa
"accompagnateur"-adjective-fra "acompañante"-adjective-spa
"accompagnateur"-adjective-fra "acompañante"-adjective-spa
"accompagnateur"-adjective-fra "acompañante"-adjective-spa
"accompagnement"-noun-fra "acompañamiento"-noun-spa
"accompagner"-verb-fra "acompañar"-verb-spa
"accompagner"-verb-fra "acompañar"-verb-spa
"accomplir"-verb-fra "cumplir"-verb-spa
"accomplissement"-noun-fra "cumplimiento"-noun-spa
"Accor"-properNoun-fra "Accor"-properNoun-spa
"accord"-noun-fra "acuerdo"-noun-spa
"accord"-noun-fra "acorde"-noun-spa
"accordable"-adjective-fra "otorgable"-adjective-spa
"accordéon"-noun-fra "acordeón"-noun-spa
"accordéoniste"-noun-fra "acordeonista"-noun-spa
"accorder"-verb-fra "conceder"-verb-spa
"accorder"-verb-fra "afinar"-verb-spa
"accorder"-verb-fra "avenir"-verb-spa
"accorder"-verb-fra "consensuar"-verb-spa
"accorder à la demande de"-verb-fra "conceder a instancia de"-verb-spa
"accorder à la demande de"-verb-fra "conceder a instancias de"-verb-spa
"accord de principe"-noun-fra "preacuerdo"-noun-spa
"accoster"-verb-fra "atracar"-verb-spa
"accotement"-noun-fra "arcén"-noun-spa
"accouchement"-noun-fra "parto"-noun-spa
"accouchement"-noun-fra "alumbramiento"-noun-spa
"accouplement"-noun-fra "acoplamiento"-noun-spa
"accoupler"-verb-fra "aparear"-verb-spa
"accourir"-verb-fra "acudir"-verb-spa
"accoutrement"-noun-fra "vestimenta"-noun-spa
"accoutumer"-verb-fra "acostumbrar"-verb-spa
"Accoyer"-properNoun-fra "Accoyer"-properNoun-spa
"Accra"-properNoun-fra "Accra"-properNoun-spa
"accréditation"-noun-fra "acreditación"-noun-spa
"accréditer"-verb-fra "acreditar"-verb-spa
"accréditif"-adjective-fra "acreditativo"-adjective-spa
"accrocher"-verb-fra "enganchar"-verb-spa
"accroissement"-noun-fra "ampliación"-noun-spa
"accroissement"-noun-fra "incremento"-noun-spa
"accroître"-verb-fra "incrementar"-verb-spa
"accroître"-verb-fra "acrecentar"-verb-spa
